"Year","Quarter","Subarea","Species","CPUE"
1991,1,"31F2","Clupea harengus",3332
1991,1,"32F1","Clupea harengus",15
1991,1,"32F2","Clupea harengus",10395
1991,1,"32F3","Clupea harengus",292
1991,1,"33F1","Clupea harengus",4
1991,1,"33F2","Clupea harengus",41
1991,1,"33F3","Clupea harengus",2276
1991,1,"33F4","Clupea harengus",1150.001
1991,1,"34F1","Clupea harengus",64
1991,1,"34F2","Clupea harengus",130.5
1991,1,"34F3","Clupea harengus",3011
1991,1,"34F4","Clupea harengus",1941.334
1991,1,"35F0","Clupea harengus",39
1991,1,"35F1","Clupea harengus",242
1991,1,"35F2","Clupea harengus",301
1991,1,"35F3","Clupea harengus",2727.334
1991,1,"35F4","Clupea harengus",12534.001
1991,1,"36F0","Clupea harengus",53
1991,1,"36F1","Clupea harengus",28
1991,1,"36F2","Clupea harengus",397
1991,1,"36F3","Clupea harengus",7190.667
1991,1,"36F4","Clupea harengus",1863
1991,1,"36F5","Clupea harengus",4148.336
1991,1,"36F6","Clupea harengus",1342.001
1991,1,"36F7","Clupea harengus",304
1991,1,"37E9","Clupea harengus",0
1991,1,"37F0","Clupea harengus",92
1991,1,"37F1","Clupea harengus",269
1991,1,"37F2","Clupea harengus",231.664
1991,1,"37F3","Clupea harengus",22192.666
1991,1,"37F4","Clupea harengus",4022.8
1991,1,"37F5","Clupea harengus",1303.5
1991,1,"37F6","Clupea harengus",1780
1991,1,"37F7","Clupea harengus",1119.5
1991,1,"37F8","Clupea harengus",2739
1991,1,"38E9","Clupea harengus",701
1991,1,"38F0","Clupea harengus",2848
1991,1,"38F1","Clupea harengus",27.5
1991,1,"38F2","Clupea harengus",36.001
1991,1,"38F3","Clupea harengus",7262.666
1991,1,"38F4","Clupea harengus",2873.332
1991,1,"38F5","Clupea harengus",543.002
1991,1,"38F6","Clupea harengus",2997
1991,1,"38F7","Clupea harengus",16628.5
1991,1,"38F8","Clupea harengus",15943
1991,1,"39E8","Clupea harengus",1355.5
1991,1,"39E9","Clupea harengus",12309.5
1991,1,"39F0","Clupea harengus",4
1991,1,"39F1","Clupea harengus",4
1991,1,"39F2","Clupea harengus",24.75
1991,1,"39F3","Clupea harengus",4.5
1991,1,"39F4","Clupea harengus",438.001
1991,1,"39F5","Clupea harengus",2186.001
1991,1,"39F6","Clupea harengus",4208.5
1991,1,"39F7","Clupea harengus",6237.5
1991,1,"39F8","Clupea harengus",33536.5
1991,1,"40E8","Clupea harengus",449.5
1991,1,"40E9","Clupea harengus",6
1991,1,"40F0","Clupea harengus",4.331
1991,1,"40F1","Clupea harengus",16
1991,1,"40F2","Clupea harengus",1176.667
1991,1,"40F3","Clupea harengus",21343.5
1991,1,"40F4","Clupea harengus",4674
1991,1,"40F5","Clupea harengus",3256.335
1991,1,"40F6","Clupea harengus",1570.333
1991,1,"40F7","Clupea harengus",4622.666
1991,1,"41E7","Clupea harengus",5666
1991,1,"41E8","Clupea harengus",1102
1991,1,"41E9","Clupea harengus",28.5
1991,1,"41F0","Clupea harengus",3
1991,1,"41F1","Clupea harengus",2.5
1991,1,"41F2","Clupea harengus",134
1991,1,"41F3","Clupea harengus",3167.5
1991,1,"41F4","Clupea harengus",2105.667
1991,1,"41F5","Clupea harengus",5015.5
1991,1,"41F6","Clupea harengus",1435.999
1991,1,"41F7","Clupea harengus",3541.668
1991,1,"41G0","Clupea harengus",248
1991,1,"41G1","Clupea harengus",3687
1991,1,"41G2","Clupea harengus",107091
1991,1,"42E7","Clupea harengus",389
1991,1,"42E8","Clupea harengus",1
1991,1,"42E9","Clupea harengus",1
1991,1,"42F0","Clupea harengus",5
1991,1,"42F1","Clupea harengus",4.5
1991,1,"42F2","Clupea harengus",10
1991,1,"42F3","Clupea harengus",122.002
1991,1,"42F4","Clupea harengus",1771
1991,1,"42F5","Clupea harengus",1684.2
1991,1,"42F6","Clupea harengus",547.8
1991,1,"42F7","Clupea harengus",855.2
1991,1,"42G1","Clupea harengus",443
1991,1,"42G2","Clupea harengus",12903.332
1991,1,"43E8","Clupea harengus",4
1991,1,"43E9","Clupea harengus",508.002
1991,1,"43F0","Clupea harengus",6
1991,1,"43F1","Clupea harengus",28.5
1991,1,"43F2","Clupea harengus",274.335
1991,1,"43F3","Clupea harengus",13
1991,1,"43F4","Clupea harengus",2179.334
1991,1,"43F5","Clupea harengus",1161.665
1991,1,"43F6","Clupea harengus",368
1991,1,"43F7","Clupea harengus",1506.75
1991,1,"43F8","Clupea harengus",149
1991,1,"43G0","Clupea harengus",1970
1991,1,"43G1","Clupea harengus",1732.5
1991,1,"43G2","Clupea harengus",1725
1991,1,"44E6","Clupea harengus",33396.5
1991,1,"44E7","Clupea harengus",543.5
1991,1,"44E8","Clupea harengus",17
1991,1,"44E9","Clupea harengus",46
1991,1,"44F0","Clupea harengus",3.333
1991,1,"44F1","Clupea harengus",313
1991,1,"44F2","Clupea harengus",135.334
1991,1,"44F3","Clupea harengus",9.666
1991,1,"44F4","Clupea harengus",35.334
1991,1,"44F5","Clupea harengus",1892
1991,1,"44F8","Clupea harengus",232.668
1991,1,"44F9","Clupea harengus",1290.669
1991,1,"44G0","Clupea harengus",8390.75
1991,1,"44G1","Clupea harengus",1261
1991,1,"45E6","Clupea harengus",364
1991,1,"45E7","Clupea harengus",2
1991,1,"45E8","Clupea harengus",92
1991,1,"45E9","Clupea harengus",18
1991,1,"45F0","Clupea harengus",17.998
1991,1,"45F1","Clupea harengus",392.998
1991,1,"45F2","Clupea harengus",1.667
1991,1,"45F3","Clupea harengus",1386.999
1991,1,"45F4","Clupea harengus",33
1991,1,"45F9","Clupea harengus",43
1991,1,"45G0","Clupea harengus",30
1991,1,"45G1","Clupea harengus",7672.669
1991,1,"46E7","Clupea harengus",74
1991,1,"46E8","Clupea harengus",6
1991,1,"46E9","Clupea harengus",7
1991,1,"46F0","Clupea harengus",178.666
1991,1,"46F1","Clupea harengus",8685.335
1991,1,"46F2","Clupea harengus",6925.5
1991,1,"46F3","Clupea harengus",5762.334
1991,1,"46G0","Clupea harengus",15.335
1991,1,"47E7","Clupea harengus",520
1991,1,"47E8","Clupea harengus",0
1991,1,"47E9","Clupea harengus",22359
1991,1,"47F0","Clupea harengus",372
1991,1,"47F1","Clupea harengus",747
1991,1,"47F2","Clupea harengus",1392
1991,1,"47F3","Clupea harengus",577
1991,1,"48E7","Clupea harengus",188
1991,1,"48E8","Clupea harengus",0
1991,1,"48E9","Clupea harengus",4144
1991,1,"48F0","Clupea harengus",1048
1991,1,"48F1","Clupea harengus",857.5
1991,1,"48F2","Clupea harengus",293.5
1991,1,"48F3","Clupea harengus",81
1991,1,"49E8","Clupea harengus",223
1991,1,"49E9","Clupea harengus",321.5
1991,1,"49F0","Clupea harengus",585.5
1991,1,"49F1","Clupea harengus",1437.5
1991,1,"49F2","Clupea harengus",2780
1991,1,"49F3","Clupea harengus",824.5
1991,1,"50E8","Clupea harengus",18
1991,1,"50E9","Clupea harengus",105
1991,1,"50F0","Clupea harengus",43
1991,1,"50F1","Clupea harengus",3842.5
1991,1,"50F2","Clupea harengus",64
1991,1,"50F3","Clupea harengus",700.5
1991,1,"51E8","Clupea harengus",328
1991,1,"51E9","Clupea harengus",229
1991,1,"51F0","Clupea harengus",64
1991,1,"51F1","Clupea harengus",204
1991,1,"51F2","Clupea harengus",14
1991,3,"32F1","Clupea harengus",25
1991,3,"32F2","Clupea harengus",0
1991,3,"32F3","Clupea harengus",4
1991,3,"33F2","Clupea harengus",114
1991,3,"33F3","Clupea harengus",2.5
1991,3,"33F4","Clupea harengus",260
1991,3,"34F2","Clupea harengus",1
1991,3,"34F3","Clupea harengus",1
1991,3,"34F4","Clupea harengus",0.5
1991,3,"35F1","Clupea harengus",2
1991,3,"35F2","Clupea harengus",0
1991,3,"35F3","Clupea harengus",2
1991,3,"35F4","Clupea harengus",2
1991,3,"36F0","Clupea harengus",13
1991,3,"36F1","Clupea harengus",6
1991,3,"36F2","Clupea harengus",9
1991,3,"36F3","Clupea harengus",0
1991,3,"36F4","Clupea harengus",0.999
1991,3,"36F5","Clupea harengus",0
1991,3,"36F6","Clupea harengus",0
1991,3,"36F7","Clupea harengus",10
1991,3,"36F8","Clupea harengus",2640
1991,3,"37F0","Clupea harengus",280
1991,3,"37F1","Clupea harengus",401
1991,3,"37F2","Clupea harengus",2428
1991,3,"37F3","Clupea harengus",80
1991,3,"37F4","Clupea harengus",2807
1991,3,"37F5","Clupea harengus",128
1991,3,"37F6","Clupea harengus",0
1991,3,"37F7","Clupea harengus",294
1991,3,"37F8","Clupea harengus",748
1991,3,"38E8","Clupea harengus",5000
1991,3,"38E9","Clupea harengus",4886.5
1991,3,"38F0","Clupea harengus",10684.5
1991,3,"38F1","Clupea harengus",981.668
1991,3,"38F2","Clupea harengus",0
1991,3,"38F3","Clupea harengus",1868
1991,3,"38F4","Clupea harengus",4
1991,3,"38F5","Clupea harengus",77
1991,3,"38F6","Clupea harengus",108.5
1991,3,"38F7","Clupea harengus",0
1991,3,"38F8","Clupea harengus",7040
1991,3,"39E9","Clupea harengus",1394
1991,3,"39F0","Clupea harengus",1410
1991,3,"39F1","Clupea harengus",12
1991,3,"39F2","Clupea harengus",2
1991,3,"39F3","Clupea harengus",2
1991,3,"39F4","Clupea harengus",12046
1991,3,"39F5","Clupea harengus",291928
1991,3,"39F6","Clupea harengus",69
1991,3,"39F7","Clupea harengus",0
1991,3,"39F8","Clupea harengus",0
1991,3,"40E8","Clupea harengus",114
