Lag,A50,A50.1,lag var,species
3.5,3,2.5,shannon,ch
2.5,3.8,3.8,shannon,gm
3.5,2.5,2.5,shannon,ma
3.5,1.5,1.5,shannon,mm
1.5,2.5,2.5,shannon,pp
3,4.6,4.6,shannon,pv
1,1.5,1.5,shannon,ss
1.5,1.5,1.5,shannon,ssp
1,2.3,2.3,shannon,te
3.5,3,2.5,total cpue,ch
4,3.8,3.8,total cpue,gm
3,2.5,2.5,total cpue,ma
2,1.5,1.5,total cpue,mm
1,2.5,2.5,total cpue,pp
2,4.6,4.6,total cpue,pv
2.5,1.5,1.5,total cpue,ss
1.5,1.5,1.5,total cpue,ssp
2,2.3,2.3,total cpue,te
4,3,2.5,amo,ch
1,3.8,3.8,amo,gm
3.5,2.5,2.5,amo,ma
4,1.5,1.5,amo,mm
4,2.5,2.5,amo,pp
3,4.6,4.6,amo,pv
2,1.5,1.5,amo,ss
2,2.3,2.3,amo,te
3.5,3.8,3.8,temp,gm
3,2.5,2.5,temp,ma
2.5,1.5,1.5,temp,mm
2.5,2.5,2.5,temp,pp
0.5,4.6,4.6,temp,pv
2,1.5,1.5,temp,ss
3,1.5,1.5,temp,ssp
0,2.3,2.3,temp,te
0.5,3,2.5,cvtemp,ch
2.5,3.8,3.8,cvtemp,gm
1,2.5,2.5,cvtemp,ma
2,1.5,1.5,cvtemp,mm
2.5,2.5,2.5,cvtemp,pp
0.5,4.6,4.6,cvtemp,pv
4,1.5,1.5,cvtemp,ss
3,1.5,1.5,cvtemp,ssp
3.5,2.3,2.3,cvtemp,te
