"Year","Quarter","CV.CPUE","Shannon","TotalCPUE","AMO","MeanBT","CVofBT"
2006,3,1.63253543370419,2.12950225460259,4974.727,0.3785,14.8340655702681,0.206195844945711
2007,1,1.67503833766175,1.87699861620239,2030.317,0.1905,6.77629479231019,0.259088049630284
2007,3,2.23320616535018,1.82307960496791,7295.569,0.073,14.5143343211984,0.167114281801895
2008,1,1.50589056523943,2.24103029872317,1890.31,0.076,6.38875614798358,0.248980607640636
2008,3,1.72015996124347,1.82018115505099,5865.274,0.183,14.9957521703253,0.17948325307418
2009,1,1.60519218272315,2.04540896812136,1205.922,-0.115,5.52068264264142,0.405585845160511
2009,3,1.37813711888895,1.54405001231425,5145.809,0.1015,15.1415041118803,0.180199667089547
2010,1,1.51619709171271,1.57037092338817,1474.595,0.105,5.75263540607283,0.452095865220923
2010,3,1.85435424114403,2.26263757902187,5959.167,0.484,14.3056227243644,0.198627713838782
2011,1,1.7377496011782,1.57147510481546,1888.16,0.122,4.93115533004139,0.454170209760453
2011,3,1.49748698498567,1.8773603626764,7432.468,0.1415,14.7148584546741,0.165147306664989
2012,1,1.33720781758364,1.39987829599138,2707.711,-0.0345,6.02770293542337,0.353399592057904
2012,3,1.77774949387607,2.10277192478128,7526.127,0.4355,14.5513230097577,0.194172708758994
2013,1,1.56938301982412,1.39133082664346,1689.229,0.118,5.70097452353954,0.36134838190463
2013,3,1.68152309680893,1.79875151150198,6130.177,0.2205,14.3783974672942,0.209134984729244
2014,1,4.50268386564826,1.35532683590464,2283.994,-0.0565,5.756918900969,0.364514937202343
2014,3,1.87954712868154,2.32891992917894,7977.181,0.3185,14.5318433121543,0.19656447902589
2015,1,1.42565178178329,1.36911340318859,1950.449,-0.01,6.05562144557822,0.301512274862614
2015,3,1.86699154953663,2.06231751509834,9164.497,0.235,13.9001846517916,0.203206481036854
2016,1,1.71341280804071,1.37906859118917,2350.294,0.189,6.19542190543111,0.343851529377955
2016,3,1.58351650311605,2.20592701392463,8575.261,0.453,14.4073258167547,0.21698720110433
2017,1,1.68874523004875,1.42030346509423,1757.803,0.222,6.27948274767,0.352743281061387
2017,3,1.62970627235535,2.23736087923668,7874.541,0.326,14.7718513647731,0.176779827371795
2018,1,2.51153351764474,1.57279094565275,1207.481,0.1135,6.23929132072286,0.303121972480569
2018,3,1.6073580572726,2.28625494631805,6321.057,0.133,15.0620455783415,0.219402586545099
