"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,5,"Abundance","CV.CPUE",-8,0.167036896714087,0.0755557509535547,3.98309214499903e-08,2.23853907915566e-40
50,50,5,"Abundance","CV.CPUE",-7,0.0409698986295939,0.0886290027533635,3.98309214499903e-08,5.72557951296632e-06
50,50,5,"Abundance","CV.CPUE",-6,-0.00268649481455171,0.0942622506892844,2.44193725018604e-07,0.611881087839613
50,50,5,"Abundance","CV.CPUE",-5,-0.197932802571679,0.115773872916533,0.000215302430799806,1
50,50,5,"Abundance","CV.CPUE",-4,-0.149726873294169,0.124455762591737,0.0114805970670177,1
50,50,5,"Abundance","CV.CPUE",-3,0.0173103164930905,0.0953921752600303,0.16527546850601,0.0363032087172156
50,50,5,"Abundance","CV.CPUE",-2,-0.0628290864612627,0.130244813053359,0.398414416048071,0.999997446622663
50,50,5,"Abundance","CV.CPUE",-1,0.0385275080057254,0.110106673376618,1.17934845844658e-06,0.000350574207741566
50,50,5,"Abundance","CV.CPUE",0,-0.143995329780463,0.107382191114707,0.00114261804195202,1
50,50,4,"Abundance","AgeDiversity",-8,0.131817973204669,0.11674326258144,1.08016262601041e-10,8.5556391398013e-20
50,50,4,"Abundance","AgeDiversity",-7,0.150303126571267,0.098161528382174,3.57438545428579e-09,3.71962490986019e-28
50,50,4,"Abundance","AgeDiversity",-6,-0.0355589290734062,0.122655148021321,0.151333639663086,0.997695269303797
50,50,4,"Abundance","AgeDiversity",-5,0.0953385294508378,0.0947527646354967,9.57597512396546e-09,4.0099264592819e-17
50,50,4,"Abundance","AgeDiversity",-4,0.0273971701453271,0.127640436035893,0.108864594807745,0.0171409552311699
50,50,4,"Abundance","AgeDiversity",-3,0.0458226301846087,0.100456060994027,0.236172040646512,7.28973526263527e-06
50,50,4,"Abundance","AgeDiversity",-2,-0.0637614468163922,0.0948376337534221,2.02700778000342e-06,0.999999999424764
50,50,4,"Abundance","AgeDiversity",-1,-0.00126572690848587,0.120054900230879,0.776494067688393,0.541875640348637
50,50,4,"Abundance","AgeDiversity",0,0.178014684877113,0.0864633994966724,3.57438545428579e-09,7.40376390097556e-38
50,50,6,"Abundance","AMO",-8,0.22014429155449,0.0784908515809233,3.98309214499903e-08,3.32562654298056e-49
50,50,6,"Abundance","AMO",-7,0.112786415344946,0.068008830855995,2.44193725018604e-07,1.23649375912816e-30
50,50,6,"Abundance","AMO",-6,0.150420070982056,0.0780377583729183,1.02027024606599e-07,1.38901104082035e-35
50,50,6,"Abundance","AMO",-5,0.104304576474028,0.0881388816352167,1.43717926448517e-08,5.81022498071022e-21
50,50,6,"Abundance","AMO",-4,-0.0564220158427251,0.109454692160653,0.305726548153443,0.999999349643183
50,50,6,"Abundance","AMO",-3,-0.0276319617581376,0.116479098436787,0.0960497087334704,0.990193804059244
50,50,6,"Abundance","AMO",-2,-0.0882640300848041,0.114464503705636,0.0516768954242628,0.999999999995036
50,50,6,"Abundance","AMO",-1,-0.064643406972963,0.0888701202029921,0.964694931933257,0.999999999958434
50,50,6,"Abundance","AMO",0,-0.0566402459819471,0.0840990281744585,0.305726548153443,0.999999999455691
50,50,9,"Abundance","SBT",-8,-0.250937310916907,0.123927741215307,0.000532021560584628,1
50,50,9,"Abundance","SBT",-7,-0.263801318422117,0.118982011177053,0.000836408387871579,1
50,50,9,"Abundance","SBT",-6,-0.283751054705678,0.116632405569096,0.168577873677493,1
50,50,9,"Abundance","SBT",-5,-0.300992327934559,0.107642956845898,0.626494517515847,1
50,50,9,"Abundance","SBT",-4,-0.290844617658095,0.108320588080419,1,1
50,50,9,"Abundance","SBT",-3,-0.294840422988362,0.104925746465225,0.697181425417371,1
50,50,9,"Abundance","SBT",-2,-0.299887572007975,0.121938020316043,0.435118910932114,1
50,50,9,"Abundance","SBT",-1,-0.281820704535483,0.116646585622,0.168577873677493,1
50,50,9,"Abundance","SBT",0,-0.279790015612577,0.104395864493126,0.558966072122322,1
50,50,9,"Abundance","CVofSBT",-8,-0.0167786862452861,0.13840822072588,5.33772028799007e-08,0.885851153547707
50,50,9,"Abundance","CVofSBT",-7,-0.010717503427465,0.148732146983846,1.01554342712973e-09,0.763570345475395
50,50,9,"Abundance","CVofSBT",-6,-0.196059766068839,0.105411332326828,0.00285822937534252,1
50,50,9,"Abundance","CVofSBT",-5,-0.244018807226576,0.105744366620976,0.0589958450512353,1
50,50,9,"Abundance","CVofSBT",-4,-0.218767920777905,0.111365051298756,0.168577873677493,1
50,50,9,"Abundance","CVofSBT",-3,-0.301668156922849,0.0919615715050157,0.328233587669434,1
50,50,9,"Abundance","CVofSBT",-2,-0.282247901726802,0.114975250242308,0.0114099160304104,1
50,50,9,"Abundance","CVofSBT",-1,-0.300482163728496,0.119874998752571,0.0207906153223614,1
50,50,9,"Abundance","CVofSBT",0,-0.317043657899746,0.119544213775387,0.0743349808489937,1
50,50,9,"Abundance","SST",-8,-0.193650104823128,0.12512036803443,0.000117603724415938,1
50,50,9,"Abundance","SST",-7,-0.221648052129618,0.116792319571811,0.000836408387871579,1
50,50,9,"Abundance","SST",-6,-0.238785194136252,0.106191234769341,0.00285822937534252,1
50,50,9,"Abundance","SST",-5,-0.277922782283799,0.108545820444283,0.281566070295568,1
50,50,9,"Abundance","SST",-4,-0.251365973318384,0.106133869102866,0.328233587669434,1
50,50,9,"Abundance","SST",-3,-0.2868024450876,0.11218700434721,0.328233587669434,1
50,50,9,"Abundance","SST",-2,-0.3018548175591,0.119957317330296,0.92257009049519,1
50,50,9,"Abundance","SST",-1,-0.290157838876721,0.112346655754053,0.379450395962797,1
50,50,9,"Abundance","SST",0,-0.255131017299659,0.110048597805569,0.435118910932114,1
50,50,4,"Abundance","CVofSST",-8,0.228042893003819,0.11975788641311,2.3940311955073e-08,3.59872701923686e-35
50,50,4,"Abundance","CVofSST",-7,0.189071004834247,0.128389262579466,5.63431610256515e-08,5.49826444572415e-27
50,50,4,"Abundance","CVofSST",-6,0.0402070659855634,0.101650917478908,5.63431610256515e-08,7.18404431937025e-05
50,50,4,"Abundance","CVofSST",-5,-0.0484337618131027,0.124009563447171,0.00450753704697515,0.999914088234199
50,50,4,"Abundance","CVofSST",-4,-0.0881519968543739,0.10836778444909,0.000127680419398368,0.999999999999382
50,50,4,"Abundance","CVofSST",-3,0.0302042050008545,0.106354154654912,3.57438545428579e-09,0.00273838114209207
50,50,4,"Abundance","CVofSST",-2,-0.0566710222232431,0.105015628668989,0.000127680419398368,0.999999767312462
50,50,4,"Abundance","CVofSST",-1,-0.152800372013743,0.09370084731117,0.0517532494590776,1
50,50,4,"Abundance","CVofSST",0,-0.11327482089698,0.0887074089511512,0.000432018460957639,1
50,50,5,"Abundance","CV.CPUE",-8,0.18096936382447,0.0813506234537214,4.72556482833397e-09,1.3399023259511e-40
50,50,5,"Abundance","CV.CPUE",-7,0.0234913241744573,0.0921733831070014,4.72451181354749e-06,0.00617592935445802
50,50,5,"Abundance","CV.CPUE",-6,-0.00673829305368873,0.0884303324321073,2.8762465771548e-05,0.776060909211748
50,50,5,"Abundance","CV.CPUE",-5,-0.168617793788359,0.106805653778666,0.0516768954242628,1
50,50,5,"Abundance","CV.CPUE",-4,-0.151157896056097,0.10491353142212,0.00334096185825063,1
50,50,5,"Abundance","CV.CPUE",-3,0.0213951622783879,0.10614693828478,0.305726548153443,0.0232750768866547
50,50,5,"Abundance","CV.CPUE",-2,-0.0681862725002235,0.14404755783024,0.894351259969982,0.999996322764886
50,50,5,"Abundance","CV.CPUE",-1,0.0421729865497193,0.107114615660348,2.44193725018604e-07,7.6716830414599e-05
50,50,5,"Abundance","CV.CPUE",0,-0.156242178369052,0.0988862663060741,1.17934845840765e-06,1
50,50,4,"Abundance","AgeDiversity",-8,0.122323204074722,0.110833979973877,5.63431610256515e-08,3.04127267845303e-19
50,50,4,"Abundance","AgeDiversity",-7,0.150587758782707,0.112433942617468,9.57597512396546e-09,2.94516986981719e-24
50,50,4,"Abundance","AgeDiversity",-6,-0.0276853052297635,0.128615166001505,0.00127503317278777,0.983108615195893
50,50,4,"Abundance","AgeDiversity",-5,0.10647505323245,0.095310692439913,1.25716599574943e-07,1.55380742118392e-19
50,50,4,"Abundance","AgeDiversity",-4,0.0226575559791564,0.126043276176523,0.270560535964072,0.0376443592936811
