"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,6,"Abundance","CV.CPUE",-8,0.470673534986284,0.0574574842242266,8.91848950357321e-06,4.46958767088809e-93
50,50,6,"Abundance","CV.CPUE",-7,0.431719056030941,0.074994980711999,2.8762465771548e-05,3.18163597645803e-78
50,50,6,"Abundance","CV.CPUE",-6,0.431456994309819,0.0756064642609054,0.000215302430799813,7.36265264078747e-78
50,50,6,"Abundance","CV.CPUE",-5,0.458974757656176,0.063128418827522,2.44193725018604e-07,4.96779914449931e-88
50,50,6,"Abundance","CV.CPUE",-4,0.457645138237118,0.0815872947812742,1.2904566304428e-11,3.84427559696959e-77
50,50,6,"Abundance","CV.CPUE",-3,0.424683313560136,0.0925131027216458,0.000134937164551818,7.66347790737553e-69
50,50,6,"Abundance","CV.CPUE",-2,0.446107759238504,0.0654812466810408,1.38948963446239e-09,2.73998582390196e-85
50,50,6,"Abundance","CV.CPUE",-1,0.433199633022344,0.0752156252924936,0.26504598877832,3.03642273641622e-78
50,50,6,"Abundance","CV.CPUE",0,0.39648200822335,0.0716923291720248,0.16527546850601,1.49813435922717e-76
50,50,9,"Abundance","AgeDiversity",-8,0.465411298695493,0.0736273553369021,0.626494517515847,3.85503701718851e-82
50,50,9,"Abundance","AgeDiversity",-7,0.523536090646183,0.0661088484414646,0.379450395962797,1.20935326008097e-91
50,50,9,"Abundance","AgeDiversity",-6,0.500885505291607,0.0751693616396557,0.495050852624803,2.34697867626385e-84
50,50,9,"Abundance","AgeDiversity",-5,0.53171597889262,0.081907633600983,0.168577873677493,2.94114025883236e-83
50,50,9,"Abundance","AgeDiversity",-4,0.505090813540596,0.0729350979094198,0.0462924754154086,5.59984920596019e-86
50,50,9,"Abundance","AgeDiversity",-3,0.513056815901198,0.0586075807828072,0.0155108232250676,6.81988213665484e-96
50,50,9,"Abundance","AgeDiversity",-2,0.504622587447707,0.0453398207657823,0.239458815685833,4.11435954773014e-106
50,50,9,"Abundance","AgeDiversity",-1,0.516495019860507,0.0506855050624409,0.00590158628390269,2.3654779789987e-102
50,50,9,"Abundance","AgeDiversity",0,0.544779849087094,0.038363541901399,0.0926425669115816,1.59869736946082e-116
50,50,6,"Abundance","AMO",-8,0.688043378606589,0.0287973069428702,4.94106357484814e-05,7.96025031691863e-139
50,50,6,"Abundance","AMO",-7,0.693064186652661,0.0344636045796551,7.63760166222482e-11,1.97712272241608e-131
50,50,6,"Abundance","AMO",-6,0.615124713507018,0.0488191729787487,4.72556482833397e-09,2.07357799871984e-111
50,50,6,"Abundance","AMO",-5,0.543584289201644,0.0336977024997527,2.8762465771548e-05,5.57338616252347e-122
50,50,6,"Abundance","AMO",-4,0.51756688702671,0.0376182200402892,1.2904566304428e-11,3.60291269027154e-115
50,50,6,"Abundance","AMO",-3,0.465673300451898,0.0521937801225068,3.5587999214215e-10,1.06428847687413e-96
50,50,6,"Abundance","AMO",-2,0.447644108377745,0.0591821634117842,7.63760166222482e-11,1.06001317054499e-89
50,50,6,"Abundance","AMO",-1,0.39691456866327,0.0603045701439241,7.63760166222482e-11,7.73853962233116e-84
50,50,6,"Abundance","AMO",0,0.352103315004069,0.0770291491828666,3.98309214499903e-08,1.14581936109605e-68
50,50,9,"Abundance","SBT",-8,0.957531346575591,0.0174408113503711,1.52944323872362e-12,1.44511677068499e-174
50,50,9,"Abundance","SBT",-7,0.959074143786486,0.0212282030396365,2.29414265362493e-11,3.44081174969005e-166
50,50,9,"Abundance","SBT",-6,0.953218854404451,0.0191045825865991,1.52944323872362e-12,1.8621868610651e-170
50,50,9,"Abundance","SBT",-5,0.959039267878786,0.0147708375515484,1.52944323872362e-12,8.91752773506032e-182
50,50,9,"Abundance","SBT",-4,0.957768429786913,0.0178381764546982,1.52944323872362e-12,1.31079148187184e-173
50,50,9,"Abundance","SBT",-3,0.959701217328403,0.0150399822413539,2.29414265362493e-11,4.97484850446191e-181
50,50,9,"Abundance","SBT",-2,0.964074195015692,0.0142294959941755,1.52944323872362e-12,1.31878733279433e-183
50,50,9,"Abundance","SBT",-1,0.966364375201546,0.0159520298519025,1.52944323872362e-12,8.51189006095648e-179
50,50,9,"Abundance","SBT",0,0.962258998793039,0.0213013562241779,1.52944323872362e-12,3.48358572400854e-166
50,50,9,"Abundance","CVofSBT",-8,0.745869885723243,0.0277024667606789,1.52944323872362e-12,5.92340451476846e-144
50,50,9,"Abundance","CVofSBT",-7,0.725550810623881,0.0344684864779237,1.52944323872362e-12,2.17329182905179e-133
50,50,9,"Abundance","CVofSBT",-6,0.730686733583921,0.0345711972525773,1.82002413140481e-10,1.45263417388463e-133
50,50,9,"Abundance","CVofSBT",-5,0.759330489312316,0.0284857926510366,2.29414265362493e-11,1.59167021585077e-143
50,50,9,"Abundance","CVofSBT",-4,0.714866196074603,0.0462511090148602,1.01554342712973e-09,3.77359885799996e-120
50,50,9,"Abundance","CVofSBT",-3,0.735101141491142,0.0453889907127286,1.01554342712973e-09,3.76263894685333e-122
50,50,9,"Abundance","CVofSBT",-2,0.732593096053059,0.0495064300969727,1.82002413140481e-10,2.75427293116916e-118
50,50,9,"Abundance","CVofSBT",-1,0.719933891190772,0.05067110093235,1.01554342712973e-09,1.51744263164945e-116
50,50,9,"Abundance","CVofSBT",0,0.71013707688729,0.0445389614406613,5.33772028799007e-08,1.76035931838893e-121
50,50,9,"Abundance","SST",-8,0.95220420210186,0.0175426426406254,1.52944323872362e-12,4.46595540112859e-174
50,50,9,"Abundance","SST",-7,0.951077973697321,0.0175205292233321,1.52944323872362e-12,4.43166258170386e-174
50,50,9,"Abundance","SST",-6,0.949150855438792,0.019103014051707,1.52944323872362e-12,2.82034664396917e-170
50,50,9,"Abundance","SST",-5,0.953570042782971,0.0148550239502302,1.52944323872362e-12,2.75663779360562e-181
50,50,9,"Abundance","SST",-4,0.948763172406978,0.0191265464452736,1.52944323872362e-12,3.31719721394598e-170
50,50,9,"Abundance","SST",-3,0.945710644978699,0.0201730515713244,1.52944323872362e-12,8.88527425217133e-168
50,50,9,"Abundance","SST",-2,0.952948935251546,0.0162784826509062,1.52944323872362e-12,2.52159233962255e-177
50,50,9,"Abundance","SST",-1,0.956300613944494,0.0172339458082713,1.52944323872362e-12,5.03887956162902e-175
50,50,9,"Abundance","SST",0,0.958802056618673,0.0151881239812381,2.29414265362493e-11,1.4401029123251e-180
50,50,4,"Abundance","CVofSST",-8,0.55827575038167,0.0506928836389155,1.23139010099749e-09,1.16045437271991e-105
50,50,4,"Abundance","CVofSST",-7,0.607039557508292,0.0528503397500485,2.62814214835316e-11,1.86234585993126e-107
50,50,4,"Abundance","CVofSST",-6,0.634762704568072,0.053733270037586,5.63431610256515e-08,1.17768564416285e-108
50,50,4,"Abundance","CVofSST",-5,0.582402406407206,0.0667943076336674,1.08016262601041e-10,1.00618093914879e-95
50,50,4,"Abundance","CVofSST",-4,0.588776637177665,0.0702495615269524,1.07002412219614e-06,4.79364191629147e-94
50,50,4,"Abundance","CVofSST",-3,0.670126393444454,0.0418078529183402,1.08016262601041e-10,1.04493952249319e-121
50,50,4,"Abundance","CVofSST",-2,0.631679739671118,0.0483281604771537,8.54649684356446e-13,5.61798448042004e-113
50,50,4,"Abundance","CVofSST",-1,0.630828133580489,0.0495166822121199,5.34750022040953e-12,7.00982822295954e-112
50,50,4,"Abundance","CVofSST",0,0.627671438256919,0.0701711806424249,2.62814214835316e-11,8.28714720662969e-97
50,50,6,"Abundance","CV.CPUE",-8,0.481356350128257,0.0651330816552166,1.17934845844658e-06,1.01330372927164e-88
50,50,6,"Abundance","CV.CPUE",-7,0.413111723782634,0.0723512584852714,0.000773831095311373,6.97741451170604e-78
50,50,6,"Abundance","CV.CPUE",-6,0.435712979897029,0.0728519290751021,1.17934845844658e-06,8.04753034013001e-80
50,50,6,"Abundance","CV.CPUE",-5,0.444925216498432,0.0753386468613631,5.50848431757345e-07,2.71971295359915e-79
50,50,6,"Abundance","CV.CPUE",-4,0.474099774730883,0.0654136984955171,7.63760166222482e-11,6.73941561014656e-88
50,50,6,"Abundance","CV.CPUE",-3,0.426942804946577,0.0834699659880534,1.02027024606599e-07,2.63190090512493e-73
50,50,6,"Abundance","CV.CPUE",-2,0.446413687263669,0.0646427685381655,1.2904566304428e-11,7.3464841348606e-86
50,50,6,"Abundance","CV.CPUE",-1,0.425229894683705,0.0657690531310207,0.450284886272046,4.34626336223816e-83
50,50,6,"Abundance","CV.CPUE",0,0.394287256967531,0.071046641437947,0.305726548153443,1.07122458519512e-76
50,50,9,"Abundance","AgeDiversity",-8,0.472787239923832,0.0621363860096139,0.626494517515847,5.94825797005377e-90
50,50,9,"Abundance","AgeDiversity",-7,0.509144209149251,0.0704229180334062,0.92257009049519,8.57078578651161e-88
50,50,9,"Abundance","AgeDiversity",-6,0.497059827491012,0.0755686245074355,0.92257009049519,8.23631826384531e-84
50,50,9,"Abundance","AgeDiversity",-5,0.540175807686323,0.0722977263884623,0.0743349808489937,3.50055470215579e-89
50,50,9,"Abundance","AgeDiversity",-4,0.521100228618248,0.0589917619185757,0.00193596271973417,2.82310505038678e-96
50,50,9,"Abundance","AgeDiversity",-3,0.501905859688534,0.0570924162494247,0.0358972373678887,4.51515212784252e-96
50,50,9,"Abundance","AgeDiversity",-2,0.500096321422754,0.0495018970222238,0.328233587669434,5.51722756750852e-102
50,50,9,"Abundance","AgeDiversity",-1,0.51928874728669,0.0392539829422864,0.0274952652157514,1.7174209235452e-113
50,50,9,"Abundance","AgeDiversity",0,0.542759364412215,0.037299966070916,0.201842824225182,1.44431176884443e-117
50,50,6,"Abundance","AMO",-8,0.694122845521761,0.0279895677180865,1.02027024606599e-07,2.00506314155181e-140
50,50,6,"Abundance","AMO",-7,0.690261069262893,0.0375245193810984,4.72556482833397e-09,1.31410149421678e-127
50,50,6,"Abundance","AMO",-6,0.617950002428892,0.0405181403697987,1.17934845844658e-06,1.40752911391407e-119
50,50,6,"Abundance","AMO",-5,0.536116539774032,0.0413418767900828,2.41022656499723e-06,1.22171075724342e-112
50,50,6,"Abundance","AMO",-4,0.520985886685274,0.0428743963399773,1.52944323872362e-12,7.33736806959824e-110
50,50,6,"Abundance","AMO",-3,0.463538023268228,0.0580935076890017,3.5587999214215e-10,5.80358348171623e-92
50,50,6,"Abundance","AMO",-2,0.459730018573441,0.054374766583239,1.52944323872362e-12,2.04053317995791e-94
50,50,6,"Abundance","AMO",-1,0.389037408817106,0.0511773534773549,1.2904566304428e-11,6.51531122956349e-90
50,50,6,"Abundance","AMO",0,0.344696031904226,0.073410550924663,2.41022656499723e-06,9.01386481855065e-70
50,50,9,"Abundance","SBT",-8,0.957144819491607,0.017935155686157,1.52944323872362e-12,2.39090730252614e-173
50,50,9,"Abundance","SBT",-7,0.952844795007888,0.0218395387400259,2.29414265362493e-11,1.08837638925879e-164
50,50,9,"Abundance","SBT",-6,0.955517074505739,0.0215424416763578,1.52944323872362e-12,2.12726136752605e-165
50,50,9,"Abundance","SBT",-5,0.958758880994225,0.0150654722334253,1.52944323872362e-12,6.48331614162244e-181
50,50,9,"Abundance","SBT",-4,0.955654508409884,0.0205210175793555,2.29414265362493e-11,1.7144460902436e-167
50,50,9,"Abundance","SBT",-3,0.959862814515231,0.0161806166065757,1.52944323872362e-12,6.78820550605703e-178
50,50,9,"Abundance","SBT",-2,0.96383814782369,0.0226575232473295,1.52944323872362e-12,1.3302111958098e-163
50,50,9,"Abundance","SBT",-1,0.965184833158825,0.0141239019237292,1.52944323872362e-12,5.62992214828596e-184
50,50,9,"Abundance","SBT",0,0.961712901630638,0.0239096796020857,1.52944323872362e-12,3.39016267350875e-161
50,50,9,"Abundance","CVofSBT",-8,0.74651328162469,0.0322237566650472,1.52944323872362e-12,1.68048930731132e-137
50,50,9,"Abundance","CVofSBT",-7,0.727437726949891,0.0324098419405106,2.29414265362493e-11,3.83159161982666e-136
50,50,9,"Abundance","CVofSBT",-6,0.730950990368831,0.0295990433403642,1.52944323872362e-12,3.04064257418583e-140
50,50,9,"Abundance","CVofSBT",-5,0.75678487742596,0.0273675334161696,2.29414265362493e-11,4.231134727281e-145
50,50,9,"Abundance","CVofSBT",-4,0.711119550978443,0.0479871912315959,1.82002413140481e-10,2.39489638680054e-118
50,50,9,"Abundance","CVofSBT",-3,0.730253437505313,0.0551361170546646,1.65377562755253e-08,1.52913604375942e-113
50,50,9,"Abundance","CVofSBT",-2,0.719581326566489,0.0588727002996098,1.01554342712973e-09,4.12977797848036e-110
50,50,9,"Abundance","CVofSBT",-1,0.731253054840129,0.040983907989399,1.01554342712973e-09,2.66607292986957e-126
50,50,9,"Abundance","CVofSBT",0,0.70924288429896,0.049049072583053,2.29414265362493e-11,2.6862167064714e-117
50,50,9,"Abundance","SST",-8,0.952304215582072,0.0165441973525649,1.52944323872362e-12,1.33877808857021e-176
50,50,9,"Abundance","SST",-7,0.948583733079501,0.0197933690825873,1.52944323872362e-12,1.0039825468331e-168
50,50,9,"Abundance","SST",-6,0.949810908640958,0.0179392531596032,1.52944323872362e-12,5.23571149713725e-173
