"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,4,"Abundance","CV.CPUE",-8,0.187523782900912,0.0933362488007018,8.21617886030968e-05,5.24308230545796e-37
50,50,4,"Abundance","CV.CPUE",-7,0.321874708412322,0.0849803089114246,3.20901942447716e-05,5.09439846389185e-61
50,50,4,"Abundance","CV.CPUE",-6,0.372728133663931,0.0911185010675815,9.57597512396546e-09,3.94179192116741e-64
50,50,4,"Abundance","CV.CPUE",-5,0.394038243374391,0.0918728489403248,2.02700778006992e-06,4.64954846835008e-66
50,50,4,"Abundance","CV.CPUE",-4,0.39522804472237,0.0720319696361146,1.25716599574943e-07,3.19402274759645e-76
50,50,4,"Abundance","CV.CPUE",-3,0.218370097779454,0.0844910917630271,0.151333639663086,4.15392460439748e-46
50,50,4,"Abundance","CV.CPUE",-2,0.421785405563894,0.0667512498983971,1.25716599574943e-07,3.99970482456832e-82
50,50,4,"Abundance","CV.CPUE",-1,0.441519784052896,0.0717347872341471,0.000194890902400102,5.05853748782429e-81
50,50,4,"Abundance","CV.CPUE",0,0.4575587067295,0.0906565800360363,1.14878905332905e-05,9.39088327487026e-73
50,50,4,"Abundance","AgeDiversity",-8,0.107626485863786,0.101947926461748,0.000194890902400102,3.34442200281499e-18
50,50,4,"Abundance","AgeDiversity",-7,0.092385044005146,0.141014512890461,3.71891752570797e-06,1.28768456773964e-09
50,50,4,"Abundance","AgeDiversity",-6,0.241459859545437,0.127155362556504,3.57438545428579e-09,4.46512520407701e-35
50,50,4,"Abundance","AgeDiversity",-5,0.168821978650264,0.0831413249530771,5.18722751399192e-05,2.24781487880466e-37
50,50,4,"Abundance","AgeDiversity",-4,0.279405269346418,0.084540741862923,1.25716599574943e-07,1.38536056665041e-55
50,50,4,"Abundance","AgeDiversity",-3,0.527794123904887,0.0528235153344614,0.000194890902400102,1.6286148849774e-101
50,50,4,"Abundance","AgeDiversity",-2,0.549230948029892,0.0595069486571948,8.21617886030968e-05,3.85886662569746e-98
50,50,4,"Abundance","AgeDiversity",-1,0.616713548506796,0.0660757361264461,3.85990572837613e-10,1.29212341928535e-98
50,50,4,"Abundance","AgeDiversity",0,0.657367564482777,0.0596176451503873,9.57597512396546e-09,1.02899335075697e-105
50,50,6,"Abundance","AMO",-8,0.382101865250912,0.0775696892476527,1.2904566304428e-11,9.51788994260032e-72
