"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,9,"Abundance","CV.CPUE",-8,0.0521499500864823,0.0790579466926552,1.65377562755253e-08,1.04351613958873e-09
50,50,9,"Abundance","CV.CPUE",-7,-0.0780091206673026,0.0953910948700022,0.139462859119068,0.999999999999502
50,50,9,"Abundance","CV.CPUE",-6,0.0615490985864344,0.0901427597618266,1.5433964684064e-07,3.50724213103904e-10
50,50,9,"Abundance","CV.CPUE",-5,-0.0178098736007877,0.103774373369965,0.697181425417371,0.955374485612245
50,50,9,"Abundance","CV.CPUE",-4,0.154364440015011,0.0776577788775138,0.0155108232250676,1.22712454114649e-36
50,50,9,"Abundance","CV.CPUE",-3,0.13911683714624,0.107237462013203,0.0589958450512353,2.22848557312323e-23
50,50,9,"Abundance","CV.CPUE",-2,0.259079527025141,0.0847698820964976,1.65377562755253e-08,1.61351936393019e-52
50,50,9,"Abundance","CV.CPUE",-1,0.126156604827414,0.167596942486033,0.626494517515847,1.21674759232812e-11
50,50,9,"Abundance","CV.CPUE",0,0.249171657087771,0.11644493432022,0.0207906153223614,3.25190650515014e-39
50,50,6,"Abundance","AgeDiversity",-8,0.300570870045845,0.0994387865439297,1.17934845844658e-06,4.33982347890457e-52
50,50,6,"Abundance","AgeDiversity",-7,0.405966891254402,0.0942794991833762,1.62687221838542e-05,3.202622264434e-66
50,50,6,"Abundance","AgeDiversity",-6,0.399327291731201,0.0908888511773735,2.41022656499723e-06,4.81255757378675e-67
50,50,6,"Abundance","AgeDiversity",-5,0.547389569564052,0.0771226932144809,5.50848431757345e-07,5.14503280993137e-87
50,50,6,"Abundance","AgeDiversity",-4,0.577583986836278,0.0734984013073008,8.26619198137646e-05,2.56472064751449e-91
50,50,6,"Abundance","AgeDiversity",-3,0.621311755501348,0.0497722305291127,4.72451181354749e-06,5.19058049017703e-111
50,50,6,"Abundance","AgeDiversity",-2,0.693791243102608,0.0472138032030003,7.63760166222482e-11,5.49228084467389e-118
50,50,6,"Abundance","AgeDiversity",-1,0.636591790017205,0.0560304163651131,1.2904566304428e-11,5.43298524779837e-107
50,50,6,"Abundance","AgeDiversity",0,0.6494414310029,0.0425763833858557,1.2904566304428e-11,1.38616148467963e-119
50,50,6,"Abundance","AMO",-8,0.3548395865939,0.073739137051694,2.41022656499723e-06,8.78607306369847e-71
50,50,6,"Abundance","AMO",-7,0.414003085999195,0.0669894869815659,4.94106357484814e-05,3.40848692484261e-81
50,50,6,"Abundance","AMO",-6,0.525531516463198,0.0549567186308064,3.98309214499903e-08,1.20094310954415e-99
50,50,6,"Abundance","AMO",-5,0.573527573583616,0.0554238735131959,1.38948963446239e-09,5.23809176089395e-103
50,50,6,"Abundance","AMO",-4,0.501953977389627,0.0587505126434968,4.94106357484814e-05,7.3390133896167e-95
50,50,6,"Abundance","AMO",-3,0.521069712724869,0.0673697997718117,3.5587999214215e-10,1.20767642820794e-90
50,50,6,"Abundance","AMO",-2,0.554761381876571,0.0574722967930988,1.52944323872362e-12,4.79574042572167e-100
50,50,6,"Abundance","AMO",-1,0.478424499119364,0.0641150185551613,4.72556482833397e-09,3.96563604748209e-89
50,50,6,"Abundance","AMO",0,0.423190795334417,0.0577584833839245,1.02027024606599e-07,2.34352336426145e-88
50,50,9,"Abundance","SBT",-8,0.859845028801591,0.0366701582760036,2.29414265362493e-11,5.0934750783348e-138
50,50,9,"Abundance","SBT",-7,0.858774478142231,0.0373063417813728,1.01554342712973e-09,3.15252952592517e-137
50,50,9,"Abundance","SBT",-6,0.862140808588258,0.03936502319245,1.52944323872362e-12,4.32266028588902e-135
50,50,9,"Abundance","SBT",-5,0.862429173001529,0.0415848548333009,1.82002413140481e-10,9.43985587037918e-133
50,50,9,"Abundance","SBT",-4,0.862808191335709,0.0408812928631611,1.82002413140481e-10,1.67536489731504e-133
50,50,9,"Abundance","SBT",-3,0.866090301383232,0.0353951815129335,1.52944323872362e-12,7.54204513411378e-140
50,50,9,"Abundance","SBT",-2,0.850422734024053,0.0399851177748981,2.29414265362493e-11,7.82517003815626e-134
50,50,9,"Abundance","SBT",-1,0.857249859761569,0.0432579613879946,2.29414265362493e-11,8.41885641743428e-131
50,50,9,"Abundance","SBT",0,0.858611725228089,0.0407007631160409,1.82002413140481e-10,1.75149554561838e-133
50,50,9,"Abundance","CVofSBT",-8,0.647552370795639,0.0481638713957098,4.47206138787237e-09,3.49048607073016e-114
50,50,9,"Abundance","CVofSBT",-7,0.677919083883295,0.0459108984171709,1.82002413140481e-10,3.40852829148764e-118
