"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
30,30,6,"Abundance","CV.CPUE",-8,0.364972133020455,0.094570194675595,0.0446152998236331,8.95645725837381e-62
30,30,6,"Abundance","CV.CPUE",-7,0.38357703741832,0.0907179324187489,0.180180776014109,1.77408340656491e-65
30,30,6,"Abundance","CV.CPUE",-6,0.471253340184811,0.0779078966574812,0.0446152998236331,2.70428952336637e-80
30,30,6,"Abundance","CV.CPUE",-5,0.559857842948687,0.0576693586028188,4.96031746031189e-05,2.73772186293284e-100
30,30,6,"Abundance","CV.CPUE",-4,0.667259448650803,0.0481292669942749,0.000242504409171174,1.69795231997389e-115
30,30,6,"Abundance","CV.CPUE",-3,0.609417669262955,0.0645139878201862,0.000242504409171174,3.98324993115904e-99
30,30,6,"Abundance","CV.CPUE",-2,0.695390668885396,0.0441209065146516,4.96031746031189e-05,5.50073400902967e-121
30,30,6,"Abundance","CV.CPUE",-1,0.691431244819361,0.0575170377522459,5.51146384486501e-06,2.11507025725606e-109
30,30,6,"Abundance","CV.CPUE",0,0.6559579825212,0.0536555490405386,5.51146384486501e-06,4.04146463164663e-110
30,30,3,"Abundance","AgeDiversity",-8,0.299525927591603,0.106452581508709,0.216373456790123,2.50879528898525e-49
30,30,3,"Abundance","AgeDiversity",-7,0.184064467855355,0.104540071816745,0.0286094576719577,1.4587356626e-32
30,30,3,"Abundance","AgeDiversity",-6,0.401041937724053,0.10140418080584,0.484312720458554,9.19133110122206e-63
30,30,3,"Abundance","AgeDiversity",-5,0.381357963367934,0.0931324751199714,0.15574184303351,3.58074292204119e-64
30,30,3,"Abundance","AgeDiversity",-4,0.59140302492794,0.061873493262047,0.291248346560847,1.25609061408367e-99
30,30,3,"Abundance","AgeDiversity",-3,0.659044730926075,0.0440814336032513,1,1.00141597802483e-118
30,30,3,"Abundance","AgeDiversity",-2,0.6307745445599,0.0545383314596398,0.600653659611993,9.43910205724889e-108
30,30,3,"Abundance","AgeDiversity",-1,0.60835190444716,0.0666967918702902,1,1.22802856401963e-97
30,30,3,"Abundance","AgeDiversity",0,0.509030784968462,0.053431249400664,0.600653659611993,1.73421020398754e-99
30,30,7,"Abundance","AMO",-8,-0.0940367448701437,0.135105457656667,0.00085427689594364,0.999999999812913
30,30,7,"Abundance","AMO",-7,-0.00699158788238515,0.116015075972677,4.96031746031189e-05,0.725938499412343
30,30,7,"Abundance","AMO",-6,-0.129142460461749,0.103741924167584,0.0446152998236331,1
30,30,7,"Abundance","AMO",-5,-0.0406973850989146,0.139150419457433,0.000242504409171174,0.997862681016628
30,30,7,"Abundance","AMO",-4,-0.086133314499712,0.147914004444145,0.00242504409171085,0.999999964129962
30,30,7,"Abundance","AMO",-3,-0.11911567395468,0.183825278100905,0.180180776014109,0.999999998201952
30,30,7,"Abundance","AMO",-2,-0.0733476977426542,0.165637723212338,0.0446152998236331,0.999987742026349
30,30,7,"Abundance","AMO",-1,-0.114509319578019,0.186685756397949,0.358487654320988,0.999999991153097
30,30,7,"Abundance","AMO",0,-0.303623888628314,0.176893345767561,0.000854276895943563,1
30,30,5,"Abundance","SBT",-8,-0.314017284100586,0.141318364323674,0.108313492063492,1
30,30,5,"Abundance","SBT",-7,-0.212222293976082,0.141970424427221,1,1
30,30,5,"Abundance","SBT",-6,-0.140104157891482,0.151744265153026,0.15574184303351,0.999999999999997
30,30,5,"Abundance","SBT",-5,-0.0335783939043398,0.170644450867211,2.97619047620046e-05,0.974052142681171
30,30,5,"Abundance","SBT",-4,0.0054098594961555,0.166961647971366,2.97619047620046e-05,0.373303943911603
30,30,5,"Abundance","SBT",-3,-0.00810232154389159,0.163560097949333,2.97619047620046e-05,0.689282596726321
30,30,5,"Abundance","SBT",-2,0.0313117922030287,0.152828909877276,0.00468694885361542,0.0215631382441251
30,30,5,"Abundance","SBT",-1,0.00577125880436997,0.160285423808385,0.000946318342151642,0.359784123827674
30,30,5,"Abundance","SBT",0,-0.0138650714276437,0.158354243331591,2.97619047620046e-05,0.808309216587755
30,30,6,"Abundance","CVofSBT",-8,-0.30286806174343,0.160949483526916,0.00588624338624339,1
30,30,6,"Abundance","CVofSBT",-7,-0.249191094661159,0.131737190128692,0.259518298059965,1
30,30,6,"Abundance","CVofSBT",-6,-0.128196877233039,0.152874780292072,0.919455467372134,0.999999999999822
30,30,6,"Abundance","CVofSBT",-5,-0.0737264242409102,0.160270073862824,0.0126653439153439,0.999993741332503
30,30,6,"Abundance","CVofSBT",-4,-0.058043311806063,0.145700148312024,0.180180776014109,0.999935160381484
30,30,6,"Abundance","CVofSBT",-3,-0.0522707351124043,0.154609705294286,0.358487654320988,0.999482220109481
30,30,6,"Abundance","CVofSBT",-2,0.00630035777211141,0.140297052238179,0.00242504409171085,0.327180361668279
30,30,6,"Abundance","CVofSBT",-1,0.00362721161554144,0.161280562368607,0.00085427689594364,0.411260030647076
30,30,6,"Abundance","CVofSBT",0,-0.207331672024127,0.138781820841155,0.612202380952381,1
30,30,3,"Abundance","SST",-8,-0.28286138100191,0.138790552921279,0.216373456790123,1
30,30,3,"Abundance","SST",-7,-0.127657719973381,0.136683535893562,0.38071979717813,0.999999999999998
30,30,3,"Abundance","SST",-6,-0.0885142052200281,0.149799182352211,0.0126653439153439,0.999999975542308
30,30,3,"Abundance","SST",-5,-3.57460492719202e-05,0.148317043352365,0.000115189594356302,0.500959069206048
30,30,3,"Abundance","SST",-4,0.034660496618154,0.143571362983929,0.000115189594356302,0.00880420573211954
30,30,3,"Abundance","SST",-3,0.0496209908415855,0.130854768536081,2.97619047620046e-05,0.000128537081976095
30,30,3,"Abundance","SST",-2,-0.0786834745528527,0.129931723057829,0.0466225749559084,0.999999987387855
30,30,3,"Abundance","SST",-1,-0.0286394885302399,0.121785847783476,0.00221285273368599,0.989663955718979
30,30,3,"Abundance","SST",0,-0.0841258352382857,0.137743721652954,0.216373456790123,0.999999990024363
30,30,6,"Abundance","CVofSST",-8,-0.399522700643815,0.119047477991025,5.51146384479718e-06,1
30,30,6,"Abundance","CVofSST",-7,-0.237748731219537,0.158252130835785,0.0751763668430335,1
30,30,6,"Abundance","CVofSST",-6,-0.188034207689194,0.131543489290018,0.180180776014109,1
30,30,6,"Abundance","CVofSST",-5,-0.0630902019893364,0.124460300216479,0.761414241622575,0.999999068849204
30,30,6,"Abundance","CVofSST",-4,-0.170759673997065,0.142908940644472,0.358487654320988,1
30,30,6,"Abundance","CVofSST",-3,-0.198580779848625,0.133315987806135,0.919455467372134,1
30,30,6,"Abundance","CVofSST",-2,-0.185643216177949,0.133080831493264,0.761414241622575,1
30,30,6,"Abundance","CVofSST",-1,-0.16358671028893,0.121503082759473,0.761414241622575,1
30,30,6,"Abundance","CVofSST",0,-0.246381417215919,0.159524934176215,0.476708553791887,1
