"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,2,"Abundance","CV.CPUE",-8,-0.0253203055447618,0.102014646415634,0.00635528422852749,0.992626419317314
50,50,2,"Abundance","CV.CPUE",-7,-0.0982077153688074,0.106190676691247,2.8762465771601e-05,0.999999999999998
50,50,2,"Abundance","CV.CPUE",-6,-0.144441204780215,0.109627387318317,0.00127503317278787,1
50,50,2,"Abundance","CV.CPUE",-5,0.00934693156583034,0.119853538058454,3.20901942447716e-05,0.218666057885571
50,50,2,"Abundance","CV.CPUE",-4,-0.0256658795875117,0.122101000565082,0.228133658769073,0.980955355535052
50,50,2,"Abundance","CV.CPUE",-3,-0.0155306269004868,0.11733529506214,0.625866196387911,0.905659630371614
50,50,2,"Abundance","CV.CPUE",-2,0.00746386362755708,0.110944620684437,0.0197806317594083,0.251334987429045
50,50,2,"Abundance","CV.CPUE",-1,-0.0819813488274532,0.0999597003287693,2.8762465771601e-05,0.999999999999557
50,50,2,"Abundance","CV.CPUE",0,0.129462798282651,0.111508230021645,4.72556482833397e-09,1.75793912557187e-20
50,50,4,"Abundance","AgeDiversity",-8,0.161089339785615,0.120037606914076,6.62542542095856e-06,2.5947186262931e-24
50,50,4,"Abundance","AgeDiversity",-7,0.159888826983983,0.0897884117065965,3.20901942447716e-05,6.21357423626275e-33
50,50,4,"Abundance","AgeDiversity",-6,0.127770050869534,0.0831345936443813,5.18722751399192e-05,2.86485592734344e-28
50,50,4,"Abundance","AgeDiversity",-5,0.0254840939678455,0.107089865299458,5.45407092600314e-07,0.00962158091913804
50,50,4,"Abundance","AgeDiversity",-4,0.0589911585215748,0.102678659822527,6.62542542095856e-06,5.07244513242712e-08
50,50,4,"Abundance","AgeDiversity",-3,0.126974678425959,0.125627506085739,8.21617886030968e-05,3.19222336063016e-17
50,50,4,"Abundance","AgeDiversity",-2,0.299018121996571,0.0993364102085681,1.08016262601041e-10,6.28838452773987e-52
50,50,4,"Abundance","AgeDiversity",-1,-0.0675915317621044,0.0877923295800802,0.392727612326242,0.999999999994735
50,50,4,"Abundance","AgeDiversity",0,-0.000640931431982456,0.0833230910404056,3.71891752570797e-06,0.530579272942791
50,50,6,"Abundance","AMO",-8,0.122582460482546,0.14070007006249,0.690095040514131,3.49223386954859e-14
50,50,6,"Abundance","AMO",-7,0.376508586802852,0.0999198851829363,2.44193725018604e-07,8.22485256977358e-61
50,50,6,"Abundance","AMO",-6,0.32742054012556,0.0716844162439746,4.72451181354749e-06,1.23221193264381e-68
50,50,6,"Abundance","AMO",-5,0.192355633297996,0.129421983911864,0.116047433028545,2.92620270248153e-27
50,50,6,"Abundance","AMO",-4,0.233963363852235,0.147535639224351,0.000336296764708033,3.13017316513864e-29
50,50,6,"Abundance","AMO",-3,0.162719014228061,0.110497208505389,0.139049963024319,5.50624832879063e-27
50,50,6,"Abundance","AMO",-2,0.0796980344642015,0.133110754440471,0.894351259969982,1.7183089166218e-08
50,50,6,"Abundance","AMO",-1,0.134460968157124,0.128261364747971,0.69009504051413,4.83707247345005e-18
50,50,6,"Abundance","AMO",0,0.328477919416268,0.0828604415159894,7.63760166222482e-11,7.37683503434883e-63
50,50,9,"Abundance","SBT",-8,0.365914301349395,0.086287956174615,0.0743349808489937,1.3482851384413e-65
50,50,9,"Abundance","SBT",-7,0.340032616089799,0.0931253776872485,0.626494517515847,1.50848827649093e-59
50,50,9,"Abundance","SBT",-6,0.372250822081884,0.0826745236124744,0.0274952652157514,4.76649226938609e-68
50,50,9,"Abundance","SBT",-5,0.346040197303606,0.0793986590165645,0.281566070295568,1.02915509802086e-66
50,50,9,"Abundance","SBT",-4,0.334867961892252,0.09391173132058,0.92257009049519,1.33899777608673e-58
50,50,9,"Abundance","SBT",-3,0.379787656558628,0.0870282003933945,0.281566070295568,9.10027299020451e-67
50,50,9,"Abundance","SBT",-2,0.360336130468133,0.0854723127852886,1,2.33787080515277e-65
50,50,9,"Abundance","SBT",-1,0.373585426834182,0.089922961111455,0.558966072122322,9.23401918135501e-65
50,50,9,"Abundance","SBT",0,0.375923243298442,0.0829739648486226,0.281566070295568,2.65322757725869e-68
50,50,9,"Abundance","CVofSBT",-8,0.234918472404434,0.0905033383494749,0.0207906153223614,2.86333641391401e-46
50,50,9,"Abundance","CVofSBT",-7,0.104716436277938,0.084498609269907,0.770495669755301,3.73779297463819e-22
50,50,9,"Abundance","CVofSBT",-6,0.122758286074827,0.0813620914915084,0.281566070295568,1.03694892610381e-27
50,50,9,"Abundance","CVofSBT",-5,0.0483402806426952,0.0777416709331477,0.168577873677493,6.02050248570076e-09
50,50,9,"Abundance","CVofSBT",-4,0.0969429787676649,0.108316526131956,0.328233587669434,1.06422314590427e-14
50,50,9,"Abundance","CVofSBT",-3,0.193161335877893,0.0896683447959315,0.00826999894823977,1.8838718827868e-39
50,50,9,"Abundance","CVofSBT",-2,0.157399315994012,0.0787573184707765,0.239458815685833,7.9840502785359e-37
50,50,9,"Abundance","CVofSBT",-1,0.0475272529276849,0.117222675651802,0.435118910932114,5.01099756669893e-05
50,50,9,"Abundance","CVofSBT",0,0.125257462391238,0.114726033924475,0.495050852624803,5.49824573050719e-19
50,50,9,"Abundance","SST",-8,0.388771424752306,0.0842276127396605,0.0589958450512353,4.56476822254259e-69
50,50,9,"Abundance","SST",-7,0.341517644047611,0.0790448130392183,0.435118910932114,2.33126999969028e-66
50,50,9,"Abundance","SST",-6,0.371571444591231,0.0771777681632074,0.0743349808489937,8.3804783051522e-71
50,50,9,"Abundance","SST",-5,0.355530221636848,0.0851514592369765,0.281566070295568,5.78767482761657e-65
50,50,9,"Abundance","SST",-4,0.375894099831015,0.0798042803766474,0.845841042458974,6.69635227589998e-70
