"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,7,"Abundance","CV.CPUE",-8,0.0509370720297047,0.107891970853493,0.26504598877832,3.86607582008946e-06
50,50,7,"Abundance","CV.CPUE",-7,0.154197112090242,0.106393596775248,5.50848431757345e-07,1.62706176086024e-26
50,50,7,"Abundance","CV.CPUE",-6,0.181595452784406,0.100643629819975,2.41022656499723e-06,2.28596299930026e-33
50,50,7,"Abundance","CV.CPUE",-5,0.1363332053539,0.107909888105046,0.00114261804195204,1.15218635907635e-22
50,50,7,"Abundance","CV.CPUE",-4,0.157655073630332,0.122283746560531,4.72451181354749e-06,3.28484678027103e-23
50,50,7,"Abundance","CV.CPUE",-3,-0.0241176050519372,0.115529696247228,0.0412617759894029,0.980297702149372
50,50,7,"Abundance","CV.CPUE",-2,0.141076029328629,0.115345909126067,2.8762465771548e-05,8.26039827410429e-22
50,50,7,"Abundance","CV.CPUE",-1,0.0988138801423147,0.107017251691265,2.41022656499723e-06,2.57026042643934e-15
50,50,7,"Abundance","CV.CPUE",0,0.24429327918254,0.116241616336366,1.43717926448517e-08,1.40823035320635e-38
50,50,3,"Abundance","AgeDiversity",-8,-0.164427743650763,0.140345675806864,1.25716599654265e-07,1
50,50,3,"Abundance","AgeDiversity",-7,-0.0228651818721366,0.117909315945187,0.000292493771958391,0.9723391728088
50,50,3,"Abundance","AgeDiversity",-6,-0.123723479771862,0.0797425951354812,0.151333639663086,1
50,50,3,"Abundance","AgeDiversity",-5,-0.158140062533627,0.120539834083943,3.71891752565116e-06,1
50,50,3,"Abundance","AgeDiversity",-4,-0.102597158413653,0.101014409522159,0.027329794647272,1
50,50,3,"Abundance","AgeDiversity",-3,-0.0196256318817846,0.120557506303931,0.00334566238264349,0.946638365149601
50,50,3,"Abundance","AgeDiversity",-2,0.161030477071995,0.084464117415947,5.45407092600314e-07,3.27585553201863e-35
50,50,3,"Abundance","AgeDiversity",-1,-0.0161568482595406,0.107245885743687,0.839341553303608,0.932441484722614
50,50,3,"Abundance","AgeDiversity",0,0.0222321030783834,0.0969967468850422,1.94253663081678e-05,0.0120102315246057
50,50,6,"Abundance","AMO",-8,0.23857795615164,0.0780948700186777,0.0516768954242628,1.6758496738851e-52
50,50,6,"Abundance","AMO",-7,0.297202295801141,0.123298616987414,0.000336296764708033,1.62063235306188e-43
50,50,6,"Abundance","AMO",-6,0.280489414354134,0.164091129313927,0.16527546850601,1.33277623692861e-31
50,50,6,"Abundance","AMO",-5,0.384745453710564,0.116591555889834,2.8762465771548e-05,1.59115797120997e-55
50,50,6,"Abundance","AMO",-4,0.302032106132788,0.127672931748949,0.00635528422852749,7.89727059771253e-43
50,50,6,"Abundance","AMO",-3,0.478345019131457,0.0746107088208663,1.17934845844658e-06,9.82407335136387e-83
50,50,6,"Abundance","AMO",-2,0.395052706398829,0.0781574436586857,0.116047433028545,8.16500805719114e-73
50,50,6,"Abundance","AMO",-1,0.191855478109743,0.106013267404911,0.0255375408438456,1.82126762338543e-33
50,50,6,"Abundance","AMO",0,0.290983895912508,0.0920299436250537,2.44193725018604e-07,7.62174883632032e-54
50,50,9,"Abundance","SBT",-8,0.855657472467109,0.0249581502104076,2.29414265362493e-11,2.47941852606711e-154
50,50,9,"Abundance","SBT",-7,0.862160070280074,0.0250826542105667,5.33772028799007e-08,1.91815331330368e-154
