"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,3,"Abundance","CV.CPUE",-8,0.146082374571624,0.0936172302447364,2.02700778006992e-06,9.84272555849545e-29
50,50,3,"Abundance","CV.CPUE",-7,0.258544473465368,0.125895271390671,2.62814214835316e-11,9.07212572237656e-38
50,50,3,"Abundance","CV.CPUE",-6,-0.108950777255774,0.107088460779884,0.776494067688393,1
50,50,3,"Abundance","CV.CPUE",-5,-0.0494666130270553,0.112487408626967,0.021725331256792,0.999986201890984
50,50,3,"Abundance","CV.CPUE",-4,0.0249048647170369,0.0999167230787117,0.0517532494590776,0.00717117695625972
50,50,3,"Abundance","CV.CPUE",-3,0.182323333237561,0.0977369789549401,4.72556482833397e-09,1.77562048242823e-34
50,50,3,"Abundance","CV.CPUE",-2,-0.0907398500301927,0.109561853271907,0.151333639663086,0.999999999999703
50,50,3,"Abundance","CV.CPUE",-1,0.24448838040417,0.0779131671859869,0.00600683882392206,1.5091231402853e-53
50,50,3,"Abundance","CV.CPUE",0,0.168642663441793,0.0996148865530074,0.1766574193403,2.72103936980138e-31
50,50,4,"Abundance","AgeDiversity",-8,-0.0918887132616445,0.125462932235983,0.00245512856408382,0.99999999996736
50,50,4,"Abundance","AgeDiversity",-7,0.0429787255400943,0.130119750544249,0.000127680419398368,0.000665914962073869
50,50,4,"Abundance","AgeDiversity",-6,0.0581289660857936,0.132960071390325,3.57438545428579e-09,1.52256403631462e-05
50,50,4,"Abundance","AgeDiversity",-5,0.19226300529875,0.0905504794033609,3.85990572837613e-10,6.12231245679119e-39
50,50,4,"Abundance","AgeDiversity",-4,-0.164501608583246,0.119089745568988,1.94253663082384e-05,1
50,50,4,"Abundance","AgeDiversity",-3,0.160772966925864,0.0935435971887117,1.25716599574943e-07,8.88919221058847e-32
50,50,4,"Abundance","AgeDiversity",-2,0.0406185020264081,0.110804246087998,0.000432018460957639,0.000199365153338063
50,50,4,"Abundance","AgeDiversity",-1,0.143596140211441,0.114857988301981,0.30811454449877,2.19108430560613e-22
50,50,4,"Abundance","AgeDiversity",0,0.145065863080373,0.0980486763552318,0.000901334702084089,3.99588982514685e-27
50,50,6,"Abundance","AMO",-8,-0.150817802973883,0.134048189730386,8.91848950349694e-06,1
50,50,6,"Abundance","AMO",-7,-0.020420130493445,0.114060949827857,0.824801238706967,0.961767328052817
50,50,6,"Abundance","AMO",-6,0.0500844487134155,0.118853349852357,0.450284886272046,2.77278397643991e-05
50,50,6,"Abundance","AMO",-5,0.203894803341494,0.0979313481097802,1.62687221838542e-05,3.0034730601285e-38
50,50,6,"Abundance","AMO",-4,0.147700888611783,0.0961049145267489,0.0641134326023778,2.86937769456752e-28
50,50,6,"Abundance","AMO",-3,0.0833355643647119,0.106034755362793,0.505644437997331,2.3994847582667e-12
50,50,6,"Abundance","AMO",-2,0.0198783941392991,0.121798723700369,0.75655502544518,0.052920941993213
50,50,6,"Abundance","AMO",-1,0.22342223565915,0.101162700599808,1.02027024606599e-07,2.43312095766097e-40
50,50,6,"Abundance","AMO",0,0.13485801764464,0.103100831548856,2.41022656499723e-06,1.32681444695005e-23
50,50,9,"Abundance","SBT",-8,0.387838673924662,0.0850618800877503,0.000532021560584628,1.45552792046996e-68
50,50,9,"Abundance","SBT",-7,0.416235142665734,0.0647605983329955,0.00193596271973417,7.71082462786183e-83
50,50,9,"Abundance","SBT",-6,0.404258614544189,0.066881973319065,0.000117603724415938,2.90517337946765e-80
50,50,9,"Abundance","SBT",-5,0.422116032357197,0.0730768486497828,1.96940497039222e-05,2.29105073474397e-78
50,50,9,"Abundance","SBT",-4,0.400263319003739,0.0692009169753229,0.00590158628390269,2.01403713598396e-78
50,50,9,"Abundance","SBT",-3,0.396418522758672,0.0768324965460235,0.0743349808489937,1.14933282290956e-73
