"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,3,"Abundance","CV.CPUE",-4,-0.186135494482035,0.15304963352647,0.761414241622575,1
25,25,3,"Abundance","CV.CPUE",-3,0.0372563483271103,0.17074004494107,0.000242504409171174,0.015735744921425
25,25,3,"Abundance","CV.CPUE",-2,-0.206590983598357,0.172327895731683,1,1
25,25,3,"Abundance","CV.CPUE",-1,-0.302478297244404,0.16776056273199,0.0247409611992945,1
25,25,3,"Abundance","CV.CPUE",0,-0.358762331612608,0.15660119383918,0.000854276895943563,1
25,25,2,"Abundance","AgeDiversity",-4,-0.0294809398364085,0.196636265811279,0.548412698412698,0.931506143728406
25,25,2,"Abundance","AgeDiversity",-3,0.154894536725579,0.170410781784991,0.0141369047619047,5.29086716400983e-15
25,25,2,"Abundance","AgeDiversity",-2,0.269748617343803,0.192967242117146,0.0141369047619047,1.8175592232221e-25
25,25,2,"Abundance","AgeDiversity",-1,0.0516428177951809,0.19657655272962,0.548412698412698,0.00499034934262468
25,25,2,"Abundance","AgeDiversity",0,-0.0498982679595927,0.132542285513368,1,0.999858523841051
25,25,3,"Abundance","AMO",-4,0.384092115366769,0.121843047120539,0.000242504409171174,9.99323856153794e-54
25,25,3,"Abundance","AMO",-3,0.209812034111437,0.142316203320522,4.96031746031189e-05,5.0986431538727e-27
25,25,3,"Abundance","AMO",-2,-0.0645482962037143,0.125289289516418,0.919455467372134,0.999999341698909
25,25,3,"Abundance","AMO",-1,-0.292601193850379,0.126577980886254,0.259518298059965,1
25,25,3,"Abundance","AMO",0,-0.141791275154454,0.0938249039267028,0.476708553791887,1
25,25,4,"Abundance","SBT",-4,-0.234950296751377,0.211730906027537,0.904861111111111,1
25,25,4,"Abundance","SBT",-3,-0.237522088399861,0.152143949367673,0.398759920634921,1
25,25,4,"Abundance","SBT",-2,-0.227343547661164,0.188601481915628,0.398759920634921,1
25,25,4,"Abundance","SBT",-1,0.0263619462668329,0.158572622357236,0.00173611111111116,0.0497925977276169
25,25,4,"Abundance","SBT",0,0.00301277439060308,0.115624835074929,4.96031746031189e-05,0.397484731653529
25,25,7,"Abundance","CVofSBT",-4,-0.500621450402082,0.137413244415379,0.561904761904762,1
25,25,7,"Abundance","CVofSBT",-3,-0.161530719517622,0.0952823585024296,0.0107142857142857,1
25,25,7,"Abundance","CVofSBT",-2,-0.236941459101709,0.153677733398806,0.069047619047619,1
25,25,7,"Abundance","CVofSBT",-1,-0.00577206562790776,0.173885674701786,0.0107142857142857,0.629684116397617
25,25,7,"Abundance","CVofSBT",0,-0.267089073621739,0.179355033393509,0.069047619047619,1
25,25,5,"Abundance","SST",-4,-0.0237002010912776,0.146030993905667,0.0311507936507935,0.946110582022667
25,25,5,"Abundance","SST",-3,-0.191369669369649,0.173525690226501,0.719543650793651,1
25,25,5,"Abundance","SST",-2,-0.220842745772398,0.171351195756632,0.398759920634921,1
25,25,5,"Abundance","SST",-1,-0.0761755421976969,0.157102359772252,0.0141369047619047,0.999997692049126
25,25,5,"Abundance","SST",0,-0.00354067531210159,0.140557248834161,0.00550595238095242,0.599180771517649
25,25,6,"Abundance","CVofSST",-4,-0.0308349839515882,0.153776855993829,0.000396825396825395,0.976163045342891
25,25,6,"Abundance","CVofSST",-3,-0.0340126785831495,0.152147376430863,0.000396825396825395,0.986184891704889
25,25,6,"Abundance","CVofSST",-2,-0.231093694759509,0.140235669795285,0.0610119047619047,1
25,25,6,"Abundance","CVofSST",-1,-0.299760590125861,0.136181451780862,0.275099206349206,1
25,25,6,"Abundance","CVofSST",0,-0.0293161801634517,0.124547207559233,0.00173611111111116,0.989721448655612
25,25,5,"Abundance","F",-4,-0.348079515441828,0.113334719461044,0.0141369047619048,1
25,25,5,"Abundance","F",-3,-0.103577538028223,0.0867917595303296,0.904861111111111,1
25,25,5,"Abundance","F",-2,0.164031833031952,0.0937585387592139,0.719543650793651,2.35588308590109e-32
25,25,5,"Abundance","F",-1,0.362601483002256,0.0983877119524384,0.275099206349206,6.39840167569662e-60
25,25,5,"Abundance","F",0,0.629140070581149,0.0552954622126925,0.000396825396825395,4.72122318205169e-107
25,25,3,"Abundance","CV.CPUE",-4,-0.169771144618075,0.151223331563501,0.0751763668430334,1
25,25,3,"Abundance","CV.CPUE",-3,0.0214686059085427,0.185849317304628,4.96031746031189e-05,0.125402310594831
25,25,3,"Abundance","CV.CPUE",-2,-0.213339728348397,0.204275199719541,0.612202380952381,1
25,25,3,"Abundance","CV.CPUE",-1,-0.322826701473665,0.15008959259098,0.00242504409171076,1
25,25,3,"Abundance","CV.CPUE",0,-0.364975696748929,0.158299421281612,4.96031746031746e-05,1
25,25,2,"Abundance","AgeDiversity",-4,-0.0291709800413908,0.161144307435922,0.548412698412698,0.96335385407896
25,25,2,"Abundance","AgeDiversity",-3,0.155100252582667,0.164404527481822,0.0311507936507935,9.39011630066199e-16
25,25,2,"Abundance","AgeDiversity",-2,0.261358427781282,0.174192539501042,0.00550595238095242,1.52503417211998e-27
25,25,2,"Abundance","AgeDiversity",-1,0.0580209452926257,0.172774129684908,0.904861111111111,0.000557304266532019
25,25,2,"Abundance","AgeDiversity",0,-0.0464867318707217,0.105872799070704,0.178869047619048,0.999985840667738
25,25,3,"Abundance","AMO",-4,0.386460075446842,0.111189907039093,4.96031746031189e-05,1.40125706716378e-57
25,25,3,"Abundance","AMO",-3,0.206911148613202,0.130504649574794,0.000242504409171174,3.17833999248699e-29
25,25,3,"Abundance","AMO",-2,-0.0754156325515967,0.12742335929002,0.761414241622575,0.999999976578774
25,25,3,"Abundance","AMO",-1,-0.29847246703958,0.127542091231262,0.0247409611992945,1
25,25,3,"Abundance","AMO",0,-0.13028534267215,0.0937705077690657,1,1
25,25,4,"Abundance","SBT",-4,-0.249726892927242,0.22838131761021,0.275099206349206,1
25,25,4,"Abundance","SBT",-3,-0.234630895732876,0.15703043488441,0.719543650793651,1
25,25,4,"Abundance","SBT",-2,-0.247353631148807,0.205945352659701,0.275099206349206,1
25,25,4,"Abundance","SBT",-1,-0.0151236222443654,0.170418740782612,0.00550595238095242,0.811503231289722
25,25,4,"Abundance","SBT",0,0.0318420287164706,0.11089443727752,0.000396825396825395,0.0024994582420136
25,25,7,"Abundance","CVofSBT",-4,-0.479580181402125,0.140634010988745,0.772619047619048,1
25,25,7,"Abundance","CVofSBT",-3,-0.170993473416866,0.114760873548347,0.0107142857142857,1
25,25,7,"Abundance","CVofSBT",-2,-0.231985211498377,0.160120559478818,0.000396825396825395,1
25,25,7,"Abundance","CVofSBT",-1,-0.0202680425413003,0.155592247823139,0.00277777777777777,0.902139834285617
25,25,7,"Abundance","CVofSBT",0,-0.29591226948358,0.170959112537913,0.136111111111111,1
25,25,5,"Abundance","SST",-4,-0.00941374572092582,0.143790102281833,0.00173611111111116,0.742906141860998
25,25,5,"Abundance","SST",-3,-0.156258326036392,0.163742666683863,0.178869047619048,0.999999999999999
25,25,5,"Abundance","SST",-2,-0.214468010861655,0.180653721036442,0.00550595238095242,1
25,25,5,"Abundance","SST",-1,-0.0899335676205048,0.178301934233364,0.00173611111111116,0.99999896581347
25,25,5,"Abundance","SST",0,0.0136736934697733,0.166677648030372,0.00173611111111116,0.206988749174531
25,25,6,"Abundance","CVofSST",-4,-0.0435957430980517,0.143526735031491,0.00550595238095242,0.998474859240269
25,25,6,"Abundance","CVofSST",-3,-0.0198218194544366,0.128556034420578,0.00550595238095242,0.936853583991917
25,25,6,"Abundance","CVofSST",-2,-0.227330197549474,0.154372412194002,0.0610119047619047,1
25,25,6,"Abundance","CVofSST",-1,-0.287135788151383,0.117490152266217,0.0141369047619047,1
25,25,6,"Abundance","CVofSST",0,-0.0469236831771939,0.124942560419082,0.000396825396825395,0.999853959933562
25,25,5,"Abundance","F",-4,-0.339469717469978,0.11809402596521,0.0141369047619048,1
25,25,5,"Abundance","F",-3,-0.103279683234695,0.0794040744911226,1,1
25,25,5,"Abundance","F",-2,0.17665986886006,0.0977779487877013,0.398759920634921,2.06548601639478e-33
25,25,5,"Abundance","F",-1,0.370145910454646,0.0805572299032969,0.548412698412698,7.01407721345234e-69
25,25,5,"Abundance","F",0,0.614883232910176,0.0734542653577746,0.00173611111111116,5.4018384471146e-94
25,25,3,"Abundance","CV.CPUE",-4,-0.144638749885633,0.143512904411301,0.1194389329806,1
25,25,3,"Abundance","CV.CPUE",-3,0.0374716668281461,0.173800008268489,4.96031746031189e-05,0.0167523319443553
25,25,3,"Abundance","CV.CPUE",-2,-0.211393305611877,0.181890885397087,0.259518298059965,1
25,25,3,"Abundance","CV.CPUE",-1,-0.322576758458241,0.156563466889389,0.000242504409171076,1
25,25,3,"Abundance","CV.CPUE",0,-0.3434006330694,0.14022760619814,0.000854276895943563,1
25,25,2,"Abundance","AgeDiversity",-4,-0.00234910469158038,0.1753101486208,0.919455467372134,0.553161543708618
25,25,2,"Abundance","AgeDiversity",-3,0.138169783454436,0.184813451327082,0.0610119047619047,1.5608400593984e-11
25,25,2,"Abundance","AgeDiversity",-2,0.278042490523025,0.166960058270396,0.00085427689594364,9.12079939931927e-31
25,25,2,"Abundance","AgeDiversity",-1,0.0383640308319555,0.17953647327258,0.719543650793651,0.017537668928825
25,25,2,"Abundance","AgeDiversity",0,-0.0192552182062431,0.122448783473901,1,0.940488777228838
25,25,3,"Abundance","AMO",-4,0.375449601265508,0.115721047062535,4.96031746031189e-05,7.41194700998858e-55
25,25,3,"Abundance","AMO",-3,0.209948563756256,0.152742263253642,0.00085427689594364,5.49911325010066e-25
25,25,3,"Abundance","AMO",-2,-0.0562442236169748,0.126555765316741,0.358487654320988,0.99998847915891
25,25,3,"Abundance","AMO",-1,-0.304311901403229,0.129209107493286,0.00242504409171076,1
25,25,3,"Abundance","AMO",0,-0.152289585262956,0.0827390818641282,0.0247409611992945,1
25,25,4,"Abundance","SBT",-4,-0.292130226773445,0.220035360447333,0.904861111111111,1
25,25,4,"Abundance","SBT",-3,-0.216765632267659,0.156603301082983,0.904861111111111,1
25,25,4,"Abundance","SBT",-2,-0.204173241356601,0.190721083839059,0.719543650793651,1
25,25,4,"Abundance","SBT",-1,-0.00966135796879964,0.149401210943567,0.0311507936507935,0.740329648985244
25,25,4,"Abundance","SBT",0,0.0388239123221984,0.115152272169001,0.000396825396825395,0.000533681910902012
25,25,7,"Abundance","CVofSBT",-4,-0.466495326813576,0.151816910043915,1,1
