"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,9,"Abundance","CV.CPUE",-4,0.304357659726722,0.0709384706495567,0.0301587301587301,4.49983247459689e-66
25,25,9,"Abundance","CV.CPUE",-3,0.444831806611687,0.0572699157320455,0.561904761904762,7.99539140796717e-91
25,25,9,"Abundance","CV.CPUE",-2,0.550191896545444,0.0551534790075316,0.000396825396825397,1.905675271261e-101
25,25,9,"Abundance","CV.CPUE",-1,0.765292234142917,0.028967092285756,0.069047619047619,3.84991984585181e-143
25,25,9,"Abundance","CV.CPUE",0,0.743514561023155,0.0324006032528189,0.000396825396825395,4.29593745223011e-137
25,25,4,"Abundance","AgeDiversity",-4,0.165127587374117,0.2735948545692,0.548412698412698,1.38250527123012e-08
25,25,4,"Abundance","AgeDiversity",-3,0.544237531380533,0.186796183355949,0.00550595238095242,1.14904297053273e-50
25,25,4,"Abundance","AgeDiversity",-2,0.665471442937443,0.132919857814476,4.96031746031189e-05,2.02781542173291e-72
25,25,4,"Abundance","AgeDiversity",-1,0.759833058223813,0.0858755529594179,4.96031746031189e-05,2.40133528354955e-96
25,25,4,"Abundance","AgeDiversity",0,0.69283970087741,0.0623334153067004,0.000396825396825395,4.6858043866149e-106
25,25,3,"Abundance","AMO",-4,0.733850043587448,0.0417978038312946,0.000242504409171174,1.30844722446502e-125
25,25,3,"Abundance","AMO",-3,0.75144044080845,0.0367629639496342,0.00085427689594364,3.95951200869585e-132
25,25,3,"Abundance","AMO",-2,0.680293149216777,0.0391057278758032,5.51146384486501e-06,3.24567939289765e-125
25,25,3,"Abundance","AMO",-1,0.615678395985841,0.0535658314830881,5.51146384486501e-06,1.7413589182381e-107
25,25,3,"Abundance","AMO",0,0.524374548894678,0.0839748310380202,4.96031746031189e-05,1.25465688014603e-81
25,25,4,"Abundance","SBT",-4,0.0596957084810455,0.165136477615322,0.0141369047619047,0.00023726536285156
25,25,4,"Abundance","SBT",-3,0.144844883146719,0.14860263206291,0.398759920634921,1.94845648162178e-16
25,25,4,"Abundance","SBT",-2,0.304134713788256,0.106988610332749,0.178869047619048,1.01610733521039e-49
25,25,4,"Abundance","SBT",-1,0.383988577189012,0.0573680457093385,0.0311507936507935,1.51896218789589e-84
25,25,4,"Abundance","SBT",0,0.287001271943547,0.0866252085597684,0.00550595238095242,1.10723361239859e-55
25,25,7,"Abundance","CVofSBT",-4,-0.321164262068863,0.205114108396909,0.238888888888889,1
25,25,7,"Abundance","CVofSBT",-3,-0.0301000840780684,0.147350414024286,0.0107142857142857,0.978132748834311
25,25,7,"Abundance","CVofSBT",-2,0.00985239846710662,0.1252620351665,0.000396825396825395,0.216714071932128
25,25,7,"Abundance","CVofSBT",-1,-0.155324610015925,0.160529634557788,0.772619047619048,1
25,25,7,"Abundance","CVofSBT",0,-0.487276560870133,0.133904022019507,0.00277777777777778,1
25,25,5,"Abundance","SST",-4,0.28713720713495,0.139212557827186,0.0610119047619047,6.39854471324347e-38
25,25,5,"Abundance","SST",-3,0.398493697657211,0.06261091645157,0.00550595238095242,1.98900133421265e-82
25,25,5,"Abundance","SST",-2,0.339644306394926,0.0867425564451612,0.000396825396825395,2.3315449538675e-62
25,25,5,"Abundance","SST",-1,0.19255258786533,0.106347465540572,0.000396825396825395,1.7558808929513e-33
25,25,5,"Abundance","SST",0,0.0798352270458781,0.114691402091248,0.00173611111111116,1.8653077284773e-10
25,25,6,"Abundance","CVofSST",-4,-0.230051505787076,0.180551156919142,0.719543650793651,1
25,25,6,"Abundance","CVofSST",-3,0.0120332095024724,0.147877939456582,0.00173611111111116,0.208877449675934
25,25,6,"Abundance","CVofSST",-2,0.0297928841782179,0.105892559722214,0.0311507936507935,0.00295567898345198
25,25,6,"Abundance","CVofSST",-1,-0.0939744431431553,0.094295412202565,0.108680555555555,1
25,25,6,"Abundance","CVofSST",0,-0.0219380470692357,0.126719684618062,0.719543650793651,0.956736675091798
25,25,5,"Abundance","F",-4,0.634528848300685,0.120465851916238,4.96031746031189e-05,1.59410391903836e-74
25,25,5,"Abundance","F",-3,0.680012261321224,0.106379702852638,0.000396825396825395,1.30694459268108e-82
25,25,5,"Abundance","F",-2,0.756622835776576,0.0761617886808578,4.96031746031189e-05,2.86024070566196e-101
25,25,5,"Abundance","F",-1,0.81334322396642,0.0466743669415655,0.000396825396825395,2.74354457577242e-125
25,25,5,"Abundance","F",0,0.864350078137439,0.0355001525985806,4.96031746031189e-05,1.23292301763778e-139
25,25,9,"Abundance","CV.CPUE",-4,0.293723082045618,0.081138081928468,0.0301587301587301,3.33566738814453e-59
25,25,9,"Abundance","CV.CPUE",-3,0.450928921846298,0.0539697034083705,0.381349206349206,6.49176273655933e-94
25,25,9,"Abundance","CV.CPUE",-2,0.557008524019571,0.0560571616710356,0.0301587301587302,2.80371815501787e-101
25,25,9,"Abundance","CV.CPUE",-1,0.76914325767968,0.0255139494224927,0.00277777777777777,8.29924125615938e-149
25,25,9,"Abundance","CV.CPUE",0,0.742670507505727,0.0363185010270634,0.000396825396825395,3.79705510485359e-132
25,25,4,"Abundance","AgeDiversity",-4,0.172041829098148,0.232132634077647,0.904861111111111,2.13798677930201e-11
25,25,4,"Abundance","AgeDiversity",-3,0.505845377609298,0.238496927692827,0.178869047619048,6.68560505065452e-39
25,25,4,"Abundance","AgeDiversity",-2,0.676675508398876,0.0969621162119667,0.00173611111111116,2.65189951240914e-86
25,25,4,"Abundance","AgeDiversity",-1,0.756094352070728,0.075633690041256,4.96031746031189e-05,1.54850096740361e-101
25,25,4,"Abundance","AgeDiversity",0,0.693317770608814,0.0614790321403078,4.96031746031189e-05,1.128664935334e-106
25,25,3,"Abundance","AMO",-4,0.737547852944021,0.0358713694864757,0.000242504409171174,2.21293759795412e-132
25,25,3,"Abundance","AMO",-3,0.73526190249683,0.15273215853571,0.0446152998236331,8.45141932852661e-71
25,25,3,"Abundance","AMO",-2,0.676245262425789,0.0388852564990188,4.96031746031189e-05,3.34788974245713e-125
25,25,3,"Abundance","AMO",-1,0.606524576503218,0.0443765377171949,0.000242504409171174,6.91243080645087e-115
