"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,4,"Abundance","CV.CPUE",-4,0.473331814270396,0.0597164079502998,0.0610119047619047,1.10923988020291e-91
25,25,4,"Abundance","CV.CPUE",-3,0.63067841791457,0.0697523576901293,0.00550595238095242,2.89116746361912e-97
25,25,4,"Abundance","CV.CPUE",-2,0.73557209364081,0.0668350937983163,0.000396825396825395,1.23660855978155e-105
25,25,4,"Abundance","CV.CPUE",-1,0.744534938378738,0.0504944747636151,0.000396825396825395,3.92423578522039e-118
25,25,4,"Abundance","CV.CPUE",0,0.681140727541648,0.0561061705085834,0.00173611111111116,8.03614850435095e-110
25,25,2,"Abundance","AgeDiversity",-4,0.0511330620655713,0.182233248783821,0.00173611111111116,0.00302083659917758
25,25,2,"Abundance","AgeDiversity",-3,0.250104701546053,0.167601974080361,0.00550595238095242,2.21963158490226e-27
25,25,2,"Abundance","AgeDiversity",-2,0.338201126394577,0.1014711213938,0.0311507936507935,6.43337573406129e-56
25,25,2,"Abundance","AgeDiversity",-1,0.460626807656401,0.112885620163064,0.398759920634921,4.96844900072365e-64
25,25,2,"Abundance","AgeDiversity",0,0.371311980164134,0.185650581106303,0.0610119047619047,7.51478666545177e-37
25,25,3,"Abundance","AMO",-4,0.421514775604394,0.0898629436128,4.96031746031189e-05,9.93459615375389e-70
25,25,3,"Abundance","AMO",-3,0.583276262123022,0.105120108436822,4.96031746031189e-05,1.09049124117331e-76
25,25,3,"Abundance","AMO",-2,0.433182112436694,0.0994103726364957,0.0247409611992946,1.04592641540832e-66
25,25,3,"Abundance","AMO",-1,0.346346875683194,0.0912234850938725,0.1194389329806,4.08379060408389e-61
25,25,3,"Abundance","AMO",0,0.247287518019379,0.170650270693562,0.000242504409171174,1.64374271764736e-26
25,25,4,"Abundance","SBT",-4,0.197604940959786,0.119756044624484,0.000396825396825395,1.78669918824788e-30
25,25,4,"Abundance","SBT",-3,0.133640956095629,0.151394314194759,4.96031746031189e-05,1.96559850668245e-14
25,25,4,"Abundance","SBT",-2,-0.10640868560872,0.192112189469126,0.398759920634921,0.999999874414965
25,25,4,"Abundance","SBT",-1,0.170576121783972,0.157550158029948,0.000396825396825395,8.67079390518421e-19
