"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
15,15,3,"Abundance","CV.CPUE",-4,0.833322029568173,0.0517692775560829,0.0833333333333333,6.87754095708423e-122
15,15,3,"Abundance","CV.CPUE",-3,0.839881575863869,0.0778336482716604,0.0166666666666666,8.58457181978122e-105
15,15,3,"Abundance","CV.CPUE",-2,0.854660980734735,0.0410306223695544,0.0166666666666666,6.13106380932842e-133
15,15,3,"Abundance","CV.CPUE",-1,0.837648382053346,0.0386023693479329,0.0833333333333333,1.07870313532386e-134
15,15,3,"Abundance","CV.CPUE",0,0.846642342830869,0.0333455880146414,0.0166666666666666,1.95783791406884e-141
15,15,3,"Abundance","AgeDiversity",-4,0.48190487241683,0.0733433255321812,0.0166666666666666,9.13872580649783e-84
15,15,3,"Abundance","AgeDiversity",-3,0.55697014300161,0.0937043903418358,1,1.46077870127909e-79
15,15,3,"Abundance","AgeDiversity",-2,0.763440270321289,0.0614367549552073,0.0833333333333333,8.12043377247395e-111
15,15,3,"Abundance","AgeDiversity",-1,0.757785059201659,0.0622781800638327,0.0166666666666666,6.43107423025268e-110
15,15,3,"Abundance","AgeDiversity",0,0.691590114985185,0.0504456285045221,0.0833333333333333,5.11235666724667e-115
15,15,3,"Abundance","AMO",-4,0.239266443468365,0.17873732001534,0.0166666666666666,3.04496475274479e-24
15,15,3,"Abundance","AMO",-3,-0.129175524908986,0.109549458737822,0.233333333333333,1
15,15,3,"Abundance","AMO",-2,-0.232222567891707,0.185259579170862,0.816666666666667,1
15,15,3,"Abundance","AMO",-1,-0.190575669430489,0.263217570553768,0.483333333333333,0.999999999951102
15,15,3,"Abundance","AMO",0,-0.0336833172632694,0.252833093606589,0.816666666666667,0.907079242229454
15,15,3,"Abundance","SBT",-4,-0.483143612374164,0.140513975856596,0.816666666666667,1
15,15,3,"Abundance","SBT",-3,-0.334476251687893,0.173532162330772,0.483333333333333,1
15,15,3,"Abundance","SBT",-2,0.184154221727557,0.206859365598435,0.0833333333333333,1.35041547797411e-14
15,15,3,"Abundance","SBT",-1,0.0343928648466903,0.231182085073051,0.0166666666666666,0.0700046987542065
15,15,3,"Abundance","SBT",0,0.175743826704073,0.224809913973337,0.0833333333333333,2.94672845153546e-12
15,15,3,"Abundance","CVofSBT",-4,-0.303401248343477,0.118124110754,0.816666666666667,1
15,15,3,"Abundance","CVofSBT",-3,-0.240529984518224,0.195131809543133,0.333333333333333,1
15,15,3,"Abundance","CVofSBT",-2,0.00244752477410927,0.172606056660568,0.0166666666666666,0.443763737615909
15,15,3,"Abundance","CVofSBT",-1,-0.170183565148835,0.233784629191563,0.233333333333333,0.999999999959539
15,15,3,"Abundance","CVofSBT",0,0.200678568101828,0.200330236373657,0.0166666666666666,5.01244232484548e-17
15,15,3,"Abundance","SST",-4,-0.308040565644226,0.214947293721351,0.0833333333333333,1
15,15,3,"Abundance","SST",-3,0.117551566157004,0.253778241641978,0.0833333333333333,5.51542115012853e-06
15,15,3,"Abundance","SST",-2,0.217853019778452,0.202666044906326,0.333333333333333,1.2769472674214e-18
15,15,3,"Abundance","SST",-1,0.108611352784868,0.218055097762124,0.816666666666667,1.34256349369037e-06
15,15,3,"Abundance","SST",0,0.348289929136455,0.146700077874617,0.0833333333333333,5.83800545101209e-43
15,15,4,"Abundance","CVofSST",-4,-0.00311666971192073,0.313281400572192,0.0833333333333333,0.539522684399039
15,15,4,"Abundance","CVofSST",-3,-0.137035780096312,0.240333190376267,0.0833333333333333,0.999999938566042
15,15,4,"Abundance","CVofSST",-2,0.188841620946737,0.211335243660966,0.0166666666666666,1.14336315004026e-14
15,15,4,"Abundance","CVofSST",-1,0.129549730426324,0.137478829464556,0.0166666666666666,9.91404527904837e-16
15,15,4,"Abundance","CVofSST",0,0.289635301154133,0.133765040285269,0.0166666666666666,1.23803381261385e-39
15,15,4,"Abundance","F",-4,0.866697664535414,0.0577931345399219,0.0166666666666666,7.40118658512481e-119
15,15,4,"Abundance","F",-3,0.909789229880599,0.0301566012000404,0.0166666666666666,7.70046846715056e-149
15,15,4,"Abundance","F",-2,0.898710986224149,0.0332655982215229,0.0166666666666666,4.22902670194257e-144
15,15,4,"Abundance","F",-1,0.816241699903467,0.0619762850327325,0.0833333333333333,2.66114968387392e-113
15,15,4,"Abundance","F",0,0.890888552847925,0.0410815869742291,0.0166666666666666,1.14745846080007e-134
15,15,3,"Abundance","CV.CPUE",-4,0.819252101607974,0.0661735434761754,0.0166666666666666,1.17035221408006e-110
15,15,3,"Abundance","CV.CPUE",-3,0.840951209426035,0.0747420512306539,0.0833333333333333,1.41500936497511e-106
15,15,3,"Abundance","CV.CPUE",-2,0.860642883308565,0.0339933599062082,0.0166666666666666,2.59196862701684e-141
15,15,3,"Abundance","CV.CPUE",-1,0.849900740233551,0.0319581495104904,0.816666666666667,2.00582438007039e-143
15,15,3,"Abundance","CV.CPUE",0,0.85187115637511,0.0348274304424329,0.0166666666666666,7.83340813509309e-140
15,15,3,"Abundance","AgeDiversity",-4,0.476987588216916,0.0850849627968628,0.483333333333333,4.06456279144487e-77
15,15,3,"Abundance","AgeDiversity",-3,0.572624880169601,0.0871248759738349,0.75,8.88301732871234e-84
15,15,3,"Abundance","AgeDiversity",-2,0.747790246900291,0.0717693770484657,0.0833333333333333,2.66991586224357e-103
15,15,3,"Abundance","AgeDiversity",-1,0.767469034968551,0.0554635410842067,0.0833333333333333,2.05067163652145e-115
15,15,3,"Abundance","AgeDiversity",0,0.678595213389133,0.0554164209334055,0.0166666666666666,3.44043622550917e-110
15,15,3,"Abundance","AMO",-4,0.233778176622192,0.153369433161896,0.0166666666666666,5.09826344592427e-28
15,15,3,"Abundance","AMO",-3,-0.139525071861018,0.123004071489662,0.0833333333333333,1
15,15,3,"Abundance","AMO",-2,-0.253181616223309,0.164548190746966,0.816666666666667,1
15,15,3,"Abundance","AMO",-1,-0.157227418364745,0.272899663518661,0.75,0.999999952778498
15,15,3,"Abundance","AMO",0,-0.004056449867596,0.277567418931889,0.483333333333333,0.557947114135398
15,15,3,"Abundance","SBT",-4,-0.53405772417087,0.128617286351396,0.0166666666666667,1
15,15,3,"Abundance","SBT",-3,-0.345933872488522,0.178449753802674,0.233333333333333,1
15,15,3,"Abundance","SBT",-2,0.183685514412778,0.187911365957116,0.0166666666666666,1.69286949794491e-16
15,15,3,"Abundance","SBT",-1,0.0260584644203651,0.243289675323115,0.0166666666666666,0.143367072235309
15,15,3,"Abundance","SBT",0,0.19520611203608,0.214922688770117,0.0166666666666666,5.4759387678977e-15
15,15,3,"Abundance","CVofSBT",-4,-0.318842829170864,0.128525302871263,1,1
15,15,3,"Abundance","CVofSBT",-3,-0.252588499874283,0.21291162862402,0.0833333333333333,1
15,15,3,"Abundance","CVofSBT",-2,-0.0194932610538161,0.176076783586698,0.0833333333333333,0.864530841318026
15,15,3,"Abundance","CVofSBT",-1,-0.158511531816727,0.230836281235394,0.0833333333333333,0.999999999708307
15,15,3,"Abundance","CVofSBT",0,0.218138850614529,0.171275060554045,0.0833333333333333,7.01144287314234e-23
15,15,3,"Abundance","SST",-4,-0.337978029789949,0.218045903505574,0.333333333333333,1
15,15,3,"Abundance","SST",-3,0.135443510088233,0.235086831327255,0.0833333333333333,4.72086814060531e-08
15,15,3,"Abundance","SST",-2,0.222312838835155,0.188807703856221,0.0166666666666666,7.79622395708874e-21
15,15,3,"Abundance","SST",-1,0.161730480225983,0.180669655670632,0.0833333333333333,1.05492780573993e-14
15,15,3,"Abundance","SST",0,0.370644016183901,0.120604808603011,0.0166666666666666,9.82945929066804e-53
15,15,4,"Abundance","CVofSST",-4,-0.00302910038017761,0.31715648520285,0.0166666666666666,0.537947830481905
15,15,4,"Abundance","CVofSST",-3,-0.161441077423726,0.214844913660258,0.0833333333333333,0.999999999987033
15,15,4,"Abundance","CVofSST",-2,0.183288218593094,0.200432950725052,0.0166666666666666,4.01316622467155e-15
15,15,4,"Abundance","CVofSST",-1,0.134983805684909,0.145195994747929,0.0166666666666666,1.87168941936886e-15
15,15,4,"Abundance","CVofSST",0,0.246429453228402,0.179955050311808,0.0166666666666666,7.01889873095498e-25
15,15,4,"Abundance","F",-4,0.874813771064122,0.0425300183472217,0.0166666666666666,2.12524080587063e-132
15,15,4,"Abundance","F",-3,0.900288959631536,0.0441019373912677,0.0166666666666666,4.49708370391587e-132
15,15,4,"Abundance","F",-2,0.900324725579962,0.0314513230069829,0.0166666666666666,1.38348057902679e-146
