"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,5,"Abundance","CV.CPUE",-4,-0.109536483203427,0.193565277016403,0.0141369047619047,0.999999925740964
25,25,5,"Abundance","CV.CPUE",-3,-0.142761573059859,0.142056498803715,0.398759920634921,1
25,25,5,"Abundance","CV.CPUE",-2,-0.0326431628404741,0.149959001343428,0.0610119047619047,0.984063832267335
25,25,5,"Abundance","CV.CPUE",-1,0.108705470971663,0.136148890209352,4.96031746031189e-05,1.29668856112228e-12
25,25,5,"Abundance","CV.CPUE",0,-0.000709060033708683,0.176928620018323,0.0311507936507935,0.515943397879449
25,25,3,"Abundance","AgeDiversity",-4,0.147181130170629,0.121589565681743,0.0126653439153439,1.53262123767455e-21
25,25,3,"Abundance","AgeDiversity",-3,0.0906572742968324,0.145965753453747,0.0126653439153439,6.22247960476349e-09
25,25,3,"Abundance","AgeDiversity",-2,-0.197054452347179,0.167306167568398,0.358487654320988,1
25,25,3,"Abundance","AgeDiversity",-1,-0.175326351598633,0.137839034613142,0.612202380952381,1
25,25,3,"Abundance","AgeDiversity",0,-0.0832843618841222,0.121694958032268,0.00550595238095242,0.999999999674479
25,25,3,"Abundance","AMO",-4,0.227343578201159,0.136370718896946,0.00085427689594364,8.43582745937212e-31
25,25,3,"Abundance","AMO",-3,0.425975448497986,0.0878632960252949,0.000242504409171174,4.32187274279738e-71
25,25,3,"Abundance","AMO",-2,0.0893573228551063,0.248757106843538,0.761414241622575,0.000256369524194688
25,25,3,"Abundance","AMO",-1,0.102067341874983,0.243601965069593,0.358487654320988,3.0342126724601e-05
25,25,3,"Abundance","AMO",0,0.42629051431029,0.132402516875504,4.96031746031189e-05,1.48365428046549e-54
25,25,4,"Abundance","SBT",-4,-0.144128717719759,0.158080935862763,0.548412698412698,0.999999999999995
25,25,4,"Abundance","SBT",-3,-0.00763063537001462,0.126652198587301,4.96031746031189e-05,0.725886350469703
25,25,4,"Abundance","SBT",-2,0.268952576397495,0.0840278899653208,0.00550595238095242,2.52652572808849e-54
25,25,4,"Abundance","SBT",-1,0.266170516131099,0.115969182390152,0.108680555555555,9.98688552578603e-42
25,25,4,"Abundance","SBT",0,0.0732017472611452,0.101955780585935,0.0610119047619047,6.54221613179276e-11
25,25,7,"Abundance","CVofSBT",-4,-0.337616477544922,0.113304287405617,0.00277777777777778,1
25,25,7,"Abundance","CVofSBT",-3,-0.165251020097153,0.112051862452708,0.561904761904762,1
25,25,7,"Abundance","CVofSBT",-2,-0.268233863878727,0.135655432937825,0.561904761904762,1
25,25,7,"Abundance","CVofSBT",-1,-0.207870090762532,0.160581524505802,0.069047619047619,1
25,25,7,"Abundance","CVofSBT",0,-0.279199435348055,0.140133606268561,0.0107142857142857,1
25,25,5,"Abundance","SST",-4,0.298229301551878,0.132539459827627,0.000396825396825395,5.20281689136381e-41
25,25,5,"Abundance","SST",-3,0.451429820775651,0.127386961696452,0.000396825396825395,2.36479540668939e-58
25,25,5,"Abundance","SST",-2,0.440666794341626,0.103368176555577,0.0141369047619047,8.20965693661028e-66
25,25,5,"Abundance","SST",-1,0.380834314817267,0.118478104708188,0.108680555555555,1.72059209831663e-54
25,25,5,"Abundance","SST",0,0.0599177665353996,0.153289213810369,1,8.4945644153991e-05
25,25,6,"Abundance","CVofSST",-4,-0.363463200104499,0.165152474745597,0.178869047619048,1
25,25,6,"Abundance","CVofSST",-3,-0.173826000271984,0.154654741879059,0.398759920634921,1
25,25,6,"Abundance","CVofSST",-2,-0.189661130762816,0.148154629233397,0.719543650793651,1
25,25,6,"Abundance","CVofSST",-1,-0.0208504007274672,0.155781948610636,0.0311507936507935,0.908089778772418
25,25,6,"Abundance","CVofSST",0,-0.109252997530921,0.140072549328947,0.0141369047619047,0.999999999996786
25,25,4,"Abundance","F",-4,0.590559022619925,0.0568509253776814,4.96031746031189e-05,3.59334952010638e-103
25,25,4,"Abundance","F",-3,0.555453572421226,0.0964346789050316,0.0141369047619047,3.01330583960039e-78
25,25,4,"Abundance","F",-2,0.660984333662186,0.0756955409483032,4.96031746031189e-05,8.71763745160557e-96
25,25,4,"Abundance","F",-1,0.539461096210073,0.0558849400214638,0.00173611111111116,4.77665861536952e-100
25,25,4,"Abundance","F",0,0.292513643344078,0.110676899996418,0.000396825396825395,5.99691712747928e-47
25,25,5,"Abundance","CV.CPUE",-4,-0.156053373993993,0.192389508380985,0.0311507936507935,0.999999999999307
25,25,5,"Abundance","CV.CPUE",-3,-0.131552299552188,0.153054963855055,0.275099206349206,0.999999999999937
25,25,5,"Abundance","CV.CPUE",-2,-0.0415051365993525,0.164189342628486,0.0610119047619047,0.993471566290941
25,25,5,"Abundance","CV.CPUE",-1,0.0902519182707714,0.141018118606078,0.0141369047619047,2.60419869442991e-09
25,25,5,"Abundance","CV.CPUE",0,-0.00548594333174668,0.172398067831885,0.0311507936507935,0.624503446231157
25,25,3,"Abundance","AgeDiversity",-4,0.141225418924268,0.117173656289034,0.00085427689594364,1.9798436234795e-21
25,25,3,"Abundance","AgeDiversity",-3,0.093785084983674,0.132287092580129,0.00242504409171085,1.00885050419713e-10
25,25,3,"Abundance","AgeDiversity",-2,-0.140386161061282,0.145364188309107,0.761414241622575,1
25,25,3,"Abundance","AgeDiversity",-1,-0.168612144860373,0.122089007247768,0.358487654320988,1
25,25,3,"Abundance","AgeDiversity",0,-0.0973996066621345,0.132762416134853,0.00085427689594364,0.999999999969261
25,25,3,"Abundance","AMO",-4,0.23956132302842,0.141158693757434,5.51146384486501e-06,2.26981290752534e-31
25,25,3,"Abundance","AMO",-3,0.410154045147499,0.101313107463571,4.96031746031189e-05,1.03922173532725e-63
25,25,3,"Abundance","AMO",-2,0.0733076515714999,0.279131193295335,0.612202380952381,0.00500172846672759
25,25,3,"Abundance","AMO",-1,0.129048629884223,0.226503462503374,0.398759920634921,6.26620948508998e-08
25,25,3,"Abundance","AMO",0,0.435136587808783,0.110197069045284,4.96031746031189e-05,1.0630974572112e-62
