"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,2,"Abundance","CV.CPUE",-4,0.194285189946444,0.194036936781016,0.398759920634921,5.12943609146106e-17
25,25,2,"Abundance","CV.CPUE",-3,-0.156960520190116,0.143331768913961,1,1
25,25,2,"Abundance","CV.CPUE",-2,0.30358740140198,0.181975885230462,5.51146384486501e-06,8.00822916780852e-31
25,25,2,"Abundance","CV.CPUE",-1,-0.0495381628708204,0.174691189577756,0.0610119047619047,0.997228070541465
25,25,2,"Abundance","CV.CPUE",0,0.13897198540033,0.182464435430355,0.0141369047619047,7.88460575381822e-12
25,25,8,"Abundance","AgeDiversity",-4,0.112664155287802,0.174147252923295,0.00277777777777777,1.88675096982323e-09
25,25,8,"Abundance","AgeDiversity",-3,0.0379530178105207,0.139996075533716,0.000396825396825395,0.00395434333141377
25,25,8,"Abundance","AgeDiversity",-2,0.0245190565841132,0.152084408536975,0.0107142857142857,0.0550509135573295
25,25,8,"Abundance","AgeDiversity",-1,0.0133632720400702,0.128271963846402,0.000396825396825395,0.150022756471596
25,25,8,"Abundance","AgeDiversity",0,-0.100834229508041,0.156301910708031,0.0107142857142857,0.999999997946463
25,25,3,"Abundance","AMO",-4,0.205422608683635,0.122202384608285,5.51146384486501e-06,4.58497492350491e-31
25,25,3,"Abundance","AMO",-3,0.195761541529023,0.104452042776895,0.612202380952381,1.23742150897027e-34
25,25,3,"Abundance","AMO",-2,0.279172431673928,0.135866854740476,0.00085427689594364,8.68898051830411e-38
25,25,3,"Abundance","AMO",-1,0.190416331034279,0.16827537634771,0.000242504409171174,7.57490017007864e-20
25,25,3,"Abundance","AMO",0,0.0101963756913206,0.229858677958607,0.0446152998236331,0.329152328469719
25,25,4,"Abundance","SBT",-4,-0.409747922270563,0.169863463437143,0.000396825396825397,1
25,25,4,"Abundance","SBT",-3,-0.195828678625842,0.162977142854003,0.548412698412698,1
25,25,4,"Abundance","SBT",-2,-0.167900159315593,0.170038273550881,0.108680555555555,1
25,25,4,"Abundance","SBT",-1,0.27033860622948,0.11122655154708,0.0141369047619047,8.01340642246043e-44
25,25,4,"Abundance","SBT",0,0.0367703899462115,0.115838049777613,0.904861111111111,0.00100097179274007
25,25,7,"Abundance","CVofSBT",-4,-0.0260897393521665,0.122193639372848,0.000396825396825395,0.982390245769187
25,25,7,"Abundance","CVofSBT",-3,-0.0422621982673781,0.116851435289385,0.000396825396825395,0.999764196918879
25,25,7,"Abundance","CVofSBT",-2,0.049451000948069,0.113426004570386,0.000396825396825395,1.59518294449801e-05
25,25,7,"Abundance","CVofSBT",-1,-0.0747020320455639,0.120399691480933,0.00277777777777777,0.999999993593852
25,25,7,"Abundance","CVofSBT",0,-0.229274503980227,0.158119917413067,0.238888888888889,1
25,25,5,"Abundance","SST",-4,-0.226848554467392,0.118722967621347,0.904861111111111,1
25,25,5,"Abundance","SST",-3,0.212676343450058,0.146680341905699,0.00173611111111116,1.58049755024008e-26
25,25,5,"Abundance","SST",-2,0.22736605536698,0.159911035516672,0.00173611111111116,5.88803050118723e-26
