"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,5,"Abundance","CV.CPUE",-4,-0.192713813983314,0.124801982849325,0.398759920634921,1
25,25,5,"Abundance","CV.CPUE",-3,-0.124499576943537,0.127759288244989,0.108680555555555,1
25,25,5,"Abundance","CV.CPUE",-2,-0.141145429069275,0.156265864544507,0.275099206349206,0.999999999999993
25,25,5,"Abundance","CV.CPUE",-1,-0.129934301396252,0.1818055275666,0.0311507936507935,0.999999999923384
25,25,5,"Abundance","CV.CPUE",0,-0.19251629644182,0.152931268561837,0.0311507936507935,1
25,25,4,"Abundance","AgeDiversity",-4,-0.204575628578843,0.124941514043185,0.398759920634921,1
25,25,4,"Abundance","AgeDiversity",-3,0.273064104692349,0.150619169224011,4.96031746031189e-05,1.59078216699567e-33
25,25,4,"Abundance","AgeDiversity",-2,0.0286749998722785,0.195840977916583,0.398759920634921,0.0731540214821383
25,25,4,"Abundance","AgeDiversity",-1,0.326760564776828,0.110665937787912,4.96031746031189e-05,3.50945580912878e-51
25,25,4,"Abundance","AgeDiversity",0,0.247231627362134,0.118718503965002,0.000396825396825395,2.94747342049518e-38
25,25,3,"Abundance","AMO",-4,-0.328337089787061,0.181746550251563,0.000242504409171076,1
25,25,3,"Abundance","AMO",-3,0.137740056591459,0.225765415213544,0.108680555555555,1.02697602350138e-08
25,25,3,"Abundance","AMO",-2,0.31730610903272,0.145928001734315,0.000242504409171174,8.76299649041483e-40
25,25,3,"Abundance","AMO",-1,0.330121862082174,0.0904342005411087,0.00242504409171085,1.54444984419963e-59
25,25,3,"Abundance","AMO",0,-0.234891292714981,0.182138038358359,0.0247409611992945,1
25,25,4,"Abundance","SBT",-4,-0.305467505609894,0.210002929599241,0.0610119047619048,1
25,25,4,"Abundance","SBT",-3,-0.0848071330113346,0.169108143093266,0.0311507936507935,0.999998833861969
25,25,4,"Abundance","SBT",-2,-0.0310678046658907,0.134307531130336,0.00173611111111116,0.98860924794576
25,25,4,"Abundance","SBT",-1,-0.217505785090492,0.218911270578261,0.548412698412698,1
25,25,4,"Abundance","SBT",0,0.410857921285374,0.157419764028223,4.96031746031189e-05,1.782426836287e-46
25,25,7,"Abundance","CVofSBT",-4,-0.291066142089126,0.0957177327924451,0.0107142857142857,1
25,25,7,"Abundance","CVofSBT",-3,-0.271793680789046,0.148545292282611,0.0107142857142857,1
25,25,7,"Abundance","CVofSBT",-2,-0.331487037577132,0.131188686606095,0.0301587301587301,1
25,25,7,"Abundance","CVofSBT",-1,-0.25802712114282,0.122210815198119,0.0107142857142857,1
25,25,7,"Abundance","CVofSBT",0,-0.229333612445648,0.155252728532341,0.136111111111111,1
25,25,5,"Abundance","SST",-4,0.0857292222236547,0.163401335470735,4.96031746031189e-05,4.41482980918758e-07
25,25,5,"Abundance","SST",-3,-0.0205249504671659,0.16557479132789,4.96031746031189e-05,0.890976429142494
25,25,5,"Abundance","SST",-2,0.0296200795106378,0.122094209889207,0.000396825396825395,0.00853813759762286
25,25,5,"Abundance","SST",-1,-0.160424086719281,0.124520472069811,0.000396825396825395,1
25,25,5,"Abundance","SST",0,-0.106370448925083,0.192068144652282,0.00550595238095242,0.999999874020119
25,25,6,"Abundance","CVofSST",-4,-0.291636363979188,0.221352862142648,0.108680555555555,1
25,25,6,"Abundance","CVofSST",-3,-0.565988710799786,0.15699699086309,0.00550595238095238,1
25,25,6,"Abundance","CVofSST",-2,-0.159839162972675,0.111864598934152,0.00550595238095242,1
25,25,6,"Abundance","CVofSST",-1,-0.32119207213999,0.157317751219399,0.178869047619048,1
25,25,6,"Abundance","CVofSST",0,-0.311160030575007,0.135919445333201,0.108680555555555,1
25,25,8,"Abundance","F",-4,-0.27160874210662,0.17060910891714,0.0301587301587301,1
25,25,8,"Abundance","F",-3,-0.251268597117791,0.170595253601994,0.381349206349206,1
