"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,3,"Abundance","CV.CPUE",-4,0.156936175032778,0.166952383420113,0.000396825396825395,1.11385171656185e-15
25,25,3,"Abundance","CV.CPUE",-3,-0.158979558914459,0.216282929629803,0.0751763668430335,0.999999999971295
25,25,3,"Abundance","CV.CPUE",-2,0.121699733981035,0.13670322199092,0.00588624338624344,1.34980789472349e-14
25,25,3,"Abundance","CV.CPUE",-1,0.0848813410099976,0.132864335915472,5.51146384486501e-06,2.74596603029511e-09
25,25,3,"Abundance","CV.CPUE",0,-0.1944804406629,0.130440779654653,1,1
25,25,9,"Abundance","AgeDiversity",-4,-0.0521898804525796,0.211081793389155,0.0301587301587301,0.992438931749354
25,25,9,"Abundance","AgeDiversity",-3,-0.180251935334901,0.193124186155825,0.0107142857142857,0.999999999999998
25,25,9,"Abundance","AgeDiversity",-2,-0.168837618502826,0.167074137116344,0.0107142857142857,1
25,25,9,"Abundance","AgeDiversity",-1,0.143622157015423,0.111702829169536,0.000396825396825395,3.89227237127164e-23
25,25,9,"Abundance","AgeDiversity",0,0.113958367296524,0.16269851223727,0.000396825396825395,1.51660862806527e-10
25,25,3,"Abundance","AMO",-4,-0.0351282205455704,0.156180411365663,0.0446152998236331,0.986642749572085
25,25,3,"Abundance","AMO",-3,0.0566104074095825,0.108662159198572,0.00085427689594364,5.15898031463744e-07
25,25,3,"Abundance","AMO",-2,0.118244674467618,0.123874427911921,0.00085427689594364,5.36470474225237e-16
25,25,3,"Abundance","AMO",-1,-0.0162686817269714,0.135287156491632,0.1194389329806,0.88398668609999
25,25,3,"Abundance","AMO",0,-0.258661208715398,0.171264793766487,5.51146384479718e-06,1
25,25,4,"Abundance","SBT",-4,-0.0617974947643661,0.127704911175638,1,0.999997599163033
25,25,4,"Abundance","SBT",-3,-0.117102426255095,0.133723892891001,0.000396825396825395,0.999999999999972
25,25,4,"Abundance","SBT",-2,0.108271682568292,0.10911702298243,4.96031746031189e-05,8.0720380580064e-17
25,25,4,"Abundance","SBT",-1,0.0739799126148,0.116080186151406,0.000396825396825395,2.94869767627239e-09
25,25,4,"Abundance","SBT",0,0.325880302028643,0.117038468855204,4.96031746031189e-05,6.3062042955275e-49
25,25,7,"Abundance","CVofSBT",-4,0.0162967951777233,0.13901822315435,0.00277777777777777,0.121949426686935
25,25,7,"Abundance","CVofSBT",-3,-0.0651046108806749,0.145932030847056,0.0107142857142857,0.99998921734504
25,25,7,"Abundance","CVofSBT",-2,-0.23279577996528,0.167316411218204,0.0301587301587301,1
25,25,7,"Abundance","CVofSBT",-1,-0.317801082703165,0.139174531757426,0.0301587301587301,1
25,25,7,"Abundance","CVofSBT",0,-0.0346055478767431,0.182083514561907,0.0107142857142857,0.969863735199179
25,25,5,"Abundance","SST",-4,0.084008885907806,0.147805049877145,0.904861111111111,6.65542583719563e-08
25,25,5,"Abundance","SST",-3,0.507850531828837,0.0850022154983423,4.96031746031189e-05,8.89994406606114e-80
25,25,5,"Abundance","SST",-2,0.406404831810821,0.107574185426452,0.000396825396825395,6.46637014845303e-61
25,25,5,"Abundance","SST",-1,0.455718005935245,0.0829203331903867,0.000396825396825395,2.72899428297903e-76
25,25,5,"Abundance","SST",0,0.329746872387471,0.133560816532523,4.96031746031189e-05,2.11272518283237e-44
25,25,6,"Abundance","CVofSST",-4,0.27075207808545,0.179091651154495,0.00173611111111116,9.02808731815593e-28
25,25,6,"Abundance","CVofSST",-3,0.360127721059988,0.141591407854389,4.96031746031189e-05,1.65356521660877e-45
25,25,6,"Abundance","CVofSST",-2,0.116583905764546,0.151806119609353,0.000396825396825395,5.78431209045409e-12
25,25,6,"Abundance","CVofSST",-1,0.0428730269550459,0.134371984914421,0.000396825396825395,0.000951110091009146
25,25,6,"Abundance","CVofSST",0,0.0341491781901579,0.119653760145081,0.000396825396825395,0.00262917344141553
25,25,8,"Abundance","F",-4,0.260544922254827,0.144401422265031,0.00277777777777777,2.28898485701834e-33
25,25,8,"Abundance","F",-3,0.401573526929457,0.156393925727118,0.000396825396825395,7.29837449852063e-46
