"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,5,"AgeDiversity","CV.CPUE",-8,0.0696882372871954,0.109446453032542,0.00114261804195204,3.02934363815392e-09
50,50,5,"AgeDiversity","CV.CPUE",-7,0.152852216868307,0.0982263373398676,1.02027024606599e-07,1.19597377240577e-28
50,50,5,"AgeDiversity","CV.CPUE",-6,0.153922954069364,0.0875913337932018,1.43717926448517e-08,1.68867607956859e-32
50,50,5,"AgeDiversity","CV.CPUE",-5,0.185410456444392,0.10489147956192,1.52944323872362e-12,1.08486736901121e-32
50,50,5,"AgeDiversity","CV.CPUE",-4,0.22747695361686,0.0844749487603007,4.72556482833397e-09,1.17820520479742e-47
50,50,5,"AgeDiversity","CV.CPUE",-3,0.379324315044515,0.0824772425983593,9.54791801177635e-14,6.41737078768899e-69
50,50,5,"AgeDiversity","CV.CPUE",-2,0.230414660328435,0.104332128068969,3.5587999214215e-10,2.43956791802501e-40
50,50,5,"AgeDiversity","CV.CPUE",-1,0.157861601508485,0.100597755964525,4.72451181354749e-06,6.60663627799816e-29
50,50,5,"AgeDiversity","CV.CPUE",0,-0.00997929873581465,0.110285601306289,0.139049963024319,0.816131727273146
50,50,5,"AgeDiversity","Abundance",-8,0.128206775531164,0.111760179428839,1.43717926448517e-08,3.49347098226323e-20
50,50,5,"AgeDiversity","Abundance",-7,0.145859458120941,0.098326490933087,1.17934845844658e-06,3.33774807798437e-27
50,50,5,"AgeDiversity","Abundance",-6,0.0625200913950688,0.114198732491141,2.41022656499723e-06,1.65988928233571e-07
50,50,5,"AgeDiversity","Abundance",-5,0.0123381617045085,0.0853756724940285,0.0326257135943189,0.0757852699096602
50,50,5,"AgeDiversity","Abundance",-4,0.205101673608513,0.0855094467748187,4.94106357484814e-05,2.45911514323573e-43
50,50,5,"AgeDiversity","Abundance",-3,-0.0979954360948287,0.121917937150122,0.00114261804195202,0.999999999999004
50,50,5,"AgeDiversity","Abundance",-2,0.0665596696470975,0.133546644990559,0.16527546850601,1.32554546929409e-06
50,50,5,"AgeDiversity","Abundance",-1,0.121178191775131,0.108101597652199,0.0516768954242628,1.28409286449747e-19
50,50,5,"AgeDiversity","Abundance",0,0.0802005521998531,0.0928868745120141,0.116047433028545,5.15710025537619e-14
50,50,6,"AgeDiversity","AMO",-8,-0.162981194145773,0.16437215557046,0.00165935080951667,1
50,50,6,"AgeDiversity","AMO",-7,-0.00155886555398633,0.155457176795963,0.00859466758633064,0.539836080890049
50,50,6,"AgeDiversity","AMO",-6,0.173285427375906,0.0949238838385854,0.194916733337412,9.37901769007957e-34
50,50,6,"AgeDiversity","AMO",-5,0.127268831318638,0.0974648531267583,0.0641134326023778,1.4773661047463e-23
50,50,6,"AgeDiversity","AMO",-4,0.125782017830356,0.0940289212308722,0.964694931933257,3.18726052783113e-24
50,50,6,"AgeDiversity","AMO",-3,0.298274797162284,0.0807306886229294,0.000773831095311373,5.07549241354465e-60
50,50,6,"AgeDiversity","AMO",-2,0.281318193964546,0.101627844294449,0.000336296764708033,1.0550475875603e-48
50,50,6,"AgeDiversity","AMO",-1,0.353790519012843,0.0776552243162155,1.38948963446239e-09,1.56755739313274e-68
50,50,6,"AgeDiversity","AMO",0,0.297817401352158,0.100123798534777,2.8762465771548e-05,1.82169390362674e-51
50,50,9,"AgeDiversity","SBT",-8,0.907073144132696,0.0256391445659326,1.01554342712973e-09,1.10654754527731e-155
50,50,9,"AgeDiversity","SBT",-7,0.89673339518043,0.0251833493422192,4.47206138787237e-09,5.83297273392797e-156
50,50,9,"AgeDiversity","SBT",-6,0.909474169928064,0.0258237324090004,1.82002413140481e-10,1.73217472628005e-155
50,50,9,"AgeDiversity","SBT",-5,0.898891138736713,0.0278579509234567,1.82002413140481e-10,9.96950312120793e-152
50,50,9,"AgeDiversity","SBT",-4,0.904851684674402,0.0241214039057316,1.65377562755253e-08,3.37024604274649e-158
50,50,9,"AgeDiversity","SBT",-3,0.919199574776832,0.0210924263927736,1.82002413140481e-10,1.21843279577871e-164
