"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,9,"AgeDiversity","CV.CPUE",-8,-0.0739315733908355,0.0744044831040332,0.0743349808489937,1
50,50,9,"AgeDiversity","CV.CPUE",-7,-0.203921594237123,0.0985040397624273,0.0462924754154086,1
50,50,9,"AgeDiversity","CV.CPUE",-6,-0.219625773629853,0.0861455322784471,0.770495669755301,1
50,50,9,"AgeDiversity","CV.CPUE",-5,-0.276871758806181,0.0974013083700546,0.0589958450512353,1
50,50,9,"AgeDiversity","CV.CPUE",-4,-0.226528533780157,0.0798420185112206,0.114247172395445,1
50,50,9,"AgeDiversity","CV.CPUE",-3,-0.237052575114459,0.100252492180676,0.168577873677493,1
50,50,9,"AgeDiversity","CV.CPUE",-2,-0.13052183059377,0.0828951811376616,0.0743349808489937,1
50,50,9,"AgeDiversity","CV.CPUE",-1,-0.183088231054058,0.084581673180893,0.626494517515847,1
50,50,9,"AgeDiversity","CV.CPUE",0,-0.0909726880250918,0.0703178868091508,0.558966072122322,1
50,50,8,"AgeDiversity","Abundance",-8,0.200814119210682,0.0888577567080172,0.328233587669434,3.62247024103167e-41
50,50,8,"AgeDiversity","Abundance",-7,0.365866842380854,0.0914116722682873,0.0589958450512353,3.01821118497562e-63
50,50,8,"AgeDiversity","Abundance",-6,0.421840637882444,0.0818714241554395,0.239458815685833,1.30935864026286e-73
50,50,8,"AgeDiversity","Abundance",-5,0.585423400520482,0.0659592069446796,0.626494517515847,1.773535510953e-96
50,50,8,"AgeDiversity","Abundance",-4,0.617042938064479,0.0613042093285117,0.0358972373678887,7.92991092653111e-102
50,50,8,"AgeDiversity","Abundance",-3,0.683086709307685,0.0497722363102737,0.00590158628390269,4.60233515061063e-115
50,50,8,"AgeDiversity","Abundance",-2,0.683297301225771,0.0484884938130684,0.697181425417371,3.40376941916126e-116
50,50,8,"AgeDiversity","Abundance",-1,0.673037584240776,0.0467162733199335,0.0207906153223614,3.85580881019561e-117
50,50,8,"AgeDiversity","Abundance",0,0.717470896951165,0.0329117685447509,1.96940497039222e-05,6.83581069324812e-135
50,50,6,"AgeDiversity","AMO",-8,0.248345954712099,0.0948397739166659,4.72556482833397e-09,1.33910935244189e-46
50,50,6,"AgeDiversity","AMO",-7,0.323413280976981,0.0844501515052678,2.44193725018604e-07,1.83225591160937e-61
50,50,6,"AgeDiversity","AMO",-6,0.481693546217588,0.0608030179811297,8.91848950357321e-06,1.16704508618603e-91
50,50,6,"AgeDiversity","AMO",-5,0.575133527269849,0.0523636849855402,1.38948963446239e-09,1.50961940432568e-105
50,50,6,"AgeDiversity","AMO",-4,0.588827915682033,0.0576021555501304,3.5587999214215e-10,1.73707424155866e-102
50,50,6,"AgeDiversity","AMO",-3,0.635813042829129,0.0629473646473189,3.5587999214215e-10,5.61771158490924e-102
