"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,2,"AgeDiversity","CV.CPUE",-8,-0.0366660230462735,0.0998708659142725,0.000432018460957597,0.999804407007161
50,50,2,"AgeDiversity","CV.CPUE",-7,0.0929078924954244,0.114112555912979,0.00463914443779179,5.95828902855878e-13
50,50,2,"AgeDiversity","CV.CPUE",-6,-0.0925658376698848,0.0967229669047241,8.21617886030891e-05,1
50,50,2,"AgeDiversity","CV.CPUE",-5,0.00334477232259229,0.0840845535733951,0.00450753704697515,0.345821907923853
50,50,2,"AgeDiversity","CV.CPUE",-4,-0.101602543280512,0.107664397398989,0.00114261804195202,0.999999999999999
50,50,2,"AgeDiversity","CV.CPUE",-3,0.0276274802686427,0.0949348299134759,0.139049963024319,0.00223103320246868
50,50,2,"AgeDiversity","CV.CPUE",-2,0.116783374173312,0.130712380370687,5.45407092600314e-07,1.15062709610802e-14
50,50,2,"AgeDiversity","CV.CPUE",-1,0.183875944326153,0.11898600493556,0.0133675143234995,1.94983906697115e-28
50,50,2,"AgeDiversity","CV.CPUE",0,0.0637108821735993,0.112749569431584,0.43968652710486,7.6998737301641e-08
50,50,5,"AgeDiversity","Abundance",-8,-0.154132288760922,0.0998696433011469,0.000215302430799806,1
50,50,5,"AgeDiversity","Abundance",-7,-0.0380867996095896,0.104133478000864,0.16527546850601,0.999794874964354
50,50,5,"AgeDiversity","Abundance",-6,0.0138572619232535,0.115616339997289,2.8762465771548e-05,0.116780998680912
50,50,5,"AgeDiversity","Abundance",-5,0.0925548100132805,0.107641514403869,2.44193725018604e-07,6.16480546422717e-14
50,50,5,"AgeDiversity","Abundance",-4,0.0746895152387214,0.136116864152241,2.44193725018604e-07,1.57243891657355e-07
50,50,5,"AgeDiversity","Abundance",-3,0.00968269712905868,0.0942485881260423,5.50848431757345e-07,0.153377938116342
50,50,5,"AgeDiversity","Abundance",-2,-0.0475652152676511,0.106019277022946,1,0.999990222984057
50,50,5,"AgeDiversity","Abundance",-1,0.178148914410964,0.0826599326178325,1.38948963446239e-09,1.81183084616883e-39
50,50,5,"AgeDiversity","Abundance",0,0.0986922236861033,0.0820638919849655,0.450284886272046,2.25428384256644e-21
50,50,6,"AgeDiversity","AMO",-8,-0.0769320906577875,0.133503991896525,4.9410635748578e-05,0.999999953022425
50,50,6,"AgeDiversity","AMO",-7,-0.103349090172957,0.141164950711556,0.000215302430799806,0.999999999966913
50,50,6,"AgeDiversity","AMO",-6,-0.0664257826575477,0.133734864447665,0.0151553436376983,0.999998577951255
50,50,6,"AgeDiversity","AMO",-5,-0.018797310545062,0.10228749615668,0.450284886272046,0.965446681339773
50,50,6,"AgeDiversity","AMO",-4,-0.0823463786324747,0.107024814937954,0.00463914443779172,0.999999999994608
50,50,6,"AgeDiversity","AMO",-3,0.0770179846299644,0.110937470154258,0.0788206784827414,2.03619514913154e-10
50,50,6,"AgeDiversity","AMO",-2,0.0980134760958479,0.109981428277897,0.69009504051413,1.288148249924e-14
50,50,6,"AgeDiversity","AMO",-1,0.303539772743619,0.0786072740716175,2.44193725018604e-07,8.49473917527676e-62
50,50,6,"AgeDiversity","AMO",0,0.112391953208521,0.102861652615332,0.398414416048071,5.26836156544976e-19
50,50,9,"AgeDiversity","SBT",-8,0.698492530052272,0.0538037418463451,4.47206138787237e-09,1.09571362807546e-112
50,50,9,"AgeDiversity","SBT",-7,0.723557892462359,0.0599910384387644,4.47206138787237e-09,1.5285201863145e-109
50,50,9,"AgeDiversity","SBT",-6,0.714981636850063,0.0560752133643673,5.33772028799007e-08,6.45423086768696e-112
50,50,9,"AgeDiversity","SBT",-5,0.701713547466411,0.0604769141038605,4.47206138787237e-09,6.87922296557964e-108
50,50,9,"AgeDiversity","SBT",-4,0.706990890835724,0.0600625339071915,4.47206138787237e-09,1.67566857794977e-108
50,50,9,"AgeDiversity","SBT",-3,0.699402559727875,0.0620528099987887,1.01554342712973e-09,1.19151240228629e-106
50,50,9,"AgeDiversity","SBT",-2,0.70050218386251,0.0653790443203505,1.01554342712973e-09,1.72206708918879e-104
50,50,9,"AgeDiversity","SBT",-1,0.708563968976813,0.0530033697470689,1.01554342712973e-09,6.12167263941415e-114
50,50,9,"AgeDiversity","SBT",0,0.711153594540669,0.0586414109827379,1.65377562755253e-08,8.9329969426392e-110
50,50,9,"AgeDiversity","CVofSBT",-8,0.596097503816073,0.0624459976575064,4.47206138787237e-09,1.4271843965219e-99
50,50,9,"AgeDiversity","CVofSBT",-7,0.596087444634369,0.059854420333967,5.33772028799007e-08,2.24579933596107e-101
50,50,9,"AgeDiversity","CVofSBT",-6,0.55494802111781,0.0809363540371019,1.01554342712973e-09,1.47101838284838e-85
50,50,9,"AgeDiversity","CVofSBT",-5,0.579316279802454,0.0582792108946734,4.47206138787237e-09,2.69736052967892e-101
50,50,9,"AgeDiversity","CVofSBT",-4,0.55934782228755,0.0604236731049973,4.07346058883817e-07,2.88696707309755e-98
50,50,9,"AgeDiversity","CVofSBT",-3,0.536717757722889,0.0735566668882214,1.5433964684064e-07,3.50366093751686e-88
50,50,9,"AgeDiversity","CVofSBT",-2,0.514028554611563,0.070292621243272,1.01554342712973e-09,2.83021843213807e-88
50,50,9,"AgeDiversity","CVofSBT",-1,0.542759828589393,0.0653314289857435,2.29414265362493e-11,1.13170749794e-93
50,50,9,"AgeDiversity","CVofSBT",0,0.510174445390947,0.0602257457251435,1.01554342712973e-09,1.69269832243316e-94
50,50,9,"AgeDiversity","SST",-8,0.704881902498741,0.0523460718286182,1.01554342712973e-09,2.9926167042209e-114
50,50,9,"AgeDiversity","SST",-7,0.7379082420794,0.0589285721204785,4.47206138787237e-09,3.81950880231267e-111
50,50,9,"AgeDiversity","SST",-6,0.724545855762868,0.0584549896018398,1.82002413140481e-10,1.04240682038771e-110
50,50,9,"AgeDiversity","SST",-5,0.71759712174926,0.0569073348014187,1.82002413140481e-10,1.91998501987312e-111
50,50,9,"AgeDiversity","SST",-4,0.702472276274171,0.0553133422994308,5.33772028799007e-08,9.54023561548826e-112
50,50,9,"AgeDiversity","SST",-3,0.701589747299969,0.0607144107041632,1.82002413140481e-10,1.02887237634032e-107
50,50,9,"AgeDiversity","SST",-2,0.689171469497168,0.0633716810350764,1.01554342712973e-09,3.99699203584285e-105
50,50,9,"AgeDiversity","SST",-1,0.705307369295022,0.0640188996678798,1.01554342712973e-09,1.11708258185132e-105
50,50,9,"AgeDiversity","SST",0,0.6944590704617,0.0621479923108036,1.65377562755253e-08,2.78041581913361e-106
50,50,4,"AgeDiversity","CVofSST",-8,0.164158358508297,0.107948226175084,0.0630224124872635,6.002270593858e-28
50,50,4,"AgeDiversity","CVofSST",-7,0.113286980704258,0.128391611111927,0.128788988344829,2.00323347537413e-14
50,50,4,"AgeDiversity","CVofSST",-6,0.162810418314148,0.0999558745534405,0.392727612326242,4.57720224638606e-30
50,50,4,"AgeDiversity","CVofSST",-5,0.13660298389256,0.106386342916189,0.027329794647272,4.23149438876071e-23
50,50,4,"AgeDiversity","CVofSST",-4,0.285092755490764,0.0906910161463955,0.00600683882392206,1.28519507988576e-53
50,50,4,"AgeDiversity","CVofSST",-3,0.286893053678544,0.0952117861731317,0.1766574193403,5.74379601414051e-52
50,50,4,"AgeDiversity","CVofSST",-2,0.282844099188663,0.083501517329104,0.204899001525799,1.47543948671704e-56
50,50,4,"AgeDiversity","CVofSST",-1,0.196427427236087,0.07805121406937,0.348846402901288,4.1037532063454e-45
50,50,4,"AgeDiversity","CVofSST",0,0.167669968956296,0.0761105595086067,0.903196690606909,2.99551196739972e-40
50,50,2,"AgeDiversity","CV.CPUE",-8,-0.0274101082474451,0.0976465547884901,0.0960497087334704,0.99698921581206
50,50,2,"AgeDiversity","CV.CPUE",-7,0.0604633982477292,0.10525483787664,0.00178032394187722,5.08919215164645e-08
50,50,2,"AgeDiversity","CV.CPUE",-6,-0.0805375383117019,0.111572925233266,1.62687221839008e-05,0.999999999945673
50,50,2,"AgeDiversity","CV.CPUE",-5,-0.00126693424071242,0.107264518936066,0.00635528422852749,0.546891311674049
50,50,2,"AgeDiversity","CV.CPUE",-4,-0.0975844718559351,0.0936743083660009,0.000773831095311337,1
50,50,2,"AgeDiversity","CV.CPUE",-3,0.0211901464521316,0.104747779161516,0.0171191105492448,0.0228862779234538
50,50,2,"AgeDiversity","CV.CPUE",-2,0.112753506466952,0.145636010675656,5.63431610256515e-08,4.26288485717347e-12
50,50,2,"AgeDiversity","CV.CPUE",-1,0.165785528294769,0.110188109220909,0.1766574193403,1.25892546926483e-27
50,50,2,"AgeDiversity","CV.CPUE",0,0.0629232390810389,0.10813283774014,0.151333639663086,3.65368606613515e-08
50,50,5,"AgeDiversity","Abundance",-8,-0.150175101433092,0.10954152990488,4.9410635748578e-05,1
50,50,5,"AgeDiversity","Abundance",-7,-0.0137484431311216,0.113965861752948,0.0151553436376983,0.884724141032762
50,50,5,"AgeDiversity","Abundance",-6,0.00957479462156213,0.0986051059380266,0.00114261804195204,0.166951338472399
50,50,5,"AgeDiversity","Abundance",-5,0.101002573043108,0.0946697810377198,1.43717926448517e-08,1.90952771707393e-18
50,50,5,"AgeDiversity","Abundance",-4,0.0709451154444371,0.137019522266775,4.72451181354749e-06,5.90567678694118e-07
50,50,5,"AgeDiversity","Abundance",-3,0.0144325483965312,0.0880876160143063,1.17934845844658e-06,0.0522531295921973
50,50,5,"AgeDiversity","Abundance",-2,-0.044998490909381,0.112881210126086,0.0326257135943189,0.999935770414506
50,50,5,"AgeDiversity","Abundance",-1,0.188250126534598,0.106384971591224,3.98309214499903e-08,1.00138998833864e-32
50,50,5,"AgeDiversity","Abundance",0,0.102064479665313,0.077924369160074,0.0788206784827414,1.21839635090898e-23
50,50,6,"AgeDiversity","AMO",-8,-0.0684261686033466,0.126180476124914,4.9410635748578e-05,0.999999792362551
50,50,6,"AgeDiversity","AMO",-7,-0.125096497521862,0.124787880398771,3.55879882169565e-10,1
