"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,6,"AgeDiversity","CV.CPUE",-8,0.601620260660931,0.0518716159254035,0.000514926454439069,7.16128521661863e-108
50,50,6,"AgeDiversity","CV.CPUE",-7,0.550980654986295,0.0552626459672205,0.56426737864644,2.01022125410837e-101
50,50,6,"AgeDiversity","CV.CPUE",-6,0.587149915186212,0.0502175762472334,0.0114805970670178,3.24280258460325e-108
50,50,6,"AgeDiversity","CV.CPUE",-5,0.656177941810165,0.0468455103795267,0.000514926454439069,6.16308841288115e-116
50,50,6,"AgeDiversity","CV.CPUE",-4,0.659142619325365,0.0347292021562777,5.50848431757345e-07,5.98889815171494e-129
50,50,6,"AgeDiversity","CV.CPUE",-3,0.673937042298873,0.031630308868928,2.41022656499723e-06,6.55387946914507e-134
50,50,6,"AgeDiversity","CV.CPUE",-2,0.667839964907894,0.0422765688583418,2.41022656499723e-06,4.39509795262582e-121
50,50,6,"AgeDiversity","CV.CPUE",-1,0.616959440704868,0.0487847162412975,0.824801238706967,1.44305051573621e-111
50,50,6,"AgeDiversity","CV.CPUE",0,0.586456298920147,0.0610937254922297,0.505644437997331,8.25683070765684e-100
50,50,2,"AgeDiversity","Abundance",-8,0.0622873502135339,0.109319224461276,1.94253663081678e-05,6.2572319454814e-08
50,50,2,"AgeDiversity","Abundance",-7,0.0791294665519941,0.0966726642538669,8.91848950357321e-06,4.80373175298917e-13
50,50,2,"AgeDiversity","Abundance",-6,-0.108894379155172,0.0964339081097309,9.57597522699258e-09,1
50,50,2,"AgeDiversity","Abundance",-5,0.0289863148968194,0.0711007122103819,0.505644437997331,4.61613094546609e-05
50,50,2,"AgeDiversity","Abundance",-4,0.0791537595356701,0.115944609245702,0.0114805970670178,3.52553135145302e-10
50,50,2,"AgeDiversity","Abundance",-3,0.0742645866516761,0.101437722149626,0.0516768954242628,3.30805438207965e-11
50,50,2,"AgeDiversity","Abundance",-2,0.0336089445480598,0.157158876710338,0.0960497087334704,0.0174670076998735
50,50,2,"AgeDiversity","Abundance",-1,0.186862634066886,0.137314276360178,5.50848431757345e-07,1.05477011337354e-24
50,50,2,"AgeDiversity","Abundance",0,0.0412833997281202,0.132268054680789,0.0103403617944724,0.00118045224155596
50,50,6,"AgeDiversity","AMO",-8,0.135505772110882,0.135770983907957,0.75655502544518,6.0337688482467e-17
50,50,6,"AgeDiversity","AMO",-7,0.193271682822066,0.10652863450932,0.0641134326023778,1.50445267089128e-33
50,50,6,"AgeDiversity","AMO",-6,0.0908135319562677,0.115343931364389,0.398414416048071,2.23977601659929e-12
50,50,6,"AgeDiversity","AMO",-5,0.0539615414396461,0.121678563008533,0.75655502544518,1.19507947286167e-05
50,50,6,"AgeDiversity","AMO",-4,-0.0413474871098841,0.0960524994694808,0.00635528422852745,0.999980316390113
50,50,6,"AgeDiversity","AMO",-3,0.0295413385257581,0.0851603208896298,0.0788206784827414,0.000387601448789613
50,50,6,"AgeDiversity","AMO",-2,0.192838594324914,0.067362298322348,0.00463914443779179,5.46434737405905e-50
50,50,6,"AgeDiversity","AMO",-1,0.333241602359871,0.0883045658260317,0.00237216390671047,7.15547502198497e-61
50,50,6,"AgeDiversity","AMO",0,0.33105357235958,0.0884883404714961,2.44193725018604e-07,1.5961812071212e-60
50,50,9,"AgeDiversity","SBT",-8,0.972521058083846,0.0122219873646146,0.00590158628390269,1.61305421837645e-190
50,50,9,"AgeDiversity","SBT",-7,0.972510603250159,0.0136427266370612,0.0274952652157514,8.61921776613081e-186
50,50,9,"AgeDiversity","SBT",-6,0.976833458878045,0.0120853628144809,0.00193596271973417,3.42129258587876e-191
50,50,9,"AgeDiversity","SBT",-5,0.976255413431356,0.0104818036541057,0.00285822937534252,2.75354947297118e-197
50,50,9,"AgeDiversity","SBT",-4,0.972990594851146,0.0119608728000675,0.00128586079772419,1.81352102129733e-191
50,50,9,"AgeDiversity","SBT",-3,0.967838689046113,0.0133532431844438,0.000836408387871579,1.66158011076554e-186
50,50,9,"AgeDiversity","SBT",-2,0.969370940635824,0.013436256518716,0.00285822937534252,2.62379955285378e-186
50,50,9,"AgeDiversity","SBT",-1,0.968510338237447,0.0155508326302653,0.00826999894823977,5.49281943685146e-180
50,50,9,"AgeDiversity","SBT",0,0.970103199517638,0.0130557971829949,1.00560004248074e-05,1.41801887959978e-187
50,50,9,"AgeDiversity","CVofSBT",-8,0.780105035685489,0.0280538074753505,0.845841042458974,2.43634510205109e-145
50,50,9,"AgeDiversity","CVofSBT",-7,0.815853193418195,0.0238208242736309,0.000117603724415938,2.73598617327586e-154
50,50,9,"AgeDiversity","CVofSBT",-6,0.824659168303508,0.0182238577705053,2.27466720525982e-06,2.93674792112888e-166
50,50,9,"AgeDiversity","CVofSBT",-5,0.843216541064687,0.0196901044708712,0.000117603724415938,6.87119683433502e-164
50,50,9,"AgeDiversity","CVofSBT",-4,0.838376463167804,0.0174484355594583,4.47206138787237e-09,7.7667065960844e-169
50,50,9,"AgeDiversity","CVofSBT",-3,0.803485464663871,0.0244770347255533,0.0358972373678887,1.82258893840208e-152
50,50,9,"AgeDiversity","CVofSBT",-2,0.791573122383608,0.02359341022003,0.0114099160304104,2.10326764325728e-153
50,50,9,"AgeDiversity","CVofSBT",-1,0.722618902512988,0.0331650259637906,0.845841042458974,7.19332274479242e-135
50,50,9,"AgeDiversity","CVofSBT",0,0.741971075600332,0.0290853487149256,3.70285639796908e-05,1.22751017725305e-141
50,50,9,"AgeDiversity","SST",-8,0.968615396577819,0.0123531721100897,0.000199899920344748,6.91187926235275e-190
50,50,9,"AgeDiversity","SST",-7,0.967734901006936,0.012856333301683,0.00590158628390269,3.93487043392648e-188
50,50,9,"AgeDiversity","SST",-6,0.97037193931383,0.0113310501639852,6.7103643037747e-05,1.1192478182719e-193
50,50,9,"AgeDiversity","SST",-5,0.970349767807537,0.0108919818538712,0.000199899920344748,2.24370000611213e-195
50,50,9,"AgeDiversity","SST",-4,0.971208326130971,0.0123582408282612,4.07346058883817e-07,5.52468843513198e-190
50,50,9,"AgeDiversity","SST",-3,0.962821500053938,0.0128364982893343,0.000199899920344748,5.58947174588604e-188
50,50,9,"AgeDiversity","SST",-2,0.958851863311114,0.0145755060718055,0.0274952652157514,2.43450054370753e-182
50,50,9,"AgeDiversity","SST",-1,0.956792833910105,0.0160997396847523,0.0274952652157514,5.67630235249963e-178
50,50,9,"AgeDiversity","SST",0,0.960911077674852,0.0140708310466855,3.70285639796908e-05,6.01780843938468e-184
50,50,4,"AgeDiversity","CVofSST",-8,0.578597456637883,0.0535678086774024,0.489606968216902,7.80354127316273e-105
50,50,4,"AgeDiversity","CVofSST",-7,0.675017533620131,0.0520085751215133,0.00245512856408392,1.12316641468443e-112
50,50,4,"AgeDiversity","CVofSST",-6,0.651714734072999,0.0637837010167391,8.21617886030968e-05,1.81808389718267e-102
50,50,4,"AgeDiversity","CVofSST",-5,0.778521666481326,0.0368582129185854,3.85990572837613e-10,1.54829028237857e-133
