"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,7,"AgeDiversity","CV.CPUE",-8,0.0854725495164996,0.086802430997905,2.41022656499723e-06,1.1809362603379e-16
50,50,7,"AgeDiversity","CV.CPUE",-7,0.0196214083931373,0.131325261941287,8.26619198137646e-05,0.0691640082182533
50,50,7,"AgeDiversity","CV.CPUE",-6,0.0171010460949036,0.100091770832171,0.0516768954242628,0.0453351715456937
50,50,7,"AgeDiversity","CV.CPUE",-5,-0.172554108055739,0.0788187226481113,0.0641134326023778,1
50,50,7,"AgeDiversity","CV.CPUE",-4,-0.287202512815727,0.125536041824364,0.000514926454439,1
50,50,7,"AgeDiversity","CV.CPUE",-3,0.00439417627630746,0.0977168962818077,0.350195287197447,0.326960531873233
50,50,7,"AgeDiversity","CV.CPUE",-2,0.0818478124450988,0.0881811583552069,0.00165935080951662,2.01682355135496e-15
50,50,7,"AgeDiversity","CV.CPUE",-1,0.113734209532625,0.0797600320567842,4.94106357484814e-05,4.85118651475098e-26
50,50,7,"AgeDiversity","CV.CPUE",0,0.0774430032166556,0.0956571172043674,0.00165935080951662,7.47551312742205e-13
50,50,5,"AgeDiversity","Abundance",-8,-0.206061756956277,0.085614003849075,0.0255375408438456,1
50,50,5,"AgeDiversity","Abundance",-7,-0.193769058440888,0.0967396798420361,4.72451181363218e-06,1
50,50,5,"AgeDiversity","Abundance",-6,-0.156518654187682,0.108026483562942,1.62687221839008e-05,1
50,50,5,"AgeDiversity","Abundance",-5,0.0815669049717416,0.0873093717784378,0.00334096185825072,1.48862171995083e-15
50,50,5,"AgeDiversity","Abundance",-4,0.134916559652535,0.0947754307432353,8.91848950357321e-06,5.433502541239e-26
50,50,5,"AgeDiversity","Abundance",-3,0.0187867250482012,0.116125720481886,0.00114261804195204,0.0544446645544264
50,50,5,"AgeDiversity","Abundance",-2,0.114760987925208,0.103342451588588,1.02027024606599e-07,2.16348694301542e-19
50,50,5,"AgeDiversity","Abundance",-1,0.217730714342381,0.0988104315974583,1.62687221838542e-05,2.93557612286099e-40
50,50,5,"AgeDiversity","Abundance",0,0.0764945558744677,0.105903989719367,0.00165935080951662,5.3128375715221e-11
50,50,6,"AgeDiversity","AMO",-8,-0.364238921867663,0.111096636111597,4.72556482807806e-09,1
50,50,6,"AgeDiversity","AMO",-7,-0.339294551564732,0.117463343820642,1.62687221839008e-05,1
50,50,6,"AgeDiversity","AMO",-6,-0.291431302599168,0.101416436186089,2.4102265649058e-06,1
50,50,6,"AgeDiversity","AMO",-5,-0.326151679779201,0.0986659864211909,1.62687221839008e-05,1
50,50,6,"AgeDiversity","AMO",-4,-0.220125224446735,0.104011005169896,0.00334096185825063,1
50,50,6,"AgeDiversity","AMO",-3,-0.0770089602082668,0.0885022843794312,0.000773831095311373,0.999999999999963
50,50,6,"AgeDiversity","AMO",-2,-0.0882048086539011,0.106848505495631,8.91848950357321e-06,0.99999999999966
50,50,6,"AgeDiversity","AMO",-1,-0.213663038225427,0.09810865659409,0.0151553436376983,1
50,50,6,"AgeDiversity","AMO",0,0.0602499476208282,0.1026924763785,2.44193725018604e-07,2.94964856597673e-08
