"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,3,"AgeDiversity","CV.CPUE",-8,-0.0970580189540348,0.162094747118889,0.151333639663086,0.999999982846819
50,50,3,"AgeDiversity","CV.CPUE",-7,0.0246304474274429,0.118924193573616,0.903196690606909,0.0204751674458795
50,50,3,"AgeDiversity","CV.CPUE",-6,0.0002874298738501,0.116200038334442,1.25716599574943e-07,0.490157752522058
50,50,3,"AgeDiversity","CV.CPUE",-5,0.168863347684689,0.0947970495751584,2.62814214835316e-11,6.06091145076978e-33
50,50,3,"AgeDiversity","CV.CPUE",-4,-0.102525474151685,0.0884407826600755,0.00600683882392195,1
50,50,3,"AgeDiversity","CV.CPUE",-3,0.0376237552653333,0.082683280103466,0.0273297946472719,7.61523787493245e-06
50,50,3,"AgeDiversity","CV.CPUE",-2,-0.0988873063184653,0.102861749320903,0.042170702129707,1
50,50,3,"AgeDiversity","CV.CPUE",-1,0.00958587915327381,0.0878499696300204,0.00127503317278787,0.138924464703925
50,50,3,"AgeDiversity","CV.CPUE",0,0.100653134817265,0.0754568470357177,8.21617886030968e-05,3.81998946091002e-24
50,50,5,"AgeDiversity","Abundance",-8,-0.157157512236038,0.0884288141978339,0.00334096185825063,1
50,50,5,"AgeDiversity","Abundance",-7,-0.137635586521775,0.0945917991482296,0.00334096185825063,1
50,50,5,"AgeDiversity","Abundance",-6,-0.152892539909191,0.135809111169826,0.26504598877832,1
50,50,5,"AgeDiversity","Abundance",-5,-0.0702162570037002,0.130490718187445,0.00237216390671047,0.999999751280309
50,50,5,"AgeDiversity","Abundance",-4,0.193566216212491,0.0827889283759687,2.44193725018604e-07,2.11946863637104e-42
50,50,5,"AgeDiversity","Abundance",-3,0.261083957426112,0.0822744426891396,3.98309214499903e-08,5.49483786412419e-54
50,50,5,"AgeDiversity","Abundance",-2,0.317007345759305,0.0967339833229434,3.5587999214215e-10,2.98893251757573e-55
50,50,5,"AgeDiversity","Abundance",-1,0.295180901710651,0.0937641102287737,3.5587999214215e-10,1.12782449876433e-53
50,50,5,"AgeDiversity","Abundance",0,0.284043423951014,0.0834568644547846,1.2904566304428e-11,9.55091445680805e-57
50,50,6,"AgeDiversity","AMO",-8,-0.353425186702451,0.126566375018767,4.72556482807806e-09,1
50,50,6,"AgeDiversity","AMO",-7,-0.202723010228333,0.12152224608524,0.0197806317594083,1
50,50,6,"AgeDiversity","AMO",-6,-0.250347508959795,0.138073291699285,0.00859466758633064,1
50,50,6,"AgeDiversity","AMO",-5,-0.265819470467428,0.122115288813917,0.000514926454439,1
50,50,6,"AgeDiversity","AMO",-4,-0.221767579503312,0.125462399936436,0.0788206784827414,1
50,50,6,"AgeDiversity","AMO",-3,-0.139371349806856,0.104216200639158,1.17934845844658e-06,1
50,50,6,"AgeDiversity","AMO",-2,-0.0558971781795009,0.0873313986978878,7.63760166222482e-11,0.999999997402536
50,50,6,"AgeDiversity","AMO",-1,-0.109626498304724,0.080511141874532,0.625866196387911,1
50,50,6,"AgeDiversity","AMO",0,-0.0803493590402608,0.0924338796606957,0.194916733337412,0.999999999999961
50,50,9,"AgeDiversity","SBT",-8,0.53965400617922,0.0777940624353068,2.29414265362493e-11,4.75076666359313e-86
50,50,9,"AgeDiversity","SBT",-7,0.491213984998299,0.093548526566134,1.82002413140481e-10,2.14754445442327e-74
50,50,9,"AgeDiversity","SBT",-6,0.483113745101721,0.0847467837841288,1.82002413140481e-10,8.13792831810102e-78
50,50,9,"AgeDiversity","SBT",-5,0.500337004381363,0.0669079582828094,2.29414265362493e-11,3.21895162264602e-89
50,50,9,"AgeDiversity","SBT",-4,0.494243905999064,0.0759563318653613,1.82002413140481e-10,2.34223861702833e-83
50,50,9,"AgeDiversity","SBT",-3,0.491961909181559,0.0957918809120603,2.29414265362493e-11,1.78639989099438e-73
50,50,9,"AgeDiversity","SBT",-2,0.467626817440582,0.0874964355083925,1.82002413140481e-10,3.96028753004942e-75
50,50,9,"AgeDiversity","SBT",-1,0.460565939462322,0.0803624943493661,2.29414265362493e-11,4.87829359058997e-78
50,50,9,"AgeDiversity","SBT",0,0.467837567089285,0.0839385445945424,2.29414265362493e-11,7.09522240372916e-77
50,50,9,"AgeDiversity","CVofSBT",-8,0.406428980497456,0.107774769584305,1.01554342712973e-09,7.6420913166327e-61
50,50,9,"AgeDiversity","CVofSBT",-7,0.376840398883527,0.0870935322388204,1.82002413140481e-10,2.0331097460268e-66
50,50,9,"AgeDiversity","CVofSBT",-6,0.40394320321181,0.0769828308950422,1.82002413140481e-10,2.29786364330616e-74
50,50,9,"AgeDiversity","CVofSBT",-5,0.448015673467773,0.0659999318716871,2.29414265362493e-11,3.89273786099902e-85
50,50,9,"AgeDiversity","CVofSBT",-4,0.381513617065313,0.0840964620825836,1.82002413140481e-10,2.34121449601001e-68
50,50,9,"AgeDiversity","CVofSBT",-3,0.368508272087989,0.0865549951108816,4.47206138787237e-09,9.28349738768836e-66
50,50,9,"AgeDiversity","CVofSBT",-2,0.269574624123138,0.0903549651894957,2.29414265362493e-11,1.39089760690558e-51
50,50,9,"AgeDiversity","CVofSBT",-1,0.30967106319369,0.0835078261283383,1.01554342712973e-09,3.61458638585583e-60
50,50,9,"AgeDiversity","CVofSBT",0,0.322673888498619,0.0923319573603287,1.01554342712973e-09,8.49503475183075e-58
50,50,9,"AgeDiversity","SST",-8,0.494567885246065,0.0854965136653554,1.82002413140481e-10,1.99469917554519e-78
50,50,9,"AgeDiversity","SST",-7,0.4835755984448,0.0868830277580381,2.29414265362493e-11,8.10872948355527e-77
50,50,9,"AgeDiversity","SST",-6,0.482956028421159,0.0860762188877427,1.82002413140481e-10,3.74521338938806e-77
50,50,9,"AgeDiversity","SST",-5,0.479306134744646,0.0862166950755328,1.82002413140481e-10,9.07158573243428e-77
50,50,9,"AgeDiversity","SST",-4,0.489005522001252,0.0864244892420867,2.29414265362493e-11,1.66994841252166e-77
50,50,9,"AgeDiversity","SST",-3,0.476151485913916,0.0927148589831367,2.29414265362493e-11,1.78914080213038e-73
50,50,9,"AgeDiversity","SST",-2,0.464284586371187,0.0802528443453206,1.82002413140481e-10,1.97433855922104e-78
50,50,9,"AgeDiversity","SST",-1,0.468430383044067,0.0991930664056498,2.29414265362493e-11,5.238626235774e-70
50,50,9,"AgeDiversity","SST",0,0.477896799697494,0.0776642901720674,2.29414265362493e-11,5.18095220898999e-81
50,50,4,"AgeDiversity","CVofSST",-8,0.401706448201483,0.098845878197612,9.54791801177635e-14,7.2572864506901e-64
50,50,4,"AgeDiversity","CVofSST",-7,0.349404173287305,0.0819341614648337,1.08016262601041e-10,7.965461837243e-66
50,50,4,"AgeDiversity","CVofSST",-6,0.337115444504875,0.0716257405725734,8.54649684356446e-13,7.19625388162995e-70
50,50,4,"AgeDiversity","CVofSST",-5,0.338300775014037,0.0563202483883734,8.54649684356446e-13,5.30373776010264e-80
50,50,4,"AgeDiversity","CVofSST",-4,0.286204713423654,0.0861712420136034,9.57597512396546e-09,8.84139602358086e-56
50,50,4,"AgeDiversity","CVofSST",-3,0.227172243219036,0.078629097398425,2.3940311955073e-08,2.42049264634071e-50
50,50,4,"AgeDiversity","CVofSST",-2,0.115637818399736,0.099668520343429,2.67494632888443e-07,1.82821112106744e-20
50,50,4,"AgeDiversity","CVofSST",-1,0.160283906432429,0.0936996110243997,0.000292493771958391,1.26169709917094e-31
50,50,4,"AgeDiversity","CVofSST",0,0.163462270415536,0.0900100871080379,0.0340889014111891,1.39626925975722e-33
50,50,3,"AgeDiversity","CV.CPUE",-8,-0.100877908375147,0.150901966252832,0.042170702129707,0.999999999311353
50,50,3,"AgeDiversity","CV.CPUE",-7,0.0088587170276826,0.113996724487729,0.43968652710486,0.219475534124903
50,50,3,"AgeDiversity","CV.CPUE",-6,-0.00751094135478732,0.104433163698452,5.18722751399192e-05,0.76314720094884
50,50,3,"AgeDiversity","CV.CPUE",-5,0.192809023839185,0.0829800815812524,2.62814214835316e-11,3.5731398913366e-42
50,50,3,"AgeDiversity","CV.CPUE",-4,-0.0885321860132446,0.094070848151478,0.0913862488920326,0.999999999999999
50,50,3,"AgeDiversity","CV.CPUE",-3,0.0233349534473385,0.100223116091436,0.715031775293832,0.0109651943127797
50,50,3,"AgeDiversity","CV.CPUE",-2,-0.0923615756372809,0.110917888441581,0.00334566238264349,0.999999999999762
50,50,3,"AgeDiversity","CV.CPUE",-1,0.0268055189505109,0.0971431239640355,0.000628513226241054,0.00344991103178214
50,50,3,"AgeDiversity","CV.CPUE",0,0.104334194106145,0.0846294258830362,1.25716599574943e-07,5.11968018147913e-22
50,50,5,"AgeDiversity","Abundance",-8,-0.148158726824603,0.095333112348479,0.450284886272046,1
50,50,5,"AgeDiversity","Abundance",-7,-0.147487332854176,0.0994424155924777,0.00237216390671045,1
50,50,5,"AgeDiversity","Abundance",-6,-0.138417537135767,0.139446912836538,0.894351259969982,1
50,50,5,"AgeDiversity","Abundance",-5,-0.0855771917998854,0.12825157336496,0.00114261804195204,0.999999999270038
50,50,5,"AgeDiversity","Abundance",-4,0.184416752430631,0.0928580211032085,1.02027024606599e-07,1.31567135802127e-36
50,50,5,"AgeDiversity","Abundance",-3,0.255334317213565,0.0674017185350373,1.43717926448517e-08,5.01922031819712e-61
50,50,5,"AgeDiversity","Abundance",-2,0.312395884209621,0.077883805686428,1.38948963446239e-09,2.46800325012002e-63
50,50,5,"AgeDiversity","Abundance",-1,0.281518859283519,0.0980411619787731,1.43717926448517e-08,4.17437058801806e-50
50,50,5,"AgeDiversity","Abundance",0,0.279696411038476,0.0990955312968442,3.5587999214215e-10,1.90580108015875e-49
50,50,6,"AgeDiversity","AMO",-8,-0.371784441749852,0.127104388394992,1.43717927489422e-08,1
50,50,6,"AgeDiversity","AMO",-7,-0.219929757288159,0.122785876794828,0.0114805970670177,1
50,50,6,"AgeDiversity","AMO",-6,-0.261158298829428,0.126797394536057,0.00237216390671045,1
50,50,6,"AgeDiversity","AMO",-5,-0.273561826966689,0.123455717375151,0.000336296764708016,1
50,50,6,"AgeDiversity","AMO",-4,-0.195568720244458,0.121231029833039,0.194916733337412,1
50,50,6,"AgeDiversity","AMO",-3,-0.145897282725238,0.104365642696988,0.00165935080951662,1
50,50,6,"AgeDiversity","AMO",-2,-0.0858878526773848,0.0770775723652435,1.43717926448517e-08,1
50,50,6,"AgeDiversity","AMO",-1,-0.105291716715514,0.0987331743319297,0.194916733337412,1
50,50,6,"AgeDiversity","AMO",0,-0.0999552079687663,0.0950333510472094,0.194916733337412,1
50,50,9,"AgeDiversity","SBT",-8,0.526588449439898,0.0801959707621253,2.29414265362493e-11,9.73145433162943e-84
