"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,3,"AgeDiversity","CV.CPUE",-4,0.345182824537745,0.124120744895875,4.96031746031189e-05,7.01262809507645e-49
25,25,3,"AgeDiversity","CV.CPUE",-3,0.241866956968869,0.12808392984081,0.00242504409171085,6.89828268257541e-35
25,25,3,"AgeDiversity","CV.CPUE",-2,0.376288776626287,0.105449729978978,0.00550595238095242,1.25076732299764e-58
25,25,3,"AgeDiversity","CV.CPUE",-1,0.245688128515561,0.140695940717622,0.000242504409171174,2.71183781400609e-32
25,25,3,"AgeDiversity","CV.CPUE",0,0.167922769041355,0.154917807263519,0.0446152998236331,8.13783536851217e-19
25,25,5,"AgeDiversity","Abundance",-4,-0.0550164077953983,0.183736276350349,0.398759920634921,0.998262826506481
25,25,5,"AgeDiversity","Abundance",-3,0.179079333884706,0.149381922472338,0.00173611111111116,2.72114832004686e-21
25,25,5,"AgeDiversity","Abundance",-2,0.0812552537227791,0.167556591649723,0.398759920634921,2.30197032100874e-06
25,25,5,"AgeDiversity","Abundance",-1,-0.160802505124417,0.143569469376129,0.178869047619048,1
25,25,5,"AgeDiversity","Abundance",0,0.247915814306069,0.130015874746812,0.000396825396825395,3.23374688873103e-35
25,25,3,"AgeDiversity","AMO",-4,-0.385740548117654,0.163804452940298,0.000242504409171076,1
25,25,3,"AgeDiversity","AMO",-3,0.349450235904167,0.129809435387404,5.51146384486501e-06,1.20946623283967e-47
25,25,3,"AgeDiversity","AMO",-2,0.0235196002977101,0.109456293549399,0.00173611111111116,0.0170456904573991
25,25,3,"AgeDiversity","AMO",-1,0.109782874294273,0.139873301758425,0.000242504409171174,2.52692662532262e-12
25,25,3,"AgeDiversity","AMO",0,0.125776401388402,0.128994844833572,0.000242504409171174,1.91573801985805e-16
25,25,4,"AgeDiversity","SBT",-4,0.17564701119764,0.109808330753741,0.548412698412698,1.68727714494809e-29
25,25,4,"AgeDiversity","SBT",-3,-0.00418913497890823,0.134053201524389,0.0311507936507935,0.622340294368037
25,25,4,"AgeDiversity","SBT",-2,-0.168393533827611,0.163841448452394,0.904861111111111,1
25,25,4,"AgeDiversity","SBT",-1,-0.0506440427414603,0.176782044148912,0.00550595238095242,0.997451930957272
25,25,4,"AgeDiversity","SBT",0,0.165442225138642,0.177966521035415,0.000396825396825395,1.87550965297911e-15
25,25,7,"AgeDiversity","CVofSBT",-4,-0.150044208728868,0.186791078266973,0.000396825396825395,0.999999999998979
25,25,7,"AgeDiversity","CVofSBT",-3,-0.193892833043985,0.137362826443173,0.000396825396825395,1
25,25,7,"AgeDiversity","CVofSBT",-2,-0.189508818934601,0.131037404675914,0.000396825396825395,1
25,25,7,"AgeDiversity","CVofSBT",-1,-0.168600726731963,0.142154364233957,0.000396825396825395,1
25,25,7,"AgeDiversity","CVofSBT",0,-0.149387889522767,0.192913982084821,0.000396825396825395,0.999999999995771
25,25,5,"AgeDiversity","SST",-4,-0.0688841221020045,0.134646401039237,0.398759920634921,0.999999234315396
25,25,5,"AgeDiversity","SST",-3,0.213277131436874,0.153409658725229,0.000396825396825395,2.60997242011091e-25
25,25,5,"AgeDiversity","SST",-2,0.0768126951687188,0.117671038179259,0.00550595238095242,1.43834999614723e-09
25,25,5,"AgeDiversity","SST",-1,0.0671696076511439,0.136939448660378,0.000396825396825395,1.83413470149562e-06
25,25,5,"AgeDiversity","SST",0,-0.171984479295837,0.123383524025286,0.0311507936507935,1
25,25,6,"AgeDiversity","CVofSST",-4,0.19655466201592,0.151212841477461,4.96031746031189e-05,1.9677127001946e-23
25,25,6,"AgeDiversity","CVofSST",-3,-0.0351663713832853,0.204734803913209,4.96031746031189e-05,0.955506957721825
25,25,6,"AgeDiversity","CVofSST",-2,-0.0417796117087216,0.142062024485223,0.000396825396825395,0.997962959595946
25,25,6,"AgeDiversity","CVofSST",-1,-0.158485824862805,0.146631108757523,4.96031746031189e-05,1
25,25,6,"AgeDiversity","CVofSST",0,0.183323579622128,0.168501386550923,0.000396825396825395,6.65786257252584e-19
25,25,5,"AgeDiversity","F",-4,-0.0717520226887193,0.173636536128453,0.719543650793651,0.999962396025407
25,25,5,"AgeDiversity","F",-3,-0.14534057276881,0.167048321739234,0.108680555555556,0.999999999999963
25,25,5,"AgeDiversity","F",-2,-0.202268161954342,0.183965247153365,0.398759920634921,1
25,25,5,"AgeDiversity","F",-1,-0.223392218754619,0.145804773800451,0.275099206349206,1
25,25,5,"AgeDiversity","F",0,-0.0954740093456171,0.161694086061101,0.904861111111111,0.999999975071681
25,25,3,"AgeDiversity","CV.CPUE",-4,0.355352398803134,0.113382286461084,4.96031746031189e-05,1.68555372029298e-53
25,25,3,"AgeDiversity","CV.CPUE",-3,0.241926350106646,0.137864627713467,0.0126653439153439,1.87736922981228e-32
25,25,3,"AgeDiversity","CV.CPUE",-2,0.385092386977454,0.127170846298542,4.96031746031189e-05,3.69106065360683e-52
25,25,3,"AgeDiversity","CV.CPUE",-1,0.262556165452843,0.150008446858568,0.00085427689594364,2.28010181667062e-32
25,25,3,"AgeDiversity","CV.CPUE",0,0.165154244307686,0.155318921537926,0.00085427689594364,2.28316052870542e-18
25,25,5,"AgeDiversity","Abundance",-4,-0.0537285838936781,0.196228786514888,0.275099206349206,0.996335433957104
25,25,5,"AgeDiversity","Abundance",-3,0.143643614449614,0.189258692399233,0.00550595238095242,8.97661140022997e-12
25,25,5,"AgeDiversity","Abundance",-2,0.0567932726312011,0.161841365759969,0.178869047619048,0.000338969019199255
25,25,5,"AgeDiversity","Abundance",-1,-0.161380551157009,0.139933814486007,0.719543650793651,1
25,25,5,"AgeDiversity","Abundance",0,0.232205705967682,0.133748819495895,0.000396825396825395,4.18707085063072e-32
25,25,3,"AgeDiversity","AMO",-4,-0.382612265209454,0.165182243984577,0.00173611111111111,1
25,25,3,"AgeDiversity","AMO",-3,0.31965547583983,0.125745680396744,5.51146384486501e-06,1.7308022691766e-45
25,25,3,"AgeDiversity","AMO",-2,0.0258360382508387,0.112721409893696,0.0751763668430334,0.0120108444363672
25,25,3,"AgeDiversity","AMO",-1,0.0957042211982233,0.147280982866478,4.96031746031189e-05,1.65170802515448e-09
25,25,3,"AgeDiversity","AMO",0,0.137282383544909,0.139820484136436,4.96031746031189e-05,1.36148805780492e-16
25,25,4,"AgeDiversity","SBT",-4,0.160201454250757,0.117651033835946,0.398759920634921,1.01400043635327e-24
25,25,4,"AgeDiversity","SBT",-3,-0.0227891155162384,0.146955639069542,0.0141369047619047,0.937923442078795
25,25,4,"AgeDiversity","SBT",-2,-0.155617724048403,0.153754007735753,0.548412698412698,1
25,25,4,"AgeDiversity","SBT",-1,-0.0563549925111549,0.15609491352271,0.0141369047619047,0.999758965409719
25,25,4,"AgeDiversity","SBT",0,0.176183252890656,0.177318415398513,4.96031746031189e-05,7.54455998939031e-17
25,25,7,"AgeDiversity","CVofSBT",-4,-0.160965392455348,0.170783359146063,0.00277777777777777,0.999999999999999
