"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,9,"AgeDiversity","CV.CPUE",-4,0.527356743001212,0.10740142753906,0.000198412698412698,1.29135577761063e-71
25,25,9,"AgeDiversity","CV.CPUE",-3,0.463268504155492,0.109526618905796,0.00138888888888888,1.71614461108756e-65
25,25,9,"AgeDiversity","CV.CPUE",-2,0.264610441907636,0.121804346731584,0.00535714285714284,9.44275267082959e-40
25,25,9,"AgeDiversity","CV.CPUE",-1,0.335467813562914,0.127016822665013,0.00138888888888888,6.36699339895086e-47
25,25,9,"AgeDiversity","CV.CPUE",0,0.156371016716604,0.167432774373657,0.00138888888888888,1.5108578392043e-15
25,25,2,"AgeDiversity","Abundance",-4,-0.126584522632794,0.133039165470346,0.547569444444444,0.999999999999999
25,25,2,"AgeDiversity","Abundance",-3,-0.150168683848055,0.152834947421708,0.640228174603175,1
25,25,2,"AgeDiversity","Abundance",-2,-0.212192660265667,0.0870941190885667,0.945659722222222,1
25,25,2,"AgeDiversity","Abundance",-1,-0.189297094812637,0.0871357477202366,0.725793650793651,1
25,25,2,"AgeDiversity","Abundance",0,-0.230504819112911,0.133026591342064,0.910565476190476,1
25,25,3,"AgeDiversity","AMO",-4,-0.452514022864176,0.132109980930259,0.999997244268078,1
25,25,3,"AgeDiversity","AMO",-3,-0.0817168827437182,0.116560562054278,0.380707120811287,0.999999999852913
25,25,3,"AgeDiversity","AMO",-2,0.445642228738607,0.0897357288251691,0.129759149029982,4.38696190213058e-72
25,25,3,"AgeDiversity","AMO",-1,0.633112946411142,0.0583141400207811,0.00294312169312172,4.70860408047614e-105
25,25,3,"AgeDiversity","AMO",0,0.580263067056111,0.072160736279419,0.00633267195767195,2.72555727304804e-92
25,25,4,"AgeDiversity","SBT",-4,-0.0551595059568144,0.155766692953549,0.00275297619047621,0.999695462918732
25,25,4,"AgeDiversity","SBT",-3,-0.355747754747187,0.180108643154988,0.992931547619048,1
25,25,4,"AgeDiversity","SBT",-2,-0.273450943273772,0.164303760154112,0.969494047619048,1
25,25,4,"AgeDiversity","SBT",-1,-0.100905439109428,0.195088921660525,0.359771825396825,0.999999395693497
25,25,4,"AgeDiversity","SBT",0,0.0246373297918656,0.149585478732504,0.910565476190476,0.0513602514351215
25,25,7,"AgeDiversity","CVofSBT",-4,0.100605196160789,0.161290552180415,0.0680555555555555,5.50713822970771e-09
25,25,7,"AgeDiversity","CVofSBT",-3,0.224183028277082,0.144638813722366,0.0345238095238095,1.58252795188897e-28
25,25,7,"AgeDiversity","CVofSBT",-2,0.204856615606666,0.130819588627992,0.119444444444444,7.66519809665429e-29
25,25,7,"AgeDiversity","CVofSBT",-1,0.296244659885336,0.123359888176502,0.00138888888888888,2.22152605954884e-43
25,25,7,"AgeDiversity","CVofSBT",0,-0.185979945032165,0.172119258146596,0.00138888888888888,1
25,25,5,"AgeDiversity","SST",-4,-0.0606442591148271,0.142900807330036,0.0155753968253968,0.999975215106469
25,25,5,"AgeDiversity","SST",-3,0.140589631102033,0.131652728930439,0.00706845238095233,1.8173226201436e-18
25,25,5,"AgeDiversity","SST",-2,0.283257211673987,0.11910603350821,0.00086805555555558,5.05951719970471e-43
25,25,5,"AgeDiversity","SST",-1,-0.0426427797815787,0.188554459530587,0.0155753968253968,0.987044224561679
25,25,5,"AgeDiversity","SST",0,-0.101496026440106,0.182842374579784,0.359771825396825,0.999999880881895
25,25,6,"AgeDiversity","CVofSST",-4,-0.262496644818241,0.141529676332015,0.274206349206349,1
25,25,6,"AgeDiversity","CVofSST",-3,0.178487310177405,0.170659588503177,2.48015873015595e-05,5.47406533548943e-18
25,25,6,"AgeDiversity","CVofSST",-2,0.28317443256097,0.118030398732706,0.0305059523809523,2.40929396330587e-43
25,25,6,"AgeDiversity","CVofSST",-1,0.151592472129489,0.161339770340909,0.359771825396825,1.13760808277209e-15
25,25,6,"AgeDiversity","CVofSST",0,0.0298393092995872,0.186083152343683,0.0894345238095238,0.0559998374544054
25,25,8,"AgeDiversity","F",-4,0.566576742136389,0.107678819138583,0.015079365079365,1.76360696920007e-74
25,25,8,"AgeDiversity","F",-3,0.678376129935583,0.0817385508208518,0.015079365079365,1.24988657007646e-93
25,25,8,"AgeDiversity","F",-2,0.648902436885377,0.0925946728995692,0.000198412698412698,1.76766066394112e-86
25,25,8,"AgeDiversity","F",-1,0.514809545753603,0.103486894975821,0.000198412698412698,3.7296735996236e-72
25,25,8,"AgeDiversity","F",0,0.408619158459985,0.114889620442417,0.000198412698412698,1.69561154368318e-58
25,25,9,"AgeDiversity","CV.CPUE",-4,0.501950777810128,0.115607831999931,0.000198412698412698,1.46825819653441e-66
25,25,9,"AgeDiversity","CV.CPUE",-3,0.461628182908739,0.105847971705027,0.00138888888888888,9.65109003617338e-67
25,25,9,"AgeDiversity","CV.CPUE",-2,0.273286969294484,0.133004394901139,0.00535714285714284,8.69875559364524e-38
25,25,9,"AgeDiversity","CV.CPUE",-1,0.343505635715077,0.13024578762594,0.00535714285714284,7.20613626229476e-47
25,25,9,"AgeDiversity","CV.CPUE",0,0.166495048400511,0.174689376689223,0.00535714285714284,5.77312633017196e-16
25,25,2,"AgeDiversity","Abundance",-4,-0.119811469679887,0.131763445890792,0.640228174603175,0.999999999999995
25,25,2,"AgeDiversity","Abundance",-3,-0.163451112093104,0.13800497292006,0.910565476190476,1
25,25,2,"AgeDiversity","Abundance",-2,-0.206324328434435,0.0865392179372547,0.997247023809524,1
25,25,2,"AgeDiversity","Abundance",-1,-0.195269020133856,0.0891821500605536,0.945659722222222,1
25,25,2,"AgeDiversity","Abundance",0,-0.237007800963937,0.133465210781407,0.984424603174603,1
25,25,3,"AgeDiversity","AMO",-4,-0.436598181292599,0.132112514107908,0.999975198412698,1
25,25,3,"AgeDiversity","AMO",-3,-0.0812336834269401,0.118519872396608,0.380707120811287,0.999999999690014
25,25,3,"AgeDiversity","AMO",-2,0.446676624934244,0.0834900272830516,0.359771825396825,3.58668738747934e-75
25,25,3,"AgeDiversity","AMO",-1,0.643358869325789,0.057478297839416,0.00086805555555558,2.35731234603706e-106
25,25,3,"AgeDiversity","AMO",0,0.595164635258546,0.0654531740980005,0.00042713844797182,1.6621251597308e-97
25,25,4,"AgeDiversity","SBT",-4,-0.0643343001401051,0.161854569818782,0.000198412698412698,0.999933028490011
25,25,4,"AgeDiversity","SBT",-3,-0.347284555815557,0.180641400728923,0.984424603174603,1
25,25,4,"AgeDiversity","SBT",-2,-0.287928162886066,0.142635806119329,0.992931547619048,1
25,25,4,"AgeDiversity","SBT",-1,-0.103662451604099,0.174613863295592,0.19937996031746,0.999999978413008
25,25,4,"AgeDiversity","SBT",0,0.0258176760364266,0.149505471947136,0.547569444444444,0.0436548381845893
25,25,7,"AgeDiversity","CVofSBT",-4,0.0859926133485164,0.183839910903829,0.0680555555555555,4.60161989136912e-06
25,25,7,"AgeDiversity","CVofSBT",-3,0.227800458248879,0.123684044703174,0.119444444444444,4.74808971823005e-34
25,25,7,"AgeDiversity","CVofSBT",-2,0.205718238795303,0.118881420606323,0.00138888888888888,5.3493065959915e-32
25,25,7,"AgeDiversity","CVofSBT",-1,0.307782316900383,0.131446205302489,0.00138888888888888,1.87333774226422e-42
25,25,7,"AgeDiversity","CVofSBT",0,-0.19354783166646,0.167998087314823,0.0345238095238095,1
25,25,5,"AgeDiversity","SST",-4,-0.0460494315363937,0.143225537865831,0.00086805555555558,0.999119502203786
25,25,5,"AgeDiversity","SST",-3,0.144172978541581,0.1073168235508,0.0155753968253968,2.42165069705681e-24
25,25,5,"AgeDiversity","SST",-2,0.28393283747088,0.100118065286108,0.000198412698412698,1.25155485704806e-49
25,25,5,"AgeDiversity","SST",-1,0.00127856302788052,0.180752307748719,0.0155753968253968,0.4718754245667
25,25,5,"AgeDiversity","SST",0,-0.099335250565041,0.1734691501164,0.0894345238095238,0.999999944866519
25,25,6,"AgeDiversity","CVofSST",-4,-0.254566126503728,0.136119687863209,0.274206349206349,1
25,25,6,"AgeDiversity","CVofSST",-3,0.174451477550071,0.167558640188984,0.00086805555555558,6.93915182506609e-18
25,25,6,"AgeDiversity","CVofSST",-2,0.273142436314146,0.108204663328391,0.0305059523809523,3.16142803597068e-45
25,25,6,"AgeDiversity","CVofSST",-1,0.181847529983784,0.142535047917097,0.0894345238095238,6.30359502591313e-23
25,25,6,"AgeDiversity","CVofSST",0,0.0318088754754969,0.17708323906598,0.0305059523809523,0.0377510625519164
25,25,8,"AgeDiversity","F",-4,0.579829516378921,0.0977935239792583,0.015079365079365,1.85686638277057e-79
25,25,8,"AgeDiversity","F",-3,0.681780640354152,0.0869543073804571,0.015079365079365,3.19816094022598e-91
25,25,8,"AgeDiversity","F",-2,0.640853088110576,0.0965680740883295,0.00138888888888888,3.48498248470938e-84
25,25,8,"AgeDiversity","F",-1,0.502698430075288,0.097541248007584,0.00138888888888888,1.28000032412502e-73
25,25,8,"AgeDiversity","F",0,0.406811367780316,0.112950111423969,0.00138888888888888,5.32600551632321e-59
