"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,9,"AgeDiversity","CV.CPUE",-4,0.133141125171022,0.138799026357618,0.0301587301587301,4.23994269433191e-16
25,25,9,"AgeDiversity","CV.CPUE",-3,0.159081620163022,0.103540452070869,0.000396825396825395,2.92902067305026e-28
25,25,9,"AgeDiversity","CV.CPUE",-2,0.357950186909826,0.117118013598929,0.000396825396825395,1.61106458459487e-52
25,25,9,"AgeDiversity","CV.CPUE",-1,0.512329654884307,0.135355472767632,0.00277777777777777,5.4252320766228e-61
25,25,9,"AgeDiversity","CV.CPUE",0,0.503105657407741,0.140904785618643,0.00277777777777777,1.18437359621926e-58
25,25,8,"AgeDiversity","Abundance",-4,-0.331996708022525,0.132980617692213,0.069047619047619,1
25,25,8,"AgeDiversity","Abundance",-3,-0.0868825203844275,0.121774039005385,0.0107142857142857,0.999999999918782
25,25,8,"AgeDiversity","Abundance",-2,-0.061057033622731,0.119335720296299,0.0107142857142857,0.999999235857671
25,25,8,"AgeDiversity","Abundance",-1,0.298386623637897,0.0749689746064341,0.000396825396825395,5.07911239731532e-63
25,25,8,"AgeDiversity","Abundance",0,0.462510138708697,0.135332098914866,0.000396825396825395,6.5446782090927e-57
25,25,10,"AgeDiversity","AMO",-4,-0.221967177760991,0.152627568012892,0.0166666666666666,1
25,25,10,"AgeDiversity","AMO",-3,-0.0830356162740051,0.141599970593696,0.0166666666666666,0.999999970114847
25,25,10,"AgeDiversity","AMO",-2,0.0731115549092363,0.16119920142765,0.136111111111111,8.07274711604316e-06
25,25,10,"AgeDiversity","AMO",-1,0.205059666881627,0.146645022326663,0.00277777777777777,1.78000764985964e-25
25,25,10,"AgeDiversity","AMO",0,0.539910761123094,0.110843219846957,0.00277777777777777,2.76795742568877e-71
25,25,7,"AgeDiversity","SBT",-4,0.026000861369272,0.130693401126594,0.00277777777777777,0.0247049243662328
25,25,7,"AgeDiversity","SBT",-3,-0.0526694538951671,0.104320513538697,0.0301587301587301,0.999998986753447
