"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,4,"AgeDiversity","CV.CPUE",-4,-0.220990462763437,0.134687232640684,0.398759920634921,1
25,25,4,"AgeDiversity","CV.CPUE",-3,0.000585274942887588,0.15227337874237,0.178869047619048,0.484708808472924
25,25,4,"AgeDiversity","CV.CPUE",-2,-0.0326455657977949,0.15260378238887,0.719543650793651,0.982562262823909
25,25,4,"AgeDiversity","CV.CPUE",-1,0.136027649242044,0.152220281739175,0.398759920634921,1.13996715655083e-14
25,25,4,"AgeDiversity","CV.CPUE",0,-0.00723134920348797,0.150234997909935,0.275099206349206,0.684329989349219
25,25,5,"AgeDiversity","Abundance",-4,0.317351780955473,0.159232922772531,0.0311507936507935,9.95204601029819e-37
25,25,5,"AgeDiversity","Abundance",-3,0.403474535763783,0.145871588047218,1,1.13002671013784e-48
25,25,5,"AgeDiversity","Abundance",-2,0.402499164002975,0.123371964991408,0.108680555555555,4.48351903495765e-55
25,25,5,"AgeDiversity","Abundance",-1,0.264383239039942,0.146881591571186,0.719543650793651,2.74875543823884e-33
25,25,5,"AgeDiversity","Abundance",0,-0.0108154381207157,0.137966560594769,0.398759920634921,0.782519914311268
25,25,3,"AgeDiversity","AMO",-4,-0.0933796294282421,0.104197915900116,0.0126653439153439,0.99999999999999
25,25,3,"AgeDiversity","AMO",-3,0.0435432150746313,0.108999806657729,0.000242504409171174,6.22921185994328e-05
25,25,3,"AgeDiversity","AMO",-2,0.317471742245414,0.118276448230226,0.00242504409171085,1.56142594633761e-47
25,25,3,"AgeDiversity","AMO",-1,0.238448386141192,0.116682894763331,0.476708553791887,1.34716590384578e-37
25,25,3,"AgeDiversity","AMO",0,0.299610749216259,0.108219224400862,0.476708553791887,1.04067307824328e-48
25,25,4,"AgeDiversity","SBT",-4,-0.135494947791776,0.185039338100108,0.0141369047619047,0.999999999967126
25,25,4,"AgeDiversity","SBT",-3,-0.261958115984339,0.161738863654601,0.108680555555555,1
25,25,4,"AgeDiversity","SBT",-2,-0.438774101214532,0.171049707586716,0.0141369047619048,1
25,25,4,"AgeDiversity","SBT",-1,-0.378745405893722,0.158796808894021,0.178869047619048,1
25,25,4,"AgeDiversity","SBT",0,-0.442411073712202,0.115983095982649,0.00173611111111111,1
25,25,7,"AgeDiversity","CVofSBT",-4,0.0825432313890244,0.183590052601722,0.000396825396825395,9.41811882409783e-06
25,25,7,"AgeDiversity","CVofSBT",-3,-0.0386119336008536,0.142883302971742,0.00277777777777777,0.995948521520201
25,25,7,"AgeDiversity","CVofSBT",-2,0.359670338699087,0.113292441230051,0.000396825396825395,5.28385710861589e-54
25,25,7,"AgeDiversity","CVofSBT",-1,0.383733634885715,0.131926701628885,0.000396825396825395,1.3320766660369e-50
25,25,7,"AgeDiversity","CVofSBT",0,0.0572825780692478,0.167181603608484,0.000396825396825395,0.00044605210087467
25,25,5,"AgeDiversity","SST",-4,-0.185341364150769,0.161318965619741,0.108680555555555,1
25,25,5,"AgeDiversity","SST",-3,-0.148631612744784,0.140510366018552,0.00550595238095242,1
25,25,5,"AgeDiversity","SST",-2,-0.13621410473901,0.113402858002938,0.0141369047619047,1
25,25,5,"AgeDiversity","SST",-1,-0.280216552584108,0.115465742610554,0.0141369047619047,1
25,25,5,"AgeDiversity","SST",0,0.0768281150227863,0.147776373307098,4.96031746031189e-05,5.40027533201918e-07
25,25,6,"AgeDiversity","CVofSST",-4,0.15232835759575,0.179343113354867,4.96031746031189e-05,1.03889248003527e-13
25,25,6,"AgeDiversity","CVofSST",-3,-0.169615143058429,0.152035939077921,0.000396825396825395,1
25,25,6,"AgeDiversity","CVofSST",-2,-0.142437206914751,0.144117410638806,0.00550595238095242,1
25,25,6,"AgeDiversity","CVofSST",-1,0.450688850787428,0.111887867413718,4.96031746031189e-05,1.66342194218955e-63
25,25,6,"AgeDiversity","CVofSST",0,0.341781004499091,0.127098881441451,4.96031746031189e-05,1.32994209297749e-47
25,25,2,"AgeDiversity","F",-4,-0.21377509807281,0.164338157748571,0.259518298059965,1
25,25,2,"AgeDiversity","F",-3,0.0340327811482382,0.151377268418453,0.00173611111111116,0.013390162458855
25,25,2,"AgeDiversity","F",-2,0.338450583318147,0.172541330670039,4.96031746031189e-05,3.50598355987569e-36
25,25,2,"AgeDiversity","F",-1,0.501121233493459,0.138024644255629,0.000242504409171174,2.54631531585934e-59
25,25,2,"AgeDiversity","F",0,0.378995380409911,0.152386980782828,0.0610119047619047,1.12959922717497e-44
25,25,4,"AgeDiversity","CV.CPUE",-4,-0.193960518329453,0.128083199075661,0.904861111111111,1
25,25,4,"AgeDiversity","CV.CPUE",-3,0.0150910806204186,0.169070995458173,0.0610119047619047,0.18712107463787
25,25,4,"AgeDiversity","CV.CPUE",-2,-0.0126994792811701,0.14755503745625,0.548412698412698,0.804247679086027
25,25,4,"AgeDiversity","CV.CPUE",-1,0.141640478041026,0.158592104666733,0.178869047619048,1.16955456852217e-14
25,25,4,"AgeDiversity","CV.CPUE",0,0.0516623356177751,0.155315313840272,0.275099206349206,0.000617888748857712
25,25,5,"AgeDiversity","Abundance",-4,0.311093091443696,0.138077925593715,0.00550595238095242,4.67395009893129e-41
25,25,5,"AgeDiversity","Abundance",-3,0.426559827438998,0.147209138693822,0.719543650793651,1.86661302375883e-50
25,25,5,"AgeDiversity","Abundance",-2,0.366046909968404,0.144002004124873,0.548412698412698,1.73796627621836e-45
25,25,5,"AgeDiversity","Abundance",-1,0.272916110730074,0.148812743592839,0.904861111111111,6.58730703186768e-34
25,25,5,"AgeDiversity","Abundance",0,-0.0294333506776471,0.130139849448113,0.719543650793651,0.987047681169392
25,25,3,"AgeDiversity","AMO",-4,-0.0986311662551718,0.0794578194088588,0.00588624338624344,1
25,25,3,"AgeDiversity","AMO",-3,0.049759340273157,0.0911486753112524,4.96031746031189e-05,1.77536145365233e-07
25,25,3,"AgeDiversity","AMO",-2,0.342667893559074,0.110857208489349,0.000242504409171174,5.84282093209395e-53
25,25,3,"AgeDiversity","AMO",-1,0.24762431886792,0.133988719505502,0.180180776014109,3.6506369098234e-34
25,25,3,"AgeDiversity","AMO",0,0.304937049063609,0.117704835702999,0.1194389329806,3.38204361022475e-46
25,25,4,"AgeDiversity","SBT",-4,-0.167961623559523,0.163896428067938,0.00173611111111116,1
25,25,4,"AgeDiversity","SBT",-3,-0.246042092251076,0.160068219124543,0.108680555555555,1
25,25,4,"AgeDiversity","SBT",-2,-0.438966644786428,0.184190829002982,0.00550595238095238,1
25,25,4,"AgeDiversity","SBT",-1,-0.375438834741057,0.147094252164301,0.0311507936507937,1
25,25,4,"AgeDiversity","SBT",0,-0.40411616748841,0.106108273765489,0.00173611111111111,1
25,25,7,"AgeDiversity","CVofSBT",-4,0.0857031238806271,0.184103094867864,0.00277777777777777,5.03145730448347e-06
25,25,7,"AgeDiversity","CVofSBT",-3,-0.0635437166960524,0.150203967668193,0.00277777777777777,0.999973941582677
