"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,8,"AgeDiversity","CV.CPUE",-4,-0.518961567841878,0.112508878180479,0.561904761904762,1
25,25,8,"AgeDiversity","CV.CPUE",-3,-0.431474491892629,0.160071934388171,0.238888888888889,1
25,25,8,"AgeDiversity","CV.CPUE",-2,-0.251348765284439,0.115184471629337,0.00277777777777777,1
25,25,8,"AgeDiversity","CV.CPUE",-1,-0.0780474485908042,0.130172015136979,0.00277777777777777,0.999999983453584
25,25,8,"AgeDiversity","CV.CPUE",0,0.144313873554185,0.0999700069225677,0.00277777777777777,2.12660949419551e-26
25,25,4,"AgeDiversity","Abundance",-4,-0.279391520367125,0.162119220265041,0.275099206349206,1
25,25,4,"AgeDiversity","Abundance",-3,0.226628340445301,0.170165487286133,0.0311507936507935,4.2257694645935e-24
25,25,4,"AgeDiversity","Abundance",-2,0.551098090990864,0.102074260707365,0.0141369047619047,1.49998618253986e-75
25,25,4,"AgeDiversity","Abundance",-1,0.679834870932244,0.0801414629086108,0.0311507936507935,1.47582773256927e-94
25,25,4,"AgeDiversity","Abundance",0,0.666760104388684,0.0841606462222895,0.0610119047619047,1.16316091800018e-91
25,25,3,"AgeDiversity","AMO",-4,-0.359017550006203,0.144092774776231,0.0141369047619048,1
25,25,3,"AgeDiversity","AMO",-3,0.0660408111370369,0.151441656429348,0.00085427689594364,1.58877832068213e-05
25,25,3,"AgeDiversity","AMO",-2,0.444767051426655,0.108844128007921,0.00242504409171085,4.35036742987762e-64
25,25,3,"AgeDiversity","AMO",-1,0.662562795823048,0.0860163606265551,5.51146384486501e-06,1.80204602790021e-90
25,25,3,"AgeDiversity","AMO",0,0.446490442818897,0.0764752908385992,5.51146384486501e-06,8.19865133764695e-79
25,25,4,"AgeDiversity","SBT",-4,0.241250436909524,0.11422070435689,0.000396825396825395,9.38335361122935e-39
25,25,4,"AgeDiversity","SBT",-3,-0.368668764079462,0.187979904417751,0.0311507936507937,1
25,25,4,"AgeDiversity","SBT",-2,-0.16454188114713,0.103730724399498,0.00550595238095242,1
25,25,4,"AgeDiversity","SBT",-1,0.10493901745218,0.137437327352448,4.96031746031189e-05,7.18533073997814e-12
25,25,4,"AgeDiversity","SBT",0,0.000235601893807085,0.14546640935315,0.00173611111111116,0.493555187891532
25,25,7,"AgeDiversity","CVofSBT",-4,0.399935403157949,0.127161101548006,0.000396825396825395,1.229485343649e-53
25,25,7,"AgeDiversity","CVofSBT",-3,0.0514004637160571,0.101206638276265,0.000396825396825395,8.94378154454441e-07
25,25,7,"AgeDiversity","CVofSBT",-2,0.0886945294948408,0.10837558840238,0.000396825396825395,4.834842079144e-13
25,25,7,"AgeDiversity","CVofSBT",-1,0.0871977315557258,0.133240759764757,0.00277777777777777,1.33098327889778e-09
25,25,7,"AgeDiversity","CVofSBT",0,0.120784766042062,0.144688210733465,0.00277777777777777,2.14447721040182e-13
25,25,5,"AgeDiversity","SST",-4,-0.106878131496012,0.144676620922816,0.178869047619048,0.999999999975985
25,25,5,"AgeDiversity","SST",-3,-0.20358507687061,0.178940479662954,0.108680555555555,1
25,25,5,"AgeDiversity","SST",-2,-0.133678846153946,0.159718995708519,0.0610119047619047,0.999999999999807
25,25,5,"AgeDiversity","SST",-1,0.101538907834901,0.147809942417001,4.96031746031189e-05,2.87951172535375e-10
25,25,5,"AgeDiversity","SST",0,-0.00888613858179408,0.105374551610778,0.0141369047619047,0.799450620434325
25,25,6,"AgeDiversity","CVofSST",-4,0.232695726794096,0.0900732740754736,0.000396825396825395,4.31365491421624e-46
25,25,6,"AgeDiversity","CVofSST",-3,0.0745747311288674,0.128384573321201,4.96031746031189e-05,3.82637762322584e-08
25,25,6,"AgeDiversity","CVofSST",-2,0.193741764340496,0.0947253146972736,0.000396825396825395,1.25816188467432e-37
25,25,6,"AgeDiversity","CVofSST",-1,0.322483215527781,0.123656297125966,4.96031746031189e-05,1.9079725817006e-46
25,25,6,"AgeDiversity","CVofSST",0,0.379167507486514,0.143013455667484,0.000396825396825395,4.56405079748327e-47
25,25,6,"AgeDiversity","F",-4,0.438934015196028,0.110482273579074,4.96031746031189e-05,6.01924487082962e-63
25,25,6,"AgeDiversity","F",-3,0.328150307781128,0.13379400844382,0.00550595238095242,3.70727820437184e-44
25,25,6,"AgeDiversity","F",-2,0.323773424971798,0.111039257929764,0.00550595238095242,1.07099017429978e-50
25,25,6,"AgeDiversity","F",-1,0.287742082990725,0.093709117441759,0.00173611111111116,1.06118419183656e-52
25,25,6,"AgeDiversity","F",0,0.22543766990131,0.131568404758539,0.000396825396825395,1.11504130830469e-31
25,25,8,"AgeDiversity","CV.CPUE",-4,-0.522154012006595,0.126913285746177,0.561904761904762,1
25,25,8,"AgeDiversity","CV.CPUE",-3,-0.441048180870367,0.148199916124566,0.0301587301587301,1
25,25,8,"AgeDiversity","CV.CPUE",-2,-0.217840454803082,0.114607766334614,0.000396825396825395,1
25,25,8,"AgeDiversity","CV.CPUE",-1,-0.074451248741783,0.121105532370108,0.00277777777777777,0.999999991693616
25,25,8,"AgeDiversity","CV.CPUE",0,0.134214888524193,0.117551846621708,0.00277777777777777,4.56924996746478e-20
25,25,4,"AgeDiversity","Abundance",-4,-0.294678721906042,0.170000251940886,0.548412698412698,1
25,25,4,"AgeDiversity","Abundance",-3,0.19810341877647,0.176341919041321,0.178869047619048,1.13728584145913e-19
25,25,4,"AgeDiversity","Abundance",-2,0.56049510138287,0.0979523531665888,0.0610119047619047,5.6725091454243e-78
25,25,4,"AgeDiversity","Abundance",-1,0.672203914733984,0.0685741948130379,0.0311507936507935,1.05943906752583e-100
25,25,4,"AgeDiversity","Abundance",0,0.667883851467552,0.0794505666432779,0.00173611111111116,3.58116979488801e-94
25,25,3,"AgeDiversity","AMO",-4,-0.359393118196971,0.141175686018236,0.00173611111111111,1
25,25,3,"AgeDiversity","AMO",-3,0.0583772056692234,0.14657665102009,0.00085427689594364,6.50851570314786e-05
25,25,3,"AgeDiversity","AMO",-2,0.454340903261244,0.0965421320394819,5.51146384486501e-06,7.26661670333132e-70
25,25,3,"AgeDiversity","AMO",-1,0.670492893636627,0.0926294448075872,5.51146384486501e-06,7.63219825345946e-88
25,25,3,"AgeDiversity","AMO",0,0.424544363189584,0.112153324429928,0.00588624338624344,5.38227977437906e-61
25,25,4,"AgeDiversity","SBT",-4,0.249206013917249,0.111280451131673,4.96031746031189e-05,7.71746037362325e-41
25,25,4,"AgeDiversity","SBT",-3,-0.328642321840158,0.175222639811285,0.0141369047619048,1
25,25,4,"AgeDiversity","SBT",-2,-0.153532355669193,0.0924343217577219,0.0141369047619047,1
25,25,4,"AgeDiversity","SBT",-1,0.093472059854971,0.131789534585915,0.00173611111111116,9.94387942516771e-11
25,25,4,"AgeDiversity","SBT",0,-0.000562896230109935,0.178009518763067,0.00173611111111116,0.512581296338538
25,25,7,"AgeDiversity","CVofSBT",-4,0.394121883453816,0.106213785096924,0.000396825396825395,3.40824158592224e-60
25,25,7,"AgeDiversity","CVofSBT",-3,0.0728226695582135,0.118833018044162,0.00277777777777777,9.077483145282e-09
25,25,7,"AgeDiversity","CVofSBT",-2,0.0846541069886075,0.118397623973926,0.000396825396825395,7.5483834698294e-11
25,25,7,"AgeDiversity","CVofSBT",-1,0.0721646526071712,0.137146328173749,0.00277777777777777,4.13664794089964e-07
25,25,7,"AgeDiversity","CVofSBT",0,0.0969356246826983,0.139727673416212,0.000396825396825395,2.08524257154011e-10
25,25,5,"AgeDiversity","SST",-4,-0.0905745417892286,0.145011585639174,0.00550595238095242,0.999999994703632
25,25,5,"AgeDiversity","SST",-3,-0.22834897152479,0.191286407315511,0.108680555555555,1
25,25,5,"AgeDiversity","SST",-2,-0.106768189669725,0.153040071469388,0.000396825396825395,0.999999999826846
25,25,5,"AgeDiversity","SST",-1,0.110253817387178,0.13766737565457,4.96031746031189e-05,1.14968681491029e-12
25,25,5,"AgeDiversity","SST",0,-0.0318129873703096,0.102385030754429,0.0610119047619047,0.99876747202066
25,25,6,"AgeDiversity","CVofSST",-4,0.222877532570879,0.0864629222414924,0.00173611111111116,5.21636332797688e-46
25,25,6,"AgeDiversity","CVofSST",-3,0.0918931750259102,0.115562354075319,4.96031746031189e-05,1.52176451691383e-12
25,25,6,"AgeDiversity","CVofSST",-2,0.206797365959366,0.0892994339292204,4.96031746031189e-05,4.73277984616455e-42
25,25,6,"AgeDiversity","CVofSST",-1,0.336309094497842,0.130358012199221,4.96031746031189e-05,4.85190130529529e-46
25,25,6,"AgeDiversity","CVofSST",0,0.37061260034478,0.115762633892949,4.96031746031189e-05,2.47474094222253e-54
25,25,6,"AgeDiversity","F",-4,0.440631340535296,0.119785284786951,4.96031746031189e-05,7.61177600086408e-60
25,25,6,"AgeDiversity","F",-3,0.372292866840199,0.108477697382801,0.000396825396825395,4.45908083088855e-57
25,25,6,"AgeDiversity","F",-2,0.321300952138675,0.0909133456779442,0.00173611111111116,3.03544493579482e-58
25,25,6,"AgeDiversity","F",-1,0.291721958592573,0.119345792070572,0.00550595238095242,4.94897461208737e-44
25,25,6,"AgeDiversity","F",0,0.21401462565481,0.155196344594327,0.000396825396825395,4.44875818780722e-25
25,25,8,"AgeDiversity","CV.CPUE",-4,-0.499572029901851,0.11788141331726,0.772619047619048,1
25,25,8,"AgeDiversity","CV.CPUE",-3,-0.441848176298732,0.130578923315225,0.136111111111111,1
25,25,8,"AgeDiversity","CV.CPUE",-2,-0.240199906951475,0.129167391470916,0.00277777777777777,1
25,25,8,"AgeDiversity","CV.CPUE",-1,-0.0749465754522307,0.129643470605717,0.000396825396825395,0.999999956715676
25,25,8,"AgeDiversity","CV.CPUE",0,0.152762508931238,0.102979129606228,0.000396825396825395,3.33589835375371e-27
25,25,4,"AgeDiversity","Abundance",-4,-0.262748558667843,0.165691907045941,0.275099206349206,1
25,25,4,"AgeDiversity","Abundance",-3,0.198458260872972,0.193475786249602,0.0610119047619047,1.50125683784442e-17
25,25,4,"AgeDiversity","Abundance",-2,0.542834661729898,0.0945322615473867,0.108680555555555,4.04237191895044e-78
25,25,4,"AgeDiversity","Abundance",-1,0.679982984275427,0.0689368469669838,0.00173611111111116,5.75227916380948e-101
25,25,4,"AgeDiversity","Abundance",0,0.659160398123845,0.0869996183026223,0.00173611111111116,8.99681051659679e-90
25,25,3,"AgeDiversity","AMO",-4,-0.340539589648057,0.136679813503161,0.0446152998236332,1
25,25,3,"AgeDiversity","AMO",-3,0.0527317111521742,0.151968245511887,0.0126653439153439,0.000386308658226881
25,25,3,"AgeDiversity","AMO",-2,0.450608745754741,0.0981047668599374,0.00173611111111116,7.2611618681524e-69
25,25,3,"AgeDiversity","AMO",-1,0.648808808264573,0.0892197540309629,5.51146384486501e-06,4.86674596458468e-88
25,25,3,"AgeDiversity","AMO",0,0.44539308064901,0.0774863661445389,0.000242504409171174,3.6747797492234e-78
25,25,4,"AgeDiversity","SBT",-4,0.251206681560273,0.113600505711797,0.00173611111111116,2.19390371969765e-40
25,25,4,"AgeDiversity","SBT",-3,-0.388776890406371,0.177563304929425,0.00550595238095238,1
25,25,4,"AgeDiversity","SBT",-2,-0.17734737013849,0.107069602960536,0.0141369047619047,1
25,25,4,"AgeDiversity","SBT",-1,0.0904659407555598,0.132527557449941,0.00550595238095242,3.53659071905297e-10
25,25,4,"AgeDiversity","SBT",0,-0.00152487093493046,0.157506330696343,0.0141369047619047,0.538464813005859
25,25,7,"AgeDiversity","CVofSBT",-4,0.379106531973914,0.119022350263439,0.000396825396825395,3.92613937070945e-54
25,25,7,"AgeDiversity","CVofSBT",-3,0.0562078166573607,0.117142863760757,0.000396825396825395,2.83362943955763e-06
25,25,7,"AgeDiversity","CVofSBT",-2,0.0927630803759734,0.101286785490511,0.000396825396825395,3.74404123830271e-15
25,25,7,"AgeDiversity","CVofSBT",-1,0.0525917413620815,0.13860514306497,0.0107142857142857,0.000127506225578514
25,25,7,"AgeDiversity","CVofSBT",0,0.0936539987920421,0.161229379601992,0.00277777777777777,3.82562848940562e-08
25,25,5,"AgeDiversity","SST",-4,-0.11715364951789,0.136815142346533,0.548412698412698,0.999999999999926
25,25,5,"AgeDiversity","SST",-3,-0.222002716254126,0.177697740627423,0.548412698412698,1
25,25,5,"AgeDiversity","SST",-2,-0.108769636924687,0.153841010210116,0.00550595238095242,0.999999999889373
25,25,5,"AgeDiversity","SST",-1,0.123802387984441,0.128699970899492,0.000396825396825395,3.70046923314509e-16
25,25,5,"AgeDiversity","SST",0,-0.0173141287248847,0.112290239303505,0.0311507936507935,0.936856855743378
25,25,6,"AgeDiversity","CVofSST",-4,0.219981812856115,0.0837330076166375,0.00173611111111116,1.00795906282543e-46
25,25,6,"AgeDiversity","CVofSST",-3,0.0843728970886058,0.114183633408891,4.96031746031189e-05,2.38008047770186e-11
25,25,6,"AgeDiversity","CVofSST",-2,0.208181391846184,0.0881354645403756,4.96031746031189e-05,8.98128971152727e-43
25,25,6,"AgeDiversity","CVofSST",-1,0.349670817332066,0.125205902820821,4.96031746031189e-05,4.84183744835356e-49
25,25,6,"AgeDiversity","CVofSST",0,0.367005087952616,0.119042045122611,0.000396825396825395,7.39207348447282e-53
25,25,6,"AgeDiversity","F",-4,0.428096025537791,0.129525223487717,4.96031746031189e-05,1.38006479787926e-55
25,25,6,"AgeDiversity","F",-3,0.356918494642172,0.125305561967961,0.00550595238095242,8.51290322593492e-50
25,25,6,"AgeDiversity","F",-2,0.301423406518527,0.106270930673481,0.0610119047619047,1.23655888210922e-49
