"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,5,"AgeDiversity","CV.CPUE",-4,-0.536167416979943,0.122684238126576,0.00173611111111111,1
25,25,5,"AgeDiversity","CV.CPUE",-3,-0.267663842777308,0.143044946655914,1,1
25,25,5,"AgeDiversity","CV.CPUE",-2,0.0549914807007737,0.157152221482518,0.000396825396825395,0.000350408375167838
25,25,5,"AgeDiversity","CV.CPUE",-1,0.130919642154846,0.190944716182519,0.398759920634921,3.06474738444566e-10
25,25,5,"AgeDiversity","CV.CPUE",0,0.195677411316949,0.153258628809273,0.000396825396825395,6.01376035106853e-23
25,25,2,"AgeDiversity","Abundance",-4,-0.170237835268674,0.146224908976779,0.548412698412698,1
25,25,2,"AgeDiversity","Abundance",-3,-0.222270507164905,0.135232418133366,0.275099206349206,1
25,25,2,"AgeDiversity","Abundance",-2,-0.172127249115308,0.188747507320737,0.108680555555555,0.999999999999995
25,25,2,"AgeDiversity","Abundance",-1,-0.1118870392495,0.129101646024986,0.398759920634921,0.999999999999956
25,25,2,"AgeDiversity","Abundance",0,-0.148995480477066,0.146213825422237,0.108680555555556,1
25,25,3,"AgeDiversity","AMO",-4,-0.000111021763175579,0.166462307970894,0.0751763668430334,0.502654008671321
25,25,3,"AgeDiversity","AMO",-3,0.0618150277912333,0.159222793126148,0.000242504409171174,9.33881066090282e-05
25,25,3,"AgeDiversity","AMO",-2,-0.204637610344936,0.12666985290435,0.548412698412698,1
25,25,3,"AgeDiversity","AMO",-1,-0.247297406102809,0.147992569926755,0.00588624338624339,1
25,25,3,"AgeDiversity","AMO",0,-0.525193421375304,0.12457715375815,4.96031746031746e-05,1
25,25,4,"AgeDiversity","SBT",-4,-0.146930605605011,0.169255056568455,0.0610119047619047,0.999999999999959
25,25,4,"AgeDiversity","SBT",-3,-0.228734009627024,0.159794935722355,0.108680555555556,1
25,25,4,"AgeDiversity","SBT",-2,-0.25902285200377,0.139204704354163,0.00550595238095238,1
