"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,2,"AgeDiversity","CV.CPUE",-4,0.250099712534226,0.154559922497081,0.0610119047619047,7.36227306119959e-30
25,25,2,"AgeDiversity","CV.CPUE",-3,0.357626197409847,0.157895319176379,0.000396825396825395,3.0138266029566e-41
25,25,2,"AgeDiversity","CV.CPUE",-2,-0.00125251122453292,0.16617186509691,0.0141369047619047,0.529965553144868
25,25,2,"AgeDiversity","CV.CPUE",-1,0.116734868523167,0.168717239480894,0.904861111111111,2.27713303520761e-10
25,25,2,"AgeDiversity","CV.CPUE",0,0.119294021090814,0.278538814431481,0.548412698412698,2.13838047558664e-05
25,25,2,"AgeDiversity","Abundance",-4,-0.0290034564289939,0.129876932048617,0.0126653439153439,0.986104658144619
25,25,2,"AgeDiversity","Abundance",-3,0.181088750080654,0.183712719688857,0.0311507936507935,1.12094211839975e-16
25,25,2,"AgeDiversity","Abundance",-2,-0.151766352480505,0.14783170645834,0.0610119047619048,1
25,25,2,"AgeDiversity","Abundance",-1,0.168697724117603,0.200458623281988,0.0311507936507935,1.53219560896235e-13
25,25,2,"AgeDiversity","Abundance",0,0.2990120218693,0.142189650874425,0.108680555555555,1.33882538363696e-38
25,25,3,"AgeDiversity","AMO",-4,-0.264748393322389,0.215184359429681,0.00242504409171076,1
25,25,3,"AgeDiversity","AMO",-3,-0.315917448410328,0.171407521863683,0.0126653439153439,1
25,25,3,"AgeDiversity","AMO",-2,-0.449708491253016,0.126673708924693,4.96031746031746e-05,1
25,25,3,"AgeDiversity","AMO",-1,-0.206111795892478,0.123695956121339,0.0141369047619048,1
25,25,3,"AgeDiversity","AMO",0,-0.136193062058263,0.155454043470215,0.1194389329806,0.999999999999973
25,25,4,"AgeDiversity","SBT",-4,0.0882102137636145,0.208625109425081,0.00173611111111116,2.6287473478392e-05
25,25,4,"AgeDiversity","SBT",-3,0.15853190321951,0.121053431559036,0.0311507936507935,1.22938355193713e-23
25,25,4,"AgeDiversity","SBT",-2,0.264586982004846,0.119252263894247,4.96031746031189e-05,1.66516184708359e-40
25,25,4,"AgeDiversity","SBT",-1,0.23464714546632,0.121757833207401,0.000396825396825395,1.40988060843432e-35
25,25,4,"AgeDiversity","SBT",0,-0.0710838336893075,0.218070493060705,0.178869047619048,0.999235202621635
25,25,7,"AgeDiversity","CVofSBT",-4,-0.0666543436260775,0.148913028742534,0.000396825396825395,0.999989818599046
25,25,7,"AgeDiversity","CVofSBT",-3,-0.225864005196562,0.130384983585911,0.069047619047619,1
25,25,7,"AgeDiversity","CVofSBT",-2,-0.000245928587794243,0.121861022499184,0.00277777777777777,0.508030226641965
25,25,7,"AgeDiversity","CVofSBT",-1,-0.0475052416195625,0.0973981082510327,0.381349206349206,0.99999794644616
25,25,7,"AgeDiversity","CVofSBT",0,-0.238799291508836,0.168793439863091,0.772619047619048,1
25,25,5,"AgeDiversity","SST",-4,-0.203046131622461,0.176360359782018,0.548412698412698,1
