"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,5,"AgeDiversity","CV.CPUE",-4,-0.45824894716687,0.142601931482812,0.00173611111111111,1
25,25,5,"AgeDiversity","CV.CPUE",-3,-0.429210775465575,0.128741387320951,0.00173611111111111,1
25,25,5,"AgeDiversity","CV.CPUE",-2,-0.285357598572722,0.126998781593466,0.904861111111111,1
25,25,5,"AgeDiversity","CV.CPUE",-1,-0.0187075934697716,0.122372382290733,0.000396825396825395,0.935241457588495
25,25,5,"AgeDiversity","CV.CPUE",0,0.00264075803838852,0.131325235750864,0.000396825396825395,0.420522200930186
25,25,6,"AgeDiversity","Abundance",-4,-0.216098518832095,0.127466928331349,0.548412698412698,1
25,25,6,"AgeDiversity","Abundance",-3,-0.0945879104187225,0.173328096833457,0.0141369047619047,0.999999820936221
25,25,6,"AgeDiversity","Abundance",-2,-0.259235062273555,0.17164974023951,0.0610119047619047,1
25,25,6,"AgeDiversity","Abundance",-1,0.144369610959481,0.230101682629744,0.00173611111111116,4.65423808781816e-09
25,25,6,"AgeDiversity","Abundance",0,0.267633317422178,0.140399363106618,0.000396825396825395,3.31182454726918e-35
25,25,3,"AgeDiversity","AMO",-4,-0.154152331247952,0.118091880663543,1,1
25,25,3,"AgeDiversity","AMO",-3,-0.420477912288246,0.117308122526612,4.96031746031746e-05,1
25,25,3,"AgeDiversity","AMO",-2,-0.238855074804157,0.113468469466925,0.612202380952381,1
25,25,3,"AgeDiversity","AMO",-1,-0.0413764054235448,0.147056920024709,0.000396825396825395,0.99704543284756
25,25,3,"AgeDiversity","AMO",0,-0.226571442219882,0.147282572725173,0.612202380952381,1
25,25,4,"AgeDiversity","SBT",-4,-0.224108543238836,0.153721675469824,0.178869047619048,1
25,25,4,"AgeDiversity","SBT",-3,-0.353773730671737,0.161894537790075,0.000396825396825397,1
25,25,4,"AgeDiversity","SBT",-2,-0.143650294960699,0.150105364300444,0.398759920634921,1
25,25,4,"AgeDiversity","SBT",-1,-0.202883390585503,0.12916702144959,0.719543650793651,1
25,25,4,"AgeDiversity","SBT",0,-0.083507771720836,0.147095331855309,0.904861111111111,0.999999931468048
25,25,7,"AgeDiversity","CVofSBT",-4,-0.02715680552288,0.120928399880746,0.0107142857142857,0.986526560448751
