"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
25,25,3,"AgeDiversity","CV.CPUE",-4,-0.00173944931079364,0.183801120224261,0.612202380952381,0.537603008470958
25,25,3,"AgeDiversity","CV.CPUE",-3,0.224786169963411,0.165900988473784,0.0126653439153439,1.39731221738892e-24
25,25,3,"AgeDiversity","CV.CPUE",-2,0.0146043685842616,0.0894858229059491,0.1194389329806,0.0529249114063039
25,25,3,"AgeDiversity","CV.CPUE",-1,0.00479993963054905,0.128051829564866,0.00085427689594364,0.354289325113928
25,25,3,"AgeDiversity","CV.CPUE",0,-0.271566283808209,0.115071153308931,0.00242504409171076,1
25,25,2,"AgeDiversity","Abundance",-4,0.0265709174411488,0.189616123181847,0.0141369047619047,0.0821256645362476
25,25,2,"AgeDiversity","Abundance",-3,-0.382563300102639,0.192077815867826,0.00550595238095238,1
25,25,2,"AgeDiversity","Abundance",-2,-0.350707663027732,0.144638840454904,0.0141369047619048,1
25,25,2,"AgeDiversity","Abundance",-1,0.00358981598996847,0.189043431491873,0.275099206349206,0.424890614217081
25,25,2,"AgeDiversity","Abundance",0,0.342541577513899,0.143083836319905,0.00550595238095242,2.8919233345401e-43
25,25,3,"AgeDiversity","AMO",-4,0.179721713723977,0.15387525386054,4.96031746031189e-05,1.24602303611188e-20
25,25,3,"AgeDiversity","AMO",-3,0.0260866932028836,0.155648410595822,0.00173611111111116,0.0484467185738923
25,25,3,"AgeDiversity","AMO",-2,-0.151820406549989,0.152278637342084,0.0446152998236331,1
25,25,3,"AgeDiversity","AMO",-1,-0.354974090479649,0.12665344906143,0.00588624338624339,1
25,25,3,"AgeDiversity","AMO",0,-0.175618427761435,0.135822864556918,0.0751763668430335,1
25,25,4,"AgeDiversity","SBT",-4,0.121681059449354,0.161048753786178,0.000396825396825395,1.06082209245554e-11
25,25,4,"AgeDiversity","SBT",-3,-0.071783660846434,0.0780091996125497,0.00550595238095242,0.999999999999997
25,25,4,"AgeDiversity","SBT",-2,-0.144816202139293,0.106869759423576,0.904861111111111,1
25,25,4,"AgeDiversity","SBT",-1,-0.186822201898889,0.145362692586182,0.0141369047619047,1
25,25,4,"AgeDiversity","SBT",0,-0.0189770110040136,0.214263942599712,4.96031746031189e-05,0.81103291318066
25,25,7,"AgeDiversity","CVofSBT",-4,0.207964095590051,0.162624093392657,0.00277777777777777,5.45142637080746e-23
25,25,7,"AgeDiversity","CVofSBT",-3,-0.07109091819291,0.204675480684553,0.000396825396825395,0.999618063646667
25,25,7,"AgeDiversity","CVofSBT",-2,-0.423010238571801,0.157350268345324,0.0107142857142857,1
25,25,7,"AgeDiversity","CVofSBT",-1,-0.0990329109107197,0.160114691144718,0.000396825396825395,0.999999993000146
25,25,7,"AgeDiversity","CVofSBT",0,-0.00744572940301703,0.184489647431896,0.0107142857142857,0.656305926015327
25,25,5,"AgeDiversity","SST",-4,-0.277787448104266,0.149046356687261,0.904861111111111,1
25,25,5,"AgeDiversity","SST",-3,-0.292623648309983,0.108715819795835,0.0610119047619047,1
25,25,5,"AgeDiversity","SST",-2,-0.311058933566862,0.14653652949521,1,1
25,25,5,"AgeDiversity","SST",-1,-0.232298741546702,0.145089440562013,0.000396825396825395,1
25,25,5,"AgeDiversity","SST",0,-0.0806386073059891,0.145098542960727,0.275099206349206,0.9999998842088
25,25,6,"AgeDiversity","CVofSST",-4,0.143383487684406,0.131318868558541,0.000396825396825395,5.47731605322627e-19
25,25,6,"AgeDiversity","CVofSST",-3,-0.106232639370164,0.200688978005916,0.108680555555555,0.999999638263964
25,25,6,"AgeDiversity","CVofSST",-2,-0.443137997895612,0.117918857955566,0.0311507936507935,1
25,25,6,"AgeDiversity","CVofSST",-1,-0.452988632170609,0.117417838809915,0.178869047619048,1
25,25,6,"AgeDiversity","CVofSST",0,0.182036642962825,0.146917465654857,4.96031746031189e-05,3.77968046763525e-22
25,25,8,"AgeDiversity","F",-4,-0.462288210997763,0.137817713527432,0.238888888888889,1
25,25,8,"AgeDiversity","F",-3,-0.464094438982329,0.149305480452289,0.561904761904762,1
25,25,8,"AgeDiversity","F",-2,-0.424085565645508,0.138323455544108,0.0107142857142857,1
25,25,8,"AgeDiversity","F",-1,-0.241185931152272,0.197809949334822,0.00277777777777777,1
25,25,8,"AgeDiversity","F",0,-0.217036016473609,0.158411073336311,0.0301587301587301,1
25,25,3,"AgeDiversity","CV.CPUE",-4,0.00889541966499987,0.16591247112333,0.0126653439153439,0.296528295551772
25,25,3,"AgeDiversity","CV.CPUE",-3,0.177346025212352,0.211579172333056,0.1194389329806,1.8104505652321e-13
25,25,3,"AgeDiversity","CV.CPUE",-2,0.0208872713367995,0.0995854316890459,0.180180776014109,0.0192517850501237
25,25,3,"AgeDiversity","CV.CPUE",-1,-0.00447261678125431,0.120882157734572,0.00242504409171085,0.6439128686899
25,25,3,"AgeDiversity","CV.CPUE",0,-0.266831056455421,0.109309426935688,0.00588624338624339,1
25,25,2,"AgeDiversity","Abundance",-4,0.0314947087082103,0.18676905578152,0.000396825396825395,0.0474443729397155
25,25,2,"AgeDiversity","Abundance",-3,-0.364379971920414,0.174982189937238,0.275099206349206,1
25,25,2,"AgeDiversity","Abundance",-2,-0.339909631085316,0.141232684700332,0.0311507936507937,1
25,25,2,"AgeDiversity","Abundance",-1,0.0160004084922814,0.166990432729259,0.904861111111111,0.170157303034913
25,25,2,"AgeDiversity","Abundance",0,0.317987531360706,0.166221124958052,0.00588624338624344,2.50697161447588e-35
25,25,3,"AgeDiversity","AMO",-4,0.180374335320194,0.130882699752806,0.000242504409171174,4.63306547698566e-25
25,25,3,"AgeDiversity","AMO",-3,0.0180635747841702,0.163577531643315,0.00085427689594364,0.136073761304699
25,25,3,"AgeDiversity","AMO",-2,-0.179463438797514,0.143329142996756,0.612202380952381,1
25,25,3,"AgeDiversity","AMO",-1,-0.338924753299138,0.115044584225395,0.00242504409171076,1
25,25,3,"AgeDiversity","AMO",0,-0.187600214344212,0.127577229072329,0.180180776014109,1
25,25,4,"AgeDiversity","SBT",-4,0.123257738446562,0.163212863677965,4.96031746031189e-05,1.07948354568213e-11
