"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,4,"CV.CPUE","AgeDiversity",-8,-0.142595674459386,0.113174652870661,0.0001276804193983,1
50,50,4,"CV.CPUE","AgeDiversity",-7,-0.157680824833729,0.100557089771431,0.0133675143234996,1
50,50,4,"CV.CPUE","AgeDiversity",-6,-0.200096518836718,0.10079314225673,0.151333639663086,1
50,50,4,"CV.CPUE","AgeDiversity",-5,-0.206712685095716,0.0942230737814279,0.000628513226241054,1
50,50,4,"CV.CPUE","AgeDiversity",-4,0.0555082890965372,0.109155896903827,5.45407092600314e-07,8.70561897387713e-07
50,50,4,"CV.CPUE","AgeDiversity",-3,0.111755468236289,0.131159375567394,3.71891752570797e-06,9.08642612281459e-14
50,50,4,"CV.CPUE","AgeDiversity",-2,0.190574910952431,0.0857858461324121,6.62542542095856e-06,1.50026789244186e-40
50,50,4,"CV.CPUE","AgeDiversity",-1,0.198231219492113,0.0922183262537619,6.62542542095856e-06,2.24262203740699e-39
50,50,4,"CV.CPUE","AgeDiversity",0,-0.137980650729163,0.150102804987424,0.0630224124872635,0.999999999999997
50,50,3,"CV.CPUE","Abundance",-8,-0.187107303636633,0.0837129244337805,3.20901942447045e-05,1
50,50,3,"CV.CPUE","Abundance",-7,-0.0293387833843091,0.0851147332353125,0.655307580247611,0.999583218574223
50,50,3,"CV.CPUE","Abundance",-6,0.0199134653949144,0.0591349123468228,0.0516768954242628,0.000540782562568255
50,50,3,"CV.CPUE","Abundance",-5,-0.0329187255729861,0.0719036367436835,0.000901334702084089,0.999993174530751
50,50,3,"CV.CPUE","Abundance",-4,-0.0400914410836952,0.104092541732234,0.00600683882392195,0.999895804434725
50,50,3,"CV.CPUE","Abundance",-3,0.310549850729625,0.11704120613081,3.57438545428579e-09,4.26528229292575e-47
50,50,3,"CV.CPUE","Abundance",-2,0.252790495608121,0.127547449473272,5.45407092600314e-07,1.54839502489287e-36
50,50,3,"CV.CPUE","Abundance",-1,0.143712138034093,0.0829844869623104,1.25716599574943e-07,5.04758348465304e-32
50,50,3,"CV.CPUE","Abundance",0,-0.121799351718228,0.0739709373869989,0.000292493771958453,1
50,50,7,"CV.CPUE","AMO",-8,0.254335533374508,0.0828319071091277,0.000336296764708033,1.0638514733557e-52
50,50,7,"CV.CPUE","AMO",-7,0.244771763122335,0.0587094823063352,0.824801238706967,6.63252473298276e-65
50,50,7,"CV.CPUE","AMO",-6,0.198171074680816,0.0618832074821309,0.26504598877832,2.41588946308966e-54
50,50,7,"CV.CPUE","AMO",-5,0.226931636786659,0.0691269320803536,0.00635528422852749,2.55140793908012e-55
