"species","target","tar.lag","count","rho"
"Clupea harengus","CVofSBT",-5,96,0.308780865725509
"Clupea harengus","AMO",0,100,0.202035551741869
"Clupea harengus","AgeDiversity",-1,100,0.180532192475879
"Clupea harengus","Abundance",-1,100,0.0796009526983472
"Gadus morhua","SBT",0,100,0.916731513095764
"Gadus morhua","CVofSBT",0,100,0.773370072101014
"Gadus morhua","AgeDiversity",-4,100,0.623085390715673
"Gadus morhua","Abundance",-8,100,0.463724650298548
"Gadus morhua","AMO",-7,100,0.370506707298848
"Melanogrammus aeglefinus","Abundance",-6,100,0.469830121434077
"Melanogrammus aeglefinus","AMO",-7,100,0.463930825470585
"Melanogrammus aeglefinus","AgeDiversity",-7,100,0.277260603613541
"Melanogrammus aeglefinus","SBT",-4,100,0.230391862064675
"Melanogrammus aeglefinus","CVofSBT",-4,100,0.174282853763348
"Merlangius merlangus","AMO",-4,100,0.532584013487138
"Merlangius merlangus","SBT",-6,100,0.49784206976522
"Merlangius merlangus","CVofSBT",-7,100,0.488608296611638
"Merlangius merlangus","Abundance",-7,100,0.478109440004437
"Merlangius merlangus","AgeDiversity",-8,100,0.155516988357337
"Pleuronectes platessa","SBT",-6,100,0.849631489242069
"Pleuronectes platessa","Abundance",-2,100,0.798517490148211
"Pleuronectes platessa","CVofSBT",-7,100,0.742122062431016
"Pleuronectes platessa","AgeDiversity",-3,100,0.647682536601698
"Pleuronectes platessa","AMO",-1,100,0.467654755511168
"Pollachius virens","SBT",-6,100,0.72665525235945
"Pollachius virens","CVofSBT",-5,100,0.683323893557523
"Pollachius virens","Abundance",-3,100,0.259919732026238
"Pollachius virens","AgeDiversity",-2,99,0.209453294553916
"Pollachius virens","AMO",-1,100,0.195155613181108
"Scomber scombrus","SBT",-1,100,0.995087335428018
"Scomber scombrus","CVofSBT",-3,100,0.816610249028998
"Scomber scombrus","AgeDiversity",-3,100,0.629998710466578
"Scomber scombrus","AMO",-4,100,0.190492407669041
"Scomber scombrus","Abundance",-8,100,0.159826795404262
"Sprattus sprattus","SBT",-3,98,0.592720611346522
"Sprattus sprattus","CVofSBT",-5,100,0.482551568707878
"Sprattus sprattus","Abundance",0,100,0.300951051243531
"Sprattus sprattus","AMO",-1,100,0.194215199709721
"Sprattus sprattus","AgeDiversity",-3,99,0.185797468989831
"Trisopterus esmarkii","AgeDiversity",-4,100,0.393479967103012
"Trisopterus esmarkii","Abundance",-4,100,0.319142385502516
"Trisopterus esmarkii","CVofSBT",0,100,0.304766375358537
"Trisopterus esmarkii","SBT",-2,100,0.183084440646656
