species,target,tar.lag,count,rho
Clupea harengus,CVofSBT,-5,96,0.308369378
Clupea harengus,AMO,0,100,0.200990445
Clupea harengus,AgeDiversity,-1,100,0.179870184
Clupea harengus,Abundance,-1,100,0.082329585
Gadus morhua,SBT,0,100,0.916204597
Gadus morhua,CVofSBT,0,100,0.773971978
Gadus morhua,AgeDiversity,-4,100,0.623018208
Gadus morhua,Abundance,-8,100,0.464303993
Gadus morhua,AMO,-7,100,0.370874705
Melanogrammus aeglefinus,Abundance,-6,100,0.471959877
Melanogrammus aeglefinus,AMO,-7,100,0.464179977
Melanogrammus aeglefinus,AgeDiversity,-7,100,0.27810932
Melanogrammus aeglefinus,SBT,-4,100,0.23203604
Melanogrammus aeglefinus,CVofSBT,-4,100,0.17418347
Merlangius merlangus,AMO,-4,100,0.532670252
Merlangius merlangus,SBT,-6,100,0.497997567
Merlangius merlangus,CVofSBT,-7,100,0.487812782
Merlangius merlangus,Abundance,-7,100,0.477212654
Merlangius merlangus,AgeDiversity,-8,100,0.154513571
Pleuronectes platessa,SBT,-6,100,0.850191806
Pleuronectes platessa,Abundance,-2,100,0.799254295
Pleuronectes platessa,CVofSBT,-7,100,0.741611052
Pleuronectes platessa,AgeDiversity,-3,100,0.6475692
Pleuronectes platessa,AMO,-1,100,0.467354886
Pollachius virens,SBT,-6,96,0.726417034
Pollachius virens,CVofSBT,-5,100,0.68332017
Pollachius virens,Abundance,-3,100,0.260451
Pollachius virens,AgeDiversity,-2,96,0.209734865
Pollachius virens,AMO,-1,100,0.19636824
Scomber scombrus,SST,0,100,0.990126405
Scomber scombrus,CVofSST,-7,100,0.74612451
Scomber scombrus,AgeDiversity,-3,100,0.631428105
Scomber scombrus,AMO,-4,100,0.191132857
Scomber scombrus,Abundance,-8,100,0.161246254
Sprattus sprattus,SST,-4,99,0.6041202
Sprattus sprattus,CVofSST,-1,99,0.115342518
Sprattus sprattus,Abundance,0,100,0.302258327
Sprattus sprattus,AMO,-1,100,0.19349464
Sprattus sprattus,AgeDiversity,-3,99,0.183481774
Trisopterus esmarkii,AgeDiversity,-4,100,0.39191884
Trisopterus esmarkii,Abundance,-4,100,0.319843221
Trisopterus esmarkii,CVofSBT,0,100,0.30346281
Trisopterus esmarkii,SBT,-2,100,0.182957135
