species,target,tar.lag,count,rho
Clupea harengus,CVofSBT,-5,96,0.308780866
Clupea harengus,AMO,0,100,0.202035552
Clupea harengus,AgeDiversity,-1,100,0.180532192
Clupea harengus,Abundance,-1,100,0.079600953
Gadus morhua,SBT,0,100,0.916731513
Gadus morhua,CVofSBT,0,100,0.773370072
Gadus morhua,AgeDiversity,-4,100,0.623085391
Gadus morhua,Abundance,-8,100,0.46372465
Gadus morhua,AMO,-7,100,0.370506707
Melanogrammus aeglefinus,Abundance,-6,100,0.469830121
Melanogrammus aeglefinus,AMO,-7,100,0.463930825
Melanogrammus aeglefinus,AgeDiversity,-7,100,0.277260604
Melanogrammus aeglefinus,SBT,-4,100,0.230391862
Melanogrammus aeglefinus,CVofSBT,-4,100,0.174282854
Merlangius merlangus,AMO,-4,100,0.532584013
Merlangius merlangus,SBT,-6,100,0.49784207
Merlangius merlangus,CVofSBT,-7,100,0.488608297
Merlangius merlangus,Abundance,-7,100,0.47810944
Merlangius merlangus,AgeDiversity,-8,100,0.155516988
Pleuronectes platessa,SBT,-6,100,0.849631489
Pleuronectes platessa,Abundance,-2,100,0.79851749
Pleuronectes platessa,CVofSBT,-7,100,0.742122062
Pleuronectes platessa,AgeDiversity,-3,100,0.647682537
Pleuronectes platessa,AMO,-1,100,0.467654756
Pollachius virens,SBT,-6,100,0.726655252
Pollachius virens,CVofSBT,-5,100,0.683323894
Pollachius virens,Abundance,-3,100,0.259919732
Pollachius virens,AgeDiversity,-2,99,0.209453295
Pollachius virens,AMO,-1,100,0.195155613
Scomber scombrus,SST,0,100,0.990104702
Scomber scombrus,CVofSST,-7,100,0.74632443
Scomber scombrus,AgeDiversity,-3,100,0.62999871
Scomber scombrus,AMO,-4,100,0.190492408
Scomber scombrus,Abundance,-8,100,0.159826795
Sprattus sprattus,SST,-4,100,0.604943137
Sprattus sprattus,CVofSST,-1,99,0.113842127
Sprattus sprattus,Abundance,-4,100,0.30215363
Sprattus sprattus,AMO,-1,100,0.1942152
Sprattus sprattus,AgeDiversity,-3,99,0.185797469
Trisopterus esmarkii,AgeDiversity,-4,100,0.393479967
Trisopterus esmarkii,Abundance,-4,100,0.319142386
Trisopterus esmarkii,CVofSBT,0,100,0.304766375
Trisopterus esmarkii,SBT,-2,100,0.183084441
