"species","target","tar.lag","count","rho"
"Clupea harengus","CVofSST",-5,100,0.263438234930928
"Clupea harengus","AMO",0,100,0.202489691762689
"Clupea harengus","AgeDiversity",-1,100,0.180613363756198
"Clupea harengus","Abundance",-1,100,0.0816139739511521
"Gadus morhua","SST",0,100,0.92178170625797
"Gadus morhua","CVofSST",-7,100,0.634276817192098
"Gadus morhua","AgeDiversity",-4,100,0.623958070889285
"Gadus morhua","Abundance",-8,100,0.462942861450296
"Gadus morhua","AMO",-7,100,0.370511656214266
"Melanogrammus aeglefinus","Abundance",-6,100,0.470052413783748
"Melanogrammus aeglefinus","AMO",-7,100,0.464144296634928
"Melanogrammus aeglefinus","AgeDiversity",-7,100,0.275330851633255
"Melanogrammus aeglefinus","SST",-3,100,0.26767425451889
"Melanogrammus aeglefinus","CVofSST",-3,100,0.159537245276272
"Merlangius merlangus","AMO",-4,100,0.53141425957091
"Merlangius merlangus","SST",-6,100,0.520542850147328
"Merlangius merlangus","Abundance",-7,100,0.476440985748196
"Merlangius merlangus","CVofSST",-6,100,0.374499260643048
"Merlangius merlangus","AgeDiversity",-8,100,0.155961753381778
"Pleuronectes platessa","Abundance",-2,100,0.79923988365843
"Pleuronectes platessa","SST",-5,100,0.777008664999565
"Pleuronectes platessa","CVofSST",-5,100,0.713356695876644
"Pleuronectes platessa","AgeDiversity",-3,100,0.647248583075515
"Pleuronectes platessa","AMO",-1,100,0.467726822592209
"Pollachius virens","SST",-5,100,0.731789630888577
"Pollachius virens","CVofSST",0,97,0.370949159626772
"Pollachius virens","Abundance",-3,100,0.260068150258225
"Pollachius virens","AgeDiversity",-2,97,0.209449063519727
"Pollachius virens","AMO",-1,100,0.195216091653641
"Scomber scombrus","SST",0,100,0.990104701918329
"Scomber scombrus","CVofSST",-7,100,0.746324430277306
"Scomber scombrus","AgeDiversity",-3,100,0.630179588484714
"Scomber scombrus","AMO",-4,100,0.190745304345817
"Scomber scombrus","Abundance",-8,100,0.160015915104246
"Sprattus sprattus","SST",-4,100,0.604943136735941
"Sprattus sprattus","Abundance",-4,100,0.302153629956729
"Sprattus sprattus","AMO",-1,100,0.196951246645237
"Sprattus sprattus","AgeDiversity",-3,100,0.184913548417376
"Sprattus sprattus","CVofSST",-1,99,0.113842127194109
"Trisopterus esmarkii","AgeDiversity",-4,100,0.392503130961113
"Trisopterus esmarkii","Abundance",-4,100,0.320179767745874
"Trisopterus esmarkii","SST",0,100,0.181713353575044
"Trisopterus esmarkii","CVofSST",-1,100,0.170535561318753
