"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,4,"cv","Shannon.age",-8,0.0666900471648581,0.101354576345055,0.26504598877832,1.12752027727592e-09
50,50,4,"cv","Shannon.age",-7,0.147624418468867,0.10217022498137,0.00237216390671047,1.99992141648597e-26
50,50,4,"cv","Shannon.age",-6,0.0339702354078906,0.113886292164847,0.0788206784827414,0.00179807433779079
50,50,4,"cv","Shannon.age",-5,0.000569881976164187,0.123360076890941,0.26504598877832,0.481623294260407
50,50,4,"cv","Shannon.age",-4,-0.0656387019748659,0.134384373161024,0.00013493716455181,0.999998004095621
50,50,4,"cv","Shannon.age",-3,0.0575630331056709,0.100119115038753,0.00859466758633065,4.97817392115656e-08
50,50,4,"cv","Shannon.age",-2,0.112437687863381,0.132243433982054,5.50848431757345e-07,9.95133140998507e-14
50,50,4,"cv","Shannon.age",-1,0.168670412121716,0.131259391248961,5.50848431757345e-07,4.03359977806548e-23
50,50,4,"cv","Shannon.age",0,0.066946242295252,0.101713700527981,8.91848950357321e-06,1.11725077759369e-09
50,50,5,"cv","Total.CPUE",-8,-0.0161087714508136,0.0965982574469508,4.72451181354749e-06,0.950722729358982
50,50,5,"cv","Total.CPUE",-7,-0.145442614143089,0.100871613548769,0.00463914443779179,1
50,50,5,"cv","Total.CPUE",-6,-0.133077740390582,0.0955969650977684,0.625866196387911,1
50,50,5,"cv","Total.CPUE",-5,-0.0432294882127053,0.117653585341197,0.0412617759894029,0.999806389241036
50,50,5,"cv","Total.CPUE",-4,0.0293737454111312,0.0956757288656471,8.91848950357321e-06,0.00138083161455093
50,50,5,"cv","Total.CPUE",-3,-0.0558641670817918,0.0891807069229024,0.894351259969982,0.999999995126659
50,50,5,"cv","Total.CPUE",-2,0.0291348181915276,0.109388887666679,0.000336296764708033,0.0045150942025736
50,50,5,"cv","Total.CPUE",-1,0.070121046922037,0.100504113499011,2.44193725018604e-07,1.72785033982121e-10
