"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,9,"cv","AgeDiversity",-8,0.38062221416793,0.074316174793208,4.72451181354749e-06,2.32138932430187e-73
50,50,9,"cv","AgeDiversity",-7,0.429112909702642,0.0728099250906213,2.41022656499723e-06,3.31167601025898e-79
50,50,9,"cv","AgeDiversity",-6,0.484035635094511,0.0598222329178388,2.41022656499723e-06,1.4894459776351e-92
50,50,9,"cv","AgeDiversity",-5,0.531840218718386,0.0682421521891034,2.44193725018604e-07,5.76345832303445e-91
50,50,9,"cv","AgeDiversity",-4,0.613447958338133,0.0548289571770751,4.72556482833397e-09,2.45618611523317e-106
50,50,9,"cv","AgeDiversity",-3,0.514613740891075,0.0501354470186215,5.50848431757345e-07,1.1602703166172e-102
50,50,9,"cv","AgeDiversity",-2,0.505022132357588,0.0594460604511233,2.41022656499723e-06,1.27765135628712e-94
50,50,9,"cv","AgeDiversity",-1,0.368648971729096,0.0787477171606302,4.94106357484814e-05,1.19778694881284e-69
50,50,9,"cv","AgeDiversity",0,0.256511021667924,0.101626674721034,0.824801238706967,3.1895931118659e-45
50,50,6,"cv","Abundance",-8,0.455969939258338,0.0828985662394244,1.43717926448517e-08,2.52378815763545e-76
50,50,6,"cv","Abundance",-7,0.300189049167281,0.0826339437341324,8.91848950357321e-06,2.41465467353213e-59
50,50,6,"cv","Abundance",-6,0.3168791755198,0.093781872477628,1.17934845844658e-06,1.85023544827148e-56
50,50,6,"cv","Abundance",-5,0.216595818492918,0.0864457570960787,0.26504598877832,5.989443095834e-45
50,50,6,"cv","Abundance",-4,0.316471753983037,0.0888113753944175,0.000134937164551818,1.42296949110476e-58
50,50,6,"cv","Abundance",-3,0.31189382935551,0.0855320053466791,2.44193725018604e-07,1.70416258634269e-59
50,50,6,"cv","Abundance",-2,0.383093206316695,0.104514447332111,1.2904566304428e-11,1.05674600821592e-59
50,50,6,"cv","Abundance",-1,0.318888876124707,0.105324345982567,4.72556482833397e-09,3.74217246956656e-52
50,50,6,"cv","Abundance",0,0.409827666611705,0.101322385038299,4.72556482833397e-09,1.12906209784134e-63
50,50,6,"cv","AMO",-8,0.36377666360166,0.107505199092476,1.52944323872362e-12,1.6207879040726e-56
50,50,6,"cv","AMO",-7,0.375431206287356,0.0983843556590498,3.5587999214215e-10,2.55319285078545e-61
50,50,6,"cv","AMO",-6,0.29555346427381,0.0915721060094352,1.43717926448517e-08,1.18883258886249e-54
50,50,6,"cv","AMO",-5,0.281846047209599,0.0833325464474117,4.72556482833397e-09,1.69317377404734e-56
50,50,6,"cv","AMO",-4,0.121501879157582,0.093368725472715,0.000134937164551818,1.83392374796117e-23
50,50,6,"cv","AMO",-3,0.217010918941826,0.0994578159818589,2.41022656499723e-06,6.59631863782263e-40
50,50,6,"cv","AMO",-2,0.178596465988192,0.100391117063767,1.17934845844658e-06,6.68556155502932e-33
50,50,6,"cv","AMO",-1,0.30163146793728,0.0691698421874079,4.72451181354749e-06,9.75608496484201e-67
