"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,9,"cv","AgeDiversity",-8,0.389248030406604,0.061578966212467,8.91848950357321e-06,3.85820445684241e-82
50,50,9,"cv","AgeDiversity",-7,0.430468605423839,0.0616704686085237,5.50848431757345e-07,2.60150293872279e-86
50,50,9,"cv","AgeDiversity",-6,0.480127782626565,0.0579281979489604,8.26619198137646e-05,1.4228928544894e-93
50,50,9,"cv","AgeDiversity",-5,0.537044808950797,0.0549793624414653,4.72451181354749e-06,1.49610461130996e-100
50,50,9,"cv","AgeDiversity",-4,0.622713091674815,0.0428117827712597,4.72556482833397e-09,1.5025460104646e-117
50,50,9,"cv","AgeDiversity",-3,0.51157778519013,0.0504051842180297,1.43717926448517e-08,3.50864400240294e-102
50,50,9,"cv","AgeDiversity",-2,0.505140162519995,0.0545281124087987,4.72556482833397e-09,2.68814070387016e-98
50,50,9,"cv","AgeDiversity",-1,0.382072476066848,0.0770313511214427,0.000215302430799813,4.94124378090579e-72
50,50,9,"cv","AgeDiversity",0,0.242228056108493,0.107448041449881,0.625866196387911,4.44749715021259e-41
50,50,6,"cv","Abundance",-8,0.469602180692893,0.0902759891743934,5.50848431757345e-07,5.26604004439794e-74
50,50,6,"cv","Abundance",-7,0.266295820840749,0.0972537388034788,0.0197806317594083,2.73981343552344e-48
50,50,6,"cv","Abundance",-6,0.315881617261817,0.0935798347726649,0.00635528422852749,2.026183241014e-56
50,50,6,"cv","Abundance",-5,0.210061240737139,0.0875408624673361,0.505644437997331,2.3743708380061e-43
50,50,6,"cv","Abundance",-4,0.32725878727492,0.0719579534656264,0.00114261804195204,1.85075862827716e-68
50,50,6,"cv","Abundance",-3,0.309628063635652,0.0994413848837724,4.72451181354749e-06,3.03628119662229e-53
50,50,6,"cv","Abundance",-2,0.37254496722999,0.0938896472973423,4.72556482833397e-09,6.76706176482027e-63
50,50,6,"cv","Abundance",-1,0.307417571034649,0.104725050150217,3.5587999214215e-10,5.90146511551777e-51
50,50,6,"cv","Abundance",0,0.405212200197404,0.0882514762452473,7.63760166222482e-11,7.5006634785069e-69
50,50,6,"cv","AMO",-8,0.368106056471584,0.108945947986716,1.2904566304428e-11,1.85526059848549e-56
50,50,6,"cv","AMO",-7,0.353096928584479,0.100258745355067,1.17934845844658e-06,4.17882920542963e-58
50,50,6,"cv","AMO",-6,0.302818898782532,0.0973250953446892,1.2904566304428e-11,3.2408997491955e-53
50,50,6,"cv","AMO",-5,0.264754994942969,0.0992802984920772,3.98309214499903e-08,2.75177217868407e-47
50,50,6,"cv","AMO",-4,0.118830748167718,0.102257056625176,4.72556482833397e-09,1.66780374892866e-20
50,50,6,"cv","AMO",-3,0.200768749990063,0.126061167987285,0.000773831095311373,2.30407336305267e-29
50,50,6,"cv","AMO",-2,0.156124526989741,0.106460121218891,8.26619198137646e-05,7.30776778340048e-27
50,50,6,"cv","AMO",-1,0.308313239483387,0.0789880894177562,8.91848950357321e-06,3.12117922340855e-62
50,50,6,"cv","AMO",0,0.278241341384405,0.073057617495451,0.116047433028545,3.06020299501787e-61
50,50,9,"cv","SST",-8,0.886691929750776,0.0266796658681802,1.52944323872362e-12,5.36073705131544e-153
50,50,9,"cv","SST",-7,0.886131869198297,0.0254513471521629,7.63760166222482e-11,5.39003177605548e-155
50,50,9,"cv","SST",-6,0.894554315438396,0.0228567101964449,1.52944323872362e-12,5.07550459630867e-160
50,50,9,"cv","SST",-5,0.893514644915275,0.0248183826136286,3.5587999214215e-10,1.9642426050311e-156
50,50,9,"cv","SST",-4,0.890199238426385,0.0248605168598401,1.2904566304428e-11,3.35568056162421e-156
50,50,9,"cv","SST",-3,0.890602807021971,0.0236379749573367,1.52944323872362e-12,2.18672200871548e-158
50,50,9,"cv","SST",-2,0.898556514257182,0.0221668682940112,1.2904566304428e-11,1.57345123315989e-161
50,50,9,"cv","SST",-1,0.899106935166959,0.0262798787698238,3.5587999214215e-10,3.04321216710979e-154
50,50,9,"cv","SST",0,0.921676510251765,0.0228064396294946,9.54791801177635e-14,2.12548467513998e-161
50,50,4,"cv","CVofSST",-8,0.607022023351933,0.0508558222757591,0.000514926454439069,4.2563150207807e-109
50,50,4,"cv","CVofSST",-7,0.649208267168302,0.0634287792637845,3.5587999214215e-10,1.53485252684793e-102
50,50,4,"cv","CVofSST",-6,0.598459117924835,0.0620033341331693,0.000215302430799813,4.82637093855277e-100
50,50,4,"cv","CVofSST",-5,0.558287975687559,0.0693555312629737,0.000336296764708033,2.46182904831048e-92
50,50,4,"cv","CVofSST",-4,0.394840912755225,0.121210498224122,0.00859466758633065,5.15280087125322e-55
50,50,4,"cv","CVofSST",-3,0.529261658317339,0.0596831336419442,5.50848431757345e-07,1.93014588578484e-96
50,50,4,"cv","CVofSST",-2,0.560140751168989,0.0707040289376944,1.52944323872362e-12,1.16513026002542e-91
50,50,4,"cv","CVofSST",-1,0.627964870352877,0.0615069175135769,1.02027024606599e-07,1.96160350611168e-102
50,50,4,"cv","CVofSST",0,0.406858630891713,0.170223829429713,0.625866196387911,3.3138071403081e-43
50,50,9,"cv","AgeDiversity",-8,0.395423379211945,0.080911283035783,1.62687221838542e-05,2.01928077761922e-71
50,50,9,"cv","AgeDiversity",-7,0.434786118711264,0.0586762083667735,2.44193725018604e-07,7.83488131972085e-89
50,50,9,"cv","AgeDiversity",-6,0.481929909163379,0.0608468748892746,0.000514926454439069,1.19355949228281e-91
50,50,9,"cv","AgeDiversity",-5,0.531689414279521,0.0673862302524696,0.000336296764708033,1.73190782252272e-91
50,50,9,"cv","AgeDiversity",-4,0.625971065703335,0.0417588248392182,7.63760166222482e-11,7.71924515820482e-119
50,50,9,"cv","AgeDiversity",-3,0.524080835669854,0.0590595531250016,5.50848431757345e-07,1.80842750657311e-96
50,50,9,"cv","AgeDiversity",-2,0.494386230863759,0.0561274539042283,1.17934845844658e-06,3.73120933325743e-96
50,50,9,"cv","AgeDiversity",-1,0.365975117072487,0.0733967615225208,0.000773831095311373,2.98644274788269e-72
50,50,9,"cv","AgeDiversity",0,0.244769589031642,0.120614720407298,0.75655502544518,2.35589282778888e-37
50,50,6,"cv","Abundance",-8,0.479006020204145,0.0832675154538619,4.72451181354749e-06,3.40289393555775e-78
50,50,6,"cv","Abundance",-7,0.278816612489261,0.087808944365723,0.000134937164551818,5.20085901408082e-54
50,50,6,"cv","Abundance",-6,0.312824794987538,0.0911762609768646,0.00463914443779179,4.57781166241091e-57
50,50,6,"cv","Abundance",-5,0.216206195363027,0.0861072680151255,0.75655502544518,4.99346433581461e-45
50,50,6,"cv","Abundance",-4,0.321563217134037,0.0770367470500243,0.000336296764708033,5.93440151207708e-65
50,50,6,"cv","Abundance",-3,0.316251058820657,0.100730049547371,2.41022656499723e-06,1.44016317041166e-53
50,50,6,"cv","Abundance",-2,0.395218360901862,0.0816450452896597,1.2904566304428e-11,5.00408470967385e-71
50,50,6,"cv","Abundance",-1,0.317701143031919,0.0957915429805082,7.63760166222482e-11,1.00726976795641e-55
50,50,6,"cv","Abundance",0,0.412199496868355,0.0945166598911883,1.52944323872362e-12,9.67346790228144e-67
50,50,6,"cv","AMO",-8,0.374226867619331,0.102598439083188,7.63760166222482e-11,1.66267395868155e-59
50,50,6,"cv","AMO",-7,0.362235505780555,0.0853703785729051,3.98309214499903e-08,1.27607749769357e-65
50,50,6,"cv","AMO",-6,0.310977996583174,0.0968889112890226,7.63760166222482e-11,1.96680472589841e-54
