"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,4,"cv","Shannon.age",-8,-0.00200376624154356,0.135036602944386,0.000514926454439069,0.558830367563084
50,50,4,"cv","Shannon.age",-7,0.28226697604852,0.0999535148437635,1.43717926448517e-08,1.81916040519886e-49
50,50,4,"cv","Shannon.age",-6,0.194761580509846,0.0924909063735208,0.00237216390671047,1.20060687431988e-38
50,50,4,"cv","Shannon.age",-5,0.19276806648318,0.0977375251568444,2.8762465771548e-05,2.27712576097688e-36
50,50,4,"cv","Shannon.age",-4,0.174326350446675,0.114150615188868,0.75655502544518,4.46944433800158e-28
50,50,4,"cv","Shannon.age",-3,0.179830967844244,0.103647619633865,0.0326257135943189,4.39212822367247e-32
50,50,4,"cv","Shannon.age",-2,0.181344155045541,0.103419545163946,0.000134937164551818,1.98746258222063e-32
50,50,4,"cv","Shannon.age",-1,0.0749835628120005,0.0922065936506769,0.0788206784827414,6.24959846002437e-13
50,50,4,"cv","Shannon.age",0,-0.310092467227029,0.0872828891225087,7.63760477715504e-11,1
50,50,8,"cv","Total.CPUE",-8,0.379165418916236,0.0712063346216999,2.41022656499723e-06,5.63319305096107e-75
50,50,8,"cv","Total.CPUE",-7,0.450019562601633,0.0822294994838823,1.38948963446239e-09,4.08875489390434e-76
50,50,8,"cv","Total.CPUE",-6,0.474732816812855,0.0661490000942926,1.2904566304428e-11,1.75399241822472e-87
50,50,8,"cv","Total.CPUE",-5,0.358593531372685,0.0650073885998931,0.824801238706967,1.91479759880251e-76
50,50,8,"cv","Total.CPUE",-4,0.301898089015965,0.0603768598255738,0.0516768954242628,2.28770605041123e-72
50,50,8,"cv","Total.CPUE",-3,0.360802140032842,0.0867061810414496,0.824801238706967,7.94023767747225e-65
50,50,8,"cv","Total.CPUE",-2,0.285996673229456,0.0858334333684448,1,6.60834122718604e-56
50,50,8,"cv","Total.CPUE",-1,0.291918010704837,0.0603927363066178,0.56426737864644,5.74502507142223e-71
50,50,8,"cv","Total.CPUE",0,0.218791812198165,0.0705054239268297,0.0197806317594083,4.11146341323181e-53
50,50,6,"cv","AMO",-8,0.406209240165407,0.0630240052037377,0.69009504051413,5.88176745280126e-83
50,50,6,"cv","AMO",-7,0.462083371724381,0.0414184630997643,2.41022656499723e-06,3.25237248639493e-106
50,50,6,"cv","AMO",-6,0.41212387823229,0.0647060333994696,7.63760166222482e-11,1.8557284891956e-82
50,50,6,"cv","AMO",-5,0.41693297055171,0.048360315814855,1.43717926448517e-08,3.03513128307538e-95
50,50,6,"cv","AMO",-4,0.362593086981131,0.0612044671577922,7.63760166222482e-11,2.00843886355519e-79
50,50,6,"cv","AMO",-3,0.186119783438427,0.0884145174232536,0.0255375408438456,1.23132872656015e-38
50,50,6,"cv","AMO",-2,0.0518928146481189,0.117377448493259,0.26504598877832,1.26028057252691e-05
50,50,6,"cv","AMO",-1,0.0542171001308017,0.0990624127126311,0.350195287197447,1.67179848686004e-07
50,50,6,"cv","AMO",0,0.131515839033042,0.0742259342610348,2.41022656499723e-06,9.0735873846963e-33
50,50,9,"cv","MeanSST",-8,0.250456706024273,0.0931138217271938,3.5587999214215e-10,1.30028524907603e-47
50,50,9,"cv","MeanSST",-7,0.268286029632883,0.0971583535532237,1.38948963446239e-09,1.30896846908211e-48
50,50,9,"cv","MeanSST",-6,0.24589306268879,0.0844329939115349,1.38948963446239e-09,1.19366104161544e-50
50,50,9,"cv","MeanSST",-5,0.248640848019561,0.0929666706331381,1.2904566304428e-11,2.13583956360976e-47
50,50,9,"cv","MeanSST",-4,0.255440676068597,0.0925477835378043,3.5587999214215e-10,1.36125160590065e-48
50,50,9,"cv","MeanSST",-3,0.273708138463089,0.0901138417954872,1.2904566304428e-11,2.81286663645995e-52
50,50,9,"cv","MeanSST",-2,0.20080779725055,0.104055383425329,1.43717926448517e-08,1.26570080005605e-35
50,50,9,"cv","MeanSST",-1,0.242161223730806,0.101040472081642,1.2904566304428e-11,2.6305058042411e-43
50,50,9,"cv","MeanSST",0,0.194898759509046,0.102556408149287,7.63760166222482e-11,4.20396697036088e-35
50,50,4,"cv","CVofSST",-8,0.132424349402519,0.104607258609338,1.17934845844658e-06,1.01922506936208e-22
50,50,4,"cv","CVofSST",-7,-0.0276076579602518,0.129528872310675,0.0412617759894029,0.982233597161271
50,50,4,"cv","CVofSST",-6,-0.00246967856763184,0.111220676005398,0.305726548153443,0.587634628128843
50,50,4,"cv","CVofSST",-5,0.089142702491,0.119132597114025,0.000773831095311373,1.51252303068632e-11
50,50,4,"cv","CVofSST",-4,0.074239571118405,0.12911142394156,0.116047433028545,4.96530518235782e-08
50,50,4,"cv","CVofSST",-3,0.172360177963711,0.11947828147083,1.62687221838542e-05,2.22466402539097e-26
50,50,4,"cv","CVofSST",-2,-0.0362174998311073,0.116509102826051,0.450284886272046,0.998772638111817
50,50,4,"cv","CVofSST",-1,-0.103756117651397,0.128010398239304,0.75655502544518,0.999999999999286
50,50,4,"cv","CVofSST",0,-0.247290181137815,0.104654668516992,1.17934845840765e-06,1
50,50,4,"cv","Shannon.age",-8,0.040935347027591,0.154813370561962,5.50848431757345e-07,0.00476161428755293
50,50,4,"cv","Shannon.age",-7,0.27840492764417,0.0845911526082028,7.63760166222482e-11,2.0255737357137e-55
50,50,4,"cv","Shannon.age",-6,0.194026494037673,0.100869645006116,0.000514926454439069,1.6339904046807e-35
