"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,6,"cv","AgeDiversity",-8,0.151290639599083,0.0827551949867976,3.5587999214215e-10,8.39260027551222e-34
50,50,6,"cv","AgeDiversity",-7,0.105301986334553,0.0716655205486801,3.98309214499903e-08,6.40327415569888e-27
50,50,6,"cv","AgeDiversity",-6,0.120223620662808,0.0972648018730203,1.2904566304428e-11,4.37592107777996e-22
50,50,6,"cv","AgeDiversity",-5,0.0894278291951541,0.119558216314685,1.02027024606599e-07,1.5331683957452e-11
50,50,6,"cv","AgeDiversity",-4,-0.0420468692575805,0.116090026088651,2.44193725018604e-07,0.999768319062919
50,50,6,"cv","AgeDiversity",-3,-0.00943758037377438,0.119364861706482,2.8762465771548e-05,0.78448082968072
50,50,6,"cv","AgeDiversity",-2,-0.138594319260013,0.113029936896878,0.00635528422852749,1
50,50,6,"cv","AgeDiversity",-1,-0.0537658522248592,0.0908666177434693,4.72451181354749e-06,0.999999976420467
50,50,6,"cv","AgeDiversity",0,-0.108294369471783,0.11911324051676,0.00334096185825072,0.999999999999995
50,50,8,"cv","Abundance",-8,0.425958975646028,0.066750916775434,1.2904566304428e-11,1.54353661040819e-82
50,50,8,"cv","Abundance",-7,0.48339465560779,0.0472235740258652,9.54791801177635e-14,1.51922881022849e-102
50,50,8,"cv","Abundance",-6,0.34418179796021,0.0547283672534599,1.38948963446239e-09,6.32040113500077e-82
50,50,8,"cv","Abundance",-5,0.425549577684788,0.0614213771650391,1.52944323872362e-12,5.35789721746526e-86
50,50,8,"cv","Abundance",-4,0.180608872542399,0.101728460562765,2.44193725018604e-07,7.79372149251862e-33
50,50,8,"cv","Abundance",-3,0.2318090860157,0.11139459554725,1.2904566304428e-11,3.12779584142029e-38
50,50,8,"cv","Abundance",-2,0.000250301895375961,0.136573762193212,0.000215302430799813,0.492707344654515
50,50,8,"cv","Abundance",-1,-0.0510844172715643,0.118038494995363,0.0114805970670178,0.999981973857702
50,50,8,"cv","Abundance",0,-0.175782086736531,0.108350243055696,0.450284886272046,1
50,50,6,"cv","AMO",-8,0.230737126903996,0.0791941071605485,1.38948963446239e-09,1.14807486682749e-50
50,50,6,"cv","AMO",-7,0.29742158854564,0.0589823553858834,1.2904566304428e-11,1.02462125253607e-72
50,50,6,"cv","AMO",-6,0.371381357974729,0.0625171966897237,4.72556482833397e-09,1.54453659057085e-79
50,50,6,"cv","AMO",-5,0.379926944861266,0.0729506768511403,7.63760166222482e-11,4.70411073510315e-74
50,50,6,"cv","AMO",-4,0.527963700538068,0.0788013631446654,9.54791801177635e-14,1.38246527062927e-84
50,50,6,"cv","AMO",-3,0.385933120068227,0.0663076627257333,1.52944323872362e-12,1.10393583713184e-78
50,50,6,"cv","AMO",-2,0.425854223914991,0.0602933475252587,9.54791801177635e-14,8.27013590721203e-87
50,50,6,"cv","AMO",-1,0.390365945897232,0.0932207310551009,1.2904566304428e-11,4.3951860110912e-65
50,50,6,"cv","AMO",0,0.412406271327918,0.0577898844915588,1.52944323872362e-12,3.03577750070699e-87
50,50,9,"cv","SBT",-8,0.488927416125149,0.0859040984288586,3.98309214499903e-08,9.49216749703596e-78
50,50,9,"cv","SBT",-7,0.486162261067313,0.0959205403439821,1.02027024606599e-07,6.29462424050811e-73
50,50,9,"cv","SBT",-6,0.517849638147779,0.0803034517551449,1.43717926448517e-08,5.59347417206458e-83
50,50,9,"cv","SBT",-5,0.505504395903969,0.0823807847639048,2.44193725018604e-07,6.78468230628528e-81
