"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,6,"cv","AgeDiversity",-8,0.165182716479304,0.0918123916292899,3.5587999214215e-10,2.8483461702856e-33
50,50,6,"cv","AgeDiversity",-7,0.0934884071320624,0.0858485532225102,3.98309214499903e-08,6.32478547154035e-19
50,50,6,"cv","AgeDiversity",-6,0.10909872400276,0.0982932732067353,7.63760166222482e-11,2.2248859590289e-19
50,50,6,"cv","AgeDiversity",-5,0.0613524130976343,0.116343013606046,2.8762465771548e-05,3.93869404785994e-07
50,50,6,"cv","AgeDiversity",-4,-0.0307658699230074,0.0927585621461399,5.50848431757345e-07,0.999362875921042
50,50,6,"cv","AgeDiversity",-3,-0.0258555035141676,0.105180336894581,1.17934845844658e-06,0.992149863481102
50,50,6,"cv","AgeDiversity",-2,-0.0958016135178495,0.114187353272734,0.000773831095311373,0.999999999999826
50,50,6,"cv","AgeDiversity",-1,-0.0566988321188626,0.0896577484786485,2.8762465771548e-05,0.999999996298414
50,50,6,"cv","AgeDiversity",0,-0.0989078235073528,0.109060160549934,0.0326257135943189,0.999999999999994
50,50,8,"cv","Abundance",-8,0.425813443929259,0.0603651642454972,3.5587999214215e-10,9.37012333598688e-87
50,50,8,"cv","Abundance",-7,0.488398905153096,0.0486501714231291,1.52944323872362e-12,1.02454889712657e-101
50,50,8,"cv","Abundance",-6,0.358799610466736,0.0659323518332084,3.5587999214215e-10,7.02180245641419e-76
50,50,8,"cv","Abundance",-5,0.432775772979328,0.0649918892977318,1.52944323872362e-12,2.50593085940463e-84
50,50,8,"cv","Abundance",-4,0.18945561893991,0.0988227244198829,2.44193725018604e-07,2.12181517301499e-35
50,50,8,"cv","Abundance",-3,0.233041867206571,0.0968013582026053,1.38948963446239e-09,1.80116426455186e-43
50,50,8,"cv","Abundance",-2,-0.0341867643261668,0.156431873876842,0.000215302430799813,0.984391417129575
50,50,8,"cv","Abundance",-1,-0.0854667209662362,0.123648705784213,0.139049963024319,0.999999999764685
50,50,8,"cv","Abundance",0,-0.176850594259613,0.107898049789719,0.305726548153443,1
50,50,6,"cv","AMO",-8,0.220331430752725,0.0721312576651942,4.72556482833397e-09,1.69492379210916e-52
50,50,6,"cv","AMO",-7,0.29549123725378,0.0579478162350361,3.5587999214215e-10,3.52660112841784e-73
