"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,4,"cv","AgeDiversity",-8,-0.306124595012118,0.107459719027582,4.72451181363218e-06,1
50,50,4,"cv","AgeDiversity",-7,-0.0812100301600968,0.176480828628533,0.305726548153443,0.999993778283219
50,50,4,"cv","AgeDiversity",-6,-0.00949473100737985,0.107386777040548,0.505644437997331,0.810624512544465
50,50,4,"cv","AgeDiversity",-5,0.0404905828932061,0.0898154683748609,1.17934845844658e-06,8.98237614602655e-06
50,50,4,"cv","AgeDiversity",-4,-0.135045169911535,0.110580219616216,4.9410635748578e-05,1
50,50,4,"cv","AgeDiversity",-3,0.161031133850442,0.0901324110678809,0.00114261804195204,4.84128661148171e-33
50,50,4,"cv","AgeDiversity",-2,0.209920247779096,0.0857827907807902,0.00463914443779179,4.49410287132314e-44
50,50,4,"cv","AgeDiversity",-1,0.0592685278246901,0.101997065997247,0.0788206784827414,3.79062832936878e-08
50,50,4,"cv","AgeDiversity",0,0.145129173903597,0.0872045713045316,0.69009504051413,9.56657829702333e-31
50,50,5,"cv","Abundance",-8,-0.0423847138983576,0.076271629830944,0.00635528422852745,0.999999883990489
50,50,5,"cv","Abundance",-7,0.06249274812834,0.112775519273055,0.26504598877832,1.24247712904193e-07
50,50,5,"cv","Abundance",-6,0.01254517513863,0.0974703426458778,0.0641134326023778,0.100534453470365
50,50,5,"cv","Abundance",-5,0.13594044909896,0.0875117995747896,4.72451181354749e-06,1.35342866026212e-28
50,50,5,"cv","Abundance",-4,0.213465989283201,0.139470165218405,4.72451181354749e-06,3.82852921140476e-28
50,50,5,"cv","Abundance",-3,0.247966590410273,0.113073934751469,1.43717926448517e-08,4.35971184756371e-40
50,50,5,"cv","Abundance",-2,0.138757069640391,0.10811047782047,0.00463914443779179,4.3463582676841e-23
50,50,5,"cv","Abundance",-1,0.00174668577932852,0.102200722006098,0.824801238706967,0.432322705567448
50,50,5,"cv","Abundance",0,0.127040048043675,0.115771012462868,0.305726548153443,4.16919357797367e-19
50,50,6,"cv","AMO",-8,0.0617890296338959,0.0970436018954142,4.72556482833397e-09,3.03207930743598e-09
50,50,6,"cv","AMO",-7,0.0685432564565828,0.0977607736731227,3.98309214499903e-08,1.4663473114084e-10
50,50,6,"cv","AMO",-6,0.174244321037726,0.0762634799241095,1.2904566304428e-11,1.459616060807e-41
50,50,6,"cv","AMO",-5,0.173060761101804,0.0721985892107359,3.98309214499903e-08,2.59960762899931e-43
50,50,6,"cv","AMO",-4,0.109594707670995,0.103779473624541,1.02027024606599e-07,3.28894315010921e-18
50,50,6,"cv","AMO",-3,0.12472379309714,0.103068228765588,8.26619198137646e-05,1.56042987169124e-21
50,50,6,"cv","AMO",-2,-0.109879725206294,0.114181529099718,0.305726548153443,1
50,50,6,"cv","AMO",-1,0.197358292988039,0.0931963182335344,1.17934845844658e-06,7.59083910685117e-39
50,50,6,"cv","AMO",0,-0.0544449569335115,0.131236374278736,0.450284886272046,0.999964605340829
50,50,9,"cv","SBT",-8,0.708337465014071,0.0575633118843317,0.26504598877832,2.12755702587744e-110
50,50,9,"cv","SBT",-7,0.708315011423058,0.0513438672088358,0.139049963024319,2.76347400244922e-115
50,50,9,"cv","SBT",-6,0.726601908582242,0.0534766574813963,0.0114805970670178,1.2359669008022e-114
50,50,9,"cv","SBT",-5,0.723008166850572,0.0509984016556355,0.00635528422852749,1.88051732371268e-116
50,50,9,"cv","SBT",-4,0.707759621315217,0.0577243164735166,0.0151553436376983,3.03429556545876e-110
50,50,9,"cv","SBT",-3,0.704982711908097,0.0501696585418803,0.000215302430799813,4.50291597550245e-116
50,50,9,"cv","SBT",-2,0.687401595516075,0.0552108980837906,0.139049963024319,6.71503355346504e-111
50,50,9,"cv","SBT",-1,0.688273876096041,0.0522075111364914,0.116047433028545,2.41123922733469e-113
50,50,9,"cv","SBT",0,0.679852663551085,0.0587395242839706,0.0151553436376983,8.79550206948518e-108
50,50,9,"cv","CVofSBT",-8,0.599998832994777,0.0497949560632832,1.17934845844658e-06,1.68172462273965e-109
50,50,9,"cv","CVofSBT",-7,0.629750923095405,0.0414178340680132,4.72451181354749e-06,1.90030984817374e-119
50,50,9,"cv","CVofSBT",-6,0.637727329248699,0.0524174482986748,8.26619198137646e-05,6.5057382631517e-110
50,50,9,"cv","CVofSBT",-5,0.68251055862204,0.0484448208805969,2.41022656499723e-06,3.48897041958813e-116
50,50,9,"cv","CVofSBT",-4,0.62182216034708,0.0536053391009058,0.00114261804195204,7.05596074762523e-108
50,50,9,"cv","CVofSBT",-3,0.603486256232991,0.0637925527634005,0.00334096185825072,3.45089936427822e-99
50,50,9,"cv","CVofSBT",-2,0.55246003644414,0.0637263247369557,0.625866196387911,1.76675186236227e-95
50,50,9,"cv","CVofSBT",-1,0.505736304614,0.085006773108917,0.894351259969982,1.33716398166697e-79
50,50,9,"cv","CVofSBT",0,0.503188109396869,0.0705229047064888,0.305726548153443,3.0859249328367e-87
50,50,4,"cv","AgeDiversity",-8,-0.272199834511669,0.137709912742158,2.44193724993163e-07,1
50,50,4,"cv","AgeDiversity",-7,-0.102109388291525,0.162438532040074,0.0412617759894029,0.999999995592894
50,50,4,"cv","AgeDiversity",-6,-0.0191953428817946,0.130476149512227,0.56426737864644,0.927792527333967
50,50,4,"cv","AgeDiversity",-5,0.0580962857339731,0.104989507241814,4.72451181354749e-06,1.28545621187808e-07
50,50,4,"cv","AgeDiversity",-4,-0.122981575897901,0.102252507417665,0.00114261804195202,1
50,50,4,"cv","AgeDiversity",-3,0.148147264879047,0.0836749596342449,0.00114261804195204,9.59966383003464e-33
50,50,4,"cv","AgeDiversity",-2,0.22095709532504,0.0910185475513322,4.94106357484814e-05,8.87370298936427e-44
50,50,4,"cv","AgeDiversity",-1,0.0871065555999535,0.100373931659967,0.350195287197447,4.14076438791374e-14
50,50,4,"cv","AgeDiversity",0,0.152904609528959,0.0696835871181599,0.194916733337412,4.15063724357926e-40
50,50,5,"cv","Abundance",-8,-0.0498602308691566,0.0757393974794861,0.0114805970670177,0.999999998889517
50,50,5,"cv","Abundance",-7,0.0724403516235818,0.107099391806355,0.505644437997331,4.7493595030266e-10
50,50,5,"cv","Abundance",-6,0.0186608187479242,0.104335819064661,0.0197806317594083,0.0383743064349159
50,50,5,"cv","Abundance",-5,0.139094547315254,0.100600902727591,2.8762465771548e-05,3.74251181989054e-25
50,50,5,"cv","Abundance",-4,0.236875950696642,0.116366912158783,1.17934845844658e-06,1.84223130203321e-37
50,50,5,"cv","Abundance",-3,0.265230330072593,0.101043463119807,1.02027024606599e-07,1.08633552483416e-46
50,50,5,"cv","Abundance",-2,0.14993375532806,0.126612587020654,0.00635528422852749,5.59042293778361e-21
50,50,5,"cv","Abundance",-1,0.0238701193578013,0.104598163644042,0.824801238706967,0.012312515974762
50,50,5,"cv","Abundance",0,0.138865781369478,0.105302675170525,0.26504598877832,7.92165967886646e-24
50,50,6,"cv","AMO",-8,0.0617146986158287,0.0977616103260784,1.17934845844658e-06,3.89666248593215e-09
50,50,6,"cv","AMO",-7,0.0743421945596752,0.0937386394184685,5.50848431757345e-07,1.68781544935947e-12
50,50,6,"cv","AMO",-6,0.187951344921191,0.0766393154082687,9.54791801177635e-14,3.73817296812117e-44
50,50,6,"cv","AMO",-5,0.177419977534823,0.0829502279789499,1.02027024606599e-07,3.37201170756179e-39
50,50,6,"cv","AMO",-4,0.110365437449333,0.101370239300581,4.72556482833397e-09,6.40622836817832e-19
50,50,6,"cv","AMO",-3,0.132387656678599,0.10449983421819,0.00334096185825072,9.73200435270319e-23
50,50,6,"cv","AMO",-2,-0.11777930784694,0.119274634299663,0.194916733337412,1
50,50,6,"cv","AMO",-1,0.194116060106766,0.0758086883170252,4.72451181354749e-06,9.26543598339172e-46
50,50,6,"cv","AMO",0,-0.0674371660849408,0.136788546886829,0.450284886272046,0.99999834442362
50,50,9,"cv","SBT",-8,0.702874357211078,0.0545627946794241,0.305726548153443,2.35074344535701e-112
50,50,9,"cv","SBT",-7,0.71636671165937,0.0523356455112979,0.450284886272046,5.97479400572415e-115
50,50,9,"cv","SBT",-6,0.723649914484174,0.0517901803583436,0.00635528422852749,7.86054693232753e-116
50,50,9,"cv","SBT",-5,0.724249697531947,0.0562105633050896,0.000773831095311373,2.30365374445439e-112
50,50,9,"cv","SBT",-4,0.710761871766573,0.046800574868982,0.0255375408438456,2.13281197476354e-119
50,50,9,"cv","SBT",-3,0.700845387857414,0.0566138945609081,0.0151553436376983,1.17939624022762e-110
50,50,9,"cv","SBT",-2,0.688237024561903,0.0575451578822821,0.0788206784827414,3.49893279261823e-109
50,50,9,"cv","SBT",-1,0.693958768529025,0.0568154151434514,0.0516768954242628,4.41855321926353e-110
50,50,9,"cv","SBT",0,0.697957383213108,0.0526443406344993,0.0197806317594083,1.38404206150576e-113
50,50,9,"cv","CVofSBT",-8,0.596121482450326,0.0604505378489607,8.26619198137646e-05,5.89956353504245e-101
50,50,9,"cv","CVofSBT",-7,0.630956311912619,0.0525824547682451,4.72451181354749e-06,2.53166336106583e-109
50,50,9,"cv","CVofSBT",-6,0.642368219577478,0.0488570971342701,4.72451181354749e-06,3.14490078307613e-113
50,50,9,"cv","CVofSBT",-5,0.686540245943056,0.0470707402046147,3.5587999214215e-10,1.14691428839773e-117
50,50,9,"cv","CVofSBT",-4,0.622426999347606,0.0548734889961752,0.00635528422852749,6.38159394734367e-107
50,50,9,"cv","CVofSBT",-3,0.612523187990267,0.066287232161647,4.94106357484814e-05,3.44350341281049e-98
50,50,9,"cv","CVofSBT",-2,0.549990766559617,0.0683297284893936,0.894351259969982,2.4792869958807e-92
50,50,9,"cv","CVofSBT",-1,0.514984160300554,0.0898683660718059,0.625866196387911,4.93409482565285e-78
50,50,9,"cv","CVofSBT",0,0.503110003420798,0.0749694690970852,0.505644437997331,1.18042827446496e-84
50,50,4,"cv","AgeDiversity",-8,-0.272258210205719,0.128201409813361,5.50848431862817e-07,1
50,50,4,"cv","AgeDiversity",-7,-0.0911829952510912,0.172073622636006,0.228133658769073,0.99999964690501
50,50,4,"cv","AgeDiversity",-6,-0.0135118852829793,0.120930331274054,0.116047433028545,0.866720838692623
50,50,4,"cv","AgeDiversity",-5,0.0629033505267774,0.104654665692055,2.41022656499723e-06,1.54735635121317e-08
50,50,4,"cv","AgeDiversity",-4,-0.132310068991234,0.0997837936076272,0.00237216390671045,1
50,50,4,"cv","AgeDiversity",-3,0.148933161810732,0.0958603647903277,0.00859466758633065,1.33808593760549e-28
50,50,4,"cv","AgeDiversity",-2,0.21854207088342,0.1014515758726,0.000134937164551818,1.88557171659532e-39
50,50,4,"cv","AgeDiversity",-1,0.0651562803021724,0.110125860312814,0.228133658769073,2.36303348907162e-08
50,50,4,"cv","AgeDiversity",0,0.154835118694672,0.0751285712534922,0.824801238706967,6.82316865578144e-38
50,50,5,"cv","Abundance",-8,-0.0551156125406425,0.0817907300279319,0.00237216390671045,0.999999999465021
50,50,5,"cv","Abundance",-7,0.0668706504387869,0.112169319939713,0.398414416048071,1.92985723927258e-08
50,50,5,"cv","Abundance",-6,0.000639299781466054,0.106819898122811,0.0197806317594083,0.476198519955528
50,50,5,"cv","Abundance",-5,0.134373786417652,0.0773042931499204,8.26619198137646e-05,3.82315985067177e-32
50,50,5,"cv","Abundance",-4,0.218860313959229,0.128810685575476,1.02027024606599e-07,2.08242414381008e-31
50,50,5,"cv","Abundance",-3,0.272517725386037,0.111624683707956,4.72556482833397e-09,5.48756748294837e-44
50,50,5,"cv","Abundance",-2,0.136644498572028,0.112607775096039,0.00237216390671047,1.32391544320074e-21
50,50,5,"cv","Abundance",-1,-0.00455813700568732,0.111862153212665,0.824801238706967,0.657731649196524
50,50,5,"cv","Abundance",0,0.13534578817288,0.111413681374435,0.0516768954242628,1.23908097897149e-21
50,50,6,"cv","AMO",-8,0.059426272303537,0.0891912008702353,2.44193725018604e-07,7.64391360733673e-10
50,50,6,"cv","AMO",-7,0.0971689852502743,0.0881388965077588,3.98309214499903e-08,3.23025492267124e-19
50,50,6,"cv","AMO",-6,0.193366848260089,0.0771606436745435,1.52944323872362e-12,5.8959306207824e-45
50,50,6,"cv","AMO",-5,0.177264356999607,0.0745201057565775,1.02027024606599e-07,4.96142310509159e-43
50,50,6,"cv","AMO",-4,0.0953199497857612,0.101198975576626,3.98309214499903e-08,1.01246717120453e-15
50,50,6,"cv","AMO",-3,0.116065980274743,0.107823294980159,4.72451181354749e-06,1.18404952180634e-18
50,50,6,"cv","AMO",-2,-0.124643372495416,0.115432907137817,0.505644437997331,1
50,50,6,"cv","AMO",-1,0.199839364743169,0.0920040175807813,1.43717926448517e-08,9.56828242678056e-40
50,50,6,"cv","AMO",0,-0.0607147048708507,0.139297734056044,0.75655502544518,0.999983978952083
50,50,9,"cv","SBT",-8,0.710570937267612,0.0516965981309487,0.16527546850601,3.96544312770816e-115
50,50,9,"cv","SBT",-7,0.709280221839804,0.0561476583666622,0.16527546850601,1.61125443933491e-111
50,50,9,"cv","SBT",-6,0.727290684149964,0.0550195521190239,0.00165935080951662,1.85258848422903e-113
50,50,9,"cv","SBT",-5,0.72301116174163,0.0507543096766736,0.0151553436376983,1.17169899601602e-116
50,50,9,"cv","SBT",-4,0.704091898967896,0.0509416912563102,0.0412617759894029,2.29549232048068e-115
50,50,9,"cv","SBT",-3,0.698098689028766,0.0628604513797045,0.00859466758633065,5.09768101502483e-106
50,50,9,"cv","SBT",-2,0.692015929326296,0.0636052170623271,0.00334096185825072,3.8278169654271e-105
50,50,9,"cv","SBT",-1,0.692698289703745,0.0586476803854446,0.0412617759894029,1.19781112167232e-108
50,50,9,"cv","SBT",0,0.688809178140783,0.0511183537849595,0.0788206784827414,2.8023012108853e-114
50,50,9,"cv","CVofSBT",-8,0.593588884205096,0.0551301883411419,0.000134937164551818,1.06515355257233e-104
50,50,9,"cv","CVofSBT",-7,0.630867296906064,0.0541894386263296,8.26619198137646e-05,4.95126729170073e-108
50,50,9,"cv","CVofSBT",-6,0.655758273202425,0.0407174507478932,2.41022656499723e-06,6.5387472395704e-122
50,50,9,"cv","CVofSBT",-5,0.681292922134841,0.0428900186335759,2.44193725018604e-07,2.54567449513248e-121
50,50,9,"cv","CVofSBT",-4,0.624930821813029,0.054184241077213,0.0255375408438456,1.24215933255982e-107
50,50,9,"cv","CVofSBT",-3,0.609979045336369,0.064805168630285,2.8762465771548e-05,5.65705748252501e-99
50,50,9,"cv","CVofSBT",-2,0.558250581952864,0.0617912587369183,0.964694931933257,3.12617048017947e-97
50,50,9,"cv","CVofSBT",-1,0.526619613250758,0.0731217399359845,0.398414416048071,1.2471150129596e-87
50,50,9,"cv","CVofSBT",0,0.511130935399629,0.0668982249781761,0.56426737864644,3.9751798710208e-90
50,50,4,"cv","AgeDiversity",-8,-0.284775747244023,0.108237586825969,8.91848950349694e-06,1
50,50,4,"cv","AgeDiversity",-7,-0.0744118288891463,0.188777635153328,0.228133658769073,0.999924539933477
50,50,4,"cv","AgeDiversity",-6,-0.00955911015386242,0.10888036783376,0.0516768954242628,0.808950673336497
50,50,4,"cv","AgeDiversity",-5,0.0478015430222874,0.0890711297268584,1.17934845844658e-06,2.64432224614842e-07
