"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,4,"cv","Shannon.age",-8,-0.292938394151846,0.119064504719402,2.4102265649058e-06,1
50,50,4,"cv","Shannon.age",-7,-0.104349664289122,0.164310627192371,0.116047433028545,0.999999996729498
50,50,4,"cv","Shannon.age",-6,-0.0136538538357623,0.129775079796674,0.0412617759894029,0.852346370440863
50,50,4,"cv","Shannon.age",-5,0.0441072474214446,0.100675434784974,0.000514926454439069,1.46959929360795e-05
50,50,4,"cv","Shannon.age",-4,-0.139481109512322,0.0887302399651037,0.00334096185825063,1
50,50,4,"cv","Shannon.age",-3,0.165934314766424,0.0966113031201247,1.62687221838542e-05,9.34295890072682e-32
50,50,4,"cv","Shannon.age",-2,0.228644218935244,0.0910764212038794,2.8762465771548e-05,5.06696793533547e-45
50,50,4,"cv","Shannon.age",-1,0.075119503709953,0.109835629139487,0.116047433028545,3.32431737613903e-10
50,50,4,"cv","Shannon.age",0,0.154033502993176,0.0862405264515945,0.16527546850601,4.94811374970217e-33
50,50,5,"cv","Total.CPUE",-8,-0.0547119874224544,0.0652362280643317,0.00859466758633064,0.999999999999823
50,50,5,"cv","Total.CPUE",-7,0.0849174309813874,0.103257321035544,0.350195287197447,3.96843574705292e-13
50,50,5,"cv","Total.CPUE",-6,0.00901152450724636,0.11353983764543,0.0960497087334704,0.214637574422221
50,50,5,"cv","Total.CPUE",-5,0.146666809153672,0.072154154606697,8.26619198137646e-05,2.0656999300726e-37
50,50,5,"cv","Total.CPUE",-4,0.232925300635059,0.132083244979947,4.72451181354749e-06,1.29610005932166e-32
50,50,5,"cv","Total.CPUE",-3,0.249321513415086,0.12546387816508,1.43717926448517e-08,1.25461513053862e-36
50,50,5,"cv","Total.CPUE",-2,0.14610413192221,0.118446504980814,0.000336296764708033,4.95522260013273e-22
50,50,5,"cv","Total.CPUE",-1,0.00200614824032306,0.112672409980946,0.824801238706967,0.429523210004365
50,50,5,"cv","Total.CPUE",0,0.138317366757664,0.103379656016003,0.0412617759894029,3.14775227648193e-24
50,50,6,"cv","AMO",-8,0.0478568125957443,0.0908209391284683,2.41022656499723e-06,4.00709646436765e-07
50,50,6,"cv","AMO",-7,0.0812154889925632,0.0852020299994715,5.50848431757345e-07,5.73880199317328e-16
50,50,6,"cv","AMO",-6,0.18000023912931,0.0813803908951886,1.2904566304428e-11,2.15164488928339e-40
50,50,6,"cv","AMO",-5,0.172147519069296,0.0843774764308337,3.5587999214215e-10,1.53671512924907e-37
50,50,6,"cv","AMO",-4,0.117774902727527,0.107334368141796,1.43717926448517e-08,4.18334305506659e-19
50,50,6,"cv","AMO",-3,0.131957261599802,0.0975349677871306,4.72451181354749e-06,1.53867813802484e-24
50,50,6,"cv","AMO",-2,-0.118065699644612,0.125518976615762,0.0326257135943189,0.999999999999999
50,50,6,"cv","AMO",-1,0.213399721104661,0.0864000984589076,1.2904566304428e-11,2.04013478056695e-44
50,50,6,"cv","AMO",0,-0.0843318500820553,0.142058663406329,0.690095040514131,0.999999978387996
50,50,9,"cv","MeanSST",-8,0.676654718162671,0.0583325396528092,0.0641134326023778,7.05902434159981e-108
50,50,9,"cv","MeanSST",-7,0.704729258016127,0.0443530133151991,0.00114261804195204,2.47638415949021e-121
50,50,9,"cv","MeanSST",-6,0.728712015356391,0.0464527032632242,4.72451181354749e-06,8.74043911785347e-121
50,50,9,"cv","MeanSST",-5,0.736337058970076,0.0489294039082418,2.8762465771548e-05,5.24722521617549e-119
50,50,9,"cv","MeanSST",-4,0.727318271763993,0.0490492300937755,0.000215302430799813,2.24999289263415e-118
50,50,9,"cv","MeanSST",-3,0.69829633745493,0.0559877118484686,0.00859466758633065,5.6513230046039e-111
50,50,9,"cv","MeanSST",-2,0.67888253150772,0.057504482929321,0.0197806317594083,1.25338357800664e-108
50,50,9,"cv","MeanSST",-1,0.678890976336623,0.0595626925689266,0.0255375408438456,3.96831933057793e-107
50,50,9,"cv","MeanSST",0,0.679880172027444,0.0565445127340313,0.0412617759894029,2.07267814038025e-109
50,50,4,"cv","CVofSST",-8,0.0382919412653344,0.117049375191135,8.26619198136642e-05,0.0007366831413519
50,50,4,"cv","CVofSST",-7,0.00949796297730221,0.105109410060862,4.9410635748578e-05,0.184193564159095
50,50,4,"cv","CVofSST",-6,0.152594775234219,0.0741511957883022,0.00165935080951667,7.68602197077657e-38
50,50,4,"cv","CVofSST",-5,0.271527575675046,0.0906109520980035,0.0197806317594083,9.4016352694265e-52
50,50,4,"cv","CVofSST",-4,0.240564795050269,0.0882696382128671,0.0326257135943189,4.13071361821083e-48
50,50,4,"cv","CVofSST",-3,0.351435313375261,0.0958006230447566,0.398414416048071,9.8123003544778e-60
50,50,4,"cv","CVofSST",-2,0.371890969213984,0.071270759969465,0.0197806317594083,3.91593382672693e-74
50,50,4,"cv","CVofSST",-1,0.367730666576632,0.0631209268761838,0.0412617759894029,1.00849056219317e-78
50,50,4,"cv","CVofSST",0,0.367600418768944,0.0634706460372254,0.000773831095311337,1.77551511287989e-78
50,50,4,"cv","Shannon.age",-8,-0.29613765835447,0.110579124847917,2.4102265649058e-06,1
50,50,4,"cv","Shannon.age",-7,-0.0766420051716414,0.182859574262901,0.228133658769073,0.999969814227848
50,50,4,"cv","Shannon.age",-6,-0.0259109769626629,0.150139915937926,0.116047433028545,0.95624735134263
50,50,4,"cv","Shannon.age",-5,0.0422188401057475,0.080447442615315,0.00463914443779179,4.38758068774008e-07
50,50,4,"cv","Shannon.age",-4,-0.129060454974936,0.0860674398166514,0.00114261804195202,1
50,50,4,"cv","Shannon.age",-3,0.163672258020528,0.0774086710653943,0.00635528422852749,8.6064172878276e-39
50,50,4,"cv","Shannon.age",-2,0.198629061705123,0.116352589268216,0.0255375408438456,1.46769193250898e-31
50,50,4,"cv","Shannon.age",-1,0.0816050387577786,0.0943723419253639,0.398414416048071,4.83524463891134e-14
50,50,4,"cv","Shannon.age",0,0.134356673300228,0.0903708024621729,0.56426737864644,2.86474359025178e-27
50,50,5,"cv","Total.CPUE",-8,-0.0615478397130039,0.0767628093619508,0.00013493716455181,0.999999999998901
50,50,5,"cv","Total.CPUE",-7,0.0820955316640672,0.102547946663587,0.194916733337412,1.16760286104735e-12
50,50,5,"cv","Total.CPUE",-6,0.0117073336738316,0.11084455831362,0.0255375408438456,0.146725143806961
50,50,5,"cv","Total.CPUE",-5,0.138649260786258,0.0876463845237408,8.26619198137646e-05,3.72932310297364e-29
50,50,5,"cv","Total.CPUE",-4,0.222124775192696,0.148820376714849,8.91848950357321e-06,2.1875429550347e-27
50,50,5,"cv","Total.CPUE",-3,0.283708846455818,0.10401504562214,1.38948963446239e-09,3.84488440754155e-48
50,50,5,"cv","Total.CPUE",-2,0.167287971057352,0.120199256872521,0.0114805970670178,2.43003351214729e-25
50,50,5,"cv","Total.CPUE",-1,0.021686222373658,0.114237803113766,0.625866196387911,0.030281895604992
50,50,5,"cv","Total.CPUE",0,0.115566922683593,0.11269009768459,0.116047433028545,1.51821238265502e-17
50,50,6,"cv","AMO",-8,0.0614049948202446,0.0876630227486891,5.50848431757345e-07,1.51373648899955e-10
50,50,6,"cv","AMO",-7,0.0762125380244586,0.09380034783836,3.98309214499903e-08,6.47459536459792e-13
50,50,6,"cv","AMO",-6,0.178208261340451,0.0759850835056106,1.38948963446239e-09,1.63482351513012e-42
50,50,6,"cv","AMO",-5,0.162407919476442,0.0797447876186464,3.98309214499903e-08,1.77111596444078e-37
50,50,6,"cv","AMO",-4,0.103787021641648,0.102403250332193,1.02027024606599e-07,2.77503156588086e-17
50,50,6,"cv","AMO",-3,0.133790458318879,0.0941329928368418,0.000514926454439069,6.03829416661136e-26
50,50,6,"cv","AMO",-2,-0.11596488843468,0.119632031974318,0.0788206784827414,1
50,50,6,"cv","AMO",-1,0.167848360994498,0.0972908194316227,5.50848431757345e-07,6.70308210344871e-32
50,50,6,"cv","AMO",0,-0.0747677184496841,0.138117527005732,0.56426737864644,0.999999783645374
50,50,9,"cv","MeanSST",-8,0.689988227227262,0.0591476483496273,0.0326257135943189,4.0563785422269e-108
50,50,9,"cv","MeanSST",-7,0.706016802632863,0.0506461696371562,0.0641134326023778,9.8901789153978e-116
50,50,9,"cv","MeanSST",-6,0.727979195534304,0.0428410503242298,8.26619198137646e-05,3.29199228690971e-124
50,50,9,"cv","MeanSST",-5,0.729571354580082,0.0528635130022761,2.41022656499723e-06,2.65661758002198e-115
50,50,9,"cv","MeanSST",-4,0.728936305028313,0.0497613145870295,2.8762465771548e-05,7.48149957634024e-118
50,50,9,"cv","MeanSST",-3,0.694597759118904,0.0528154036829172,0.00635528422852749,3.06301799836906e-113
50,50,9,"cv","MeanSST",-2,0.68387450353042,0.0477422784833798,0.305726548153443,6.79570075914063e-117
50,50,9,"cv","MeanSST",-1,0.688822620396548,0.0629893816475214,0.0960497087334704,2.31894591802916e-105
50,50,9,"cv","MeanSST",0,0.67881234793855,0.0635208470899161,0.194916733337412,2.2269174763322e-104
50,50,4,"cv","CVofSST",-8,0.0326671447896634,0.10861947818831,4.9410635748578e-05,0.00166972931573223
50,50,4,"cv","CVofSST",-7,0.0109314348643308,0.0985155458379961,4.9410635748578e-05,0.134926467876035
50,50,4,"cv","CVofSST",-6,0.123701435908497,0.0825805030894514,0.00013493716455181,1.70713890391043e-27
50,50,4,"cv","CVofSST",-5,0.257671774682886,0.0922047536997431,0.0326257135943189,4.57585235806079e-49
50,50,4,"cv","CVofSST",-4,0.237421236667554,0.0921330364423988,0.00165935080951667,5.35519275771058e-46
50,50,4,"cv","CVofSST",-3,0.348428023314052,0.0999953094407597,0.0788206784827414,1.11249681086644e-57
50,50,4,"cv","CVofSST",-2,0.376716050713984,0.0706738641891911,0.0641134326023778,5.10682503934834e-75
50,50,4,"cv","CVofSST",-1,0.375109461089446,0.054661009525685,0.0788206784827414,1.35385026257199e-85
50,50,4,"cv","CVofSST",0,0.378148481780868,0.0682457028966631,0.00635528422852745,1.24545141128161e-76
50,50,4,"cv","Shannon.age",-8,-0.277525133146598,0.124702650632251,1.17934845840765e-06,1
50,50,4,"cv","Shannon.age",-7,-0.0702326041753481,0.170797852010053,0.228133658769073,0.999959463219577
50,50,4,"cv","Shannon.age",-6,-0.0261705173391435,0.117755909921714,0.305726548153443,0.98573527511066
