"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,5,"cv","AgeDiversity",-8,0.421607604452543,0.0625664699768469,0.0114805970670177,7.92057115557425e-85
50,50,5,"cv","AgeDiversity",-7,0.440142415229683,0.0657124212923444,0.0151553436376983,1.42142591256579e-84
50,50,5,"cv","AgeDiversity",-6,0.434482879169935,0.0601586854630545,0.16527546850601,9.48394824450102e-88
50,50,5,"cv","AgeDiversity",-5,0.497004346552112,0.0537827385244141,0.894351259969982,3.42444509896564e-98
50,50,5,"cv","AgeDiversity",-4,0.624574889217631,0.0538539670924461,8.91848950357321e-06,7.20331315290131e-108
50,50,5,"cv","AgeDiversity",-3,0.630072765053236,0.0581882542127986,8.91848950357321e-06,6.10929668770873e-105
50,50,5,"cv","AgeDiversity",-2,0.60961491990988,0.0525587808122161,1.17934845844658e-06,7.13277159835872e-108
50,50,5,"cv","AgeDiversity",-1,0.552749809382915,0.06919608850979,0.0641134326023778,5.19983910405073e-92
50,50,5,"cv","AgeDiversity",0,0.627545562955769,0.0566661743396799,1.52944323872362e-12,6.71424395919463e-106
50,50,2,"cv","Abundance",-8,0.163392242155774,0.143053231273747,1.02027024606599e-07,4.47332990360439e-20
50,50,2,"cv","Abundance",-7,-0.145777890359167,0.0752676567108825,8.91848950349694e-06,1
50,50,2,"cv","Abundance",-6,-0.101485202252019,0.0760360948035563,0.75655502544518,1
50,50,2,"cv","Abundance",-5,0.0363693777981278,0.11852092388472,1.02027024606599e-07,0.0013873034663023
50,50,2,"cv","Abundance",-4,-0.139404396481012,0.101666292801276,0.228133658769073,1
50,50,2,"cv","Abundance",-3,-0.183832760655601,0.0801128261276608,0.00013493716455181,1
50,50,2,"cv","Abundance",-2,-0.180249984349497,0.119640550683561,2.44193724993163e-07,1
50,50,2,"cv","Abundance",-1,0.0831773004828154,0.103458770292632,2.41022656499723e-06,9.86888091363757e-13
50,50,2,"cv","Abundance",0,0.0164188295764722,0.0859354152237003,0.0641134326023778,0.0294746334760176
50,50,6,"cv","AMO",-8,0.098237794827575,0.133647648279714,0.0960497087334704,2.87090360754956e-11
50,50,6,"cv","AMO",-7,0.111269774349474,0.143083111903915,0.56426737864644,3.60079300601966e-12
50,50,6,"cv","AMO",-6,0.189013704995359,0.10510159006467,0.00165935080951662,2.93917339732404e-33
50,50,6,"cv","AMO",-5,0.186847563252359,0.110686543396767,1.62687221838542e-05,3.36513468786298e-31
50,50,6,"cv","AMO",-4,0.200458672862312,0.089463869950197,2.8762465771548e-05,7.37557312430308e-41
50,50,6,"cv","AMO",-3,0.102601819729349,0.125747326788519,0.824801238706967,5.46174143098798e-13
50,50,6,"cv","AMO",-2,-0.00782759304767471,0.12660063268553,0.0255375408438456,0.7310980251474
50,50,6,"cv","AMO",-1,0.116857588023089,0.0994457019385823,0.00237216390671045,8.7633524634996e-21
50,50,6,"cv","AMO",0,0.112426475449542,0.113412858524464,0.0788206784827414,8.466683342086e-17
50,50,9,"cv","SBT",-8,0.991769677676314,0.000584575314291531,1.43717926448517e-08,4.54540394173947e-322
50,50,9,"cv","SBT",-7,0.991275407987333,0.000616957434201899,5.50848431757345e-07,9.95295243547191e-320
