"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,5,"cv","AgeDiversity",-8,0.410094136334354,0.0662584957308723,0.116047433028545,2.95321977185977e-81
50,50,5,"cv","AgeDiversity",-7,0.443560898078945,0.0512674526684411,0.0412617759894029,2.14902561374765e-95
50,50,5,"cv","AgeDiversity",-6,0.452504113510075,0.0555168908082763,0.26504598877832,7.28707698321499e-93
50,50,5,"cv","AgeDiversity",-5,0.494367442232683,0.055161093184363,0.398414416048071,6.85354967634616e-97
50,50,5,"cv","AgeDiversity",-4,0.623037340165901,0.04955505506802,1.02027024606599e-07,2.56957892751503e-111
50,50,5,"cv","AgeDiversity",-3,0.624824863351039,0.0596327169117152,2.44193725018604e-07,1.54086746052661e-103
50,50,5,"cv","AgeDiversity",-2,0.601850899309454,0.0542056889480928,5.50848431757345e-07,5.20872213810234e-106
50,50,5,"cv","AgeDiversity",-1,0.562964814716164,0.0654990081634066,0.0114805970670178,4.0943567356405e-95
50,50,5,"cv","AgeDiversity",0,0.631885929465554,0.0461249081314569,1.52944323872362e-12,5.49971858891518e-115
50,50,2,"cv","Abundance",-8,0.134145948083513,0.153976058458604,1.02027024606599e-07,3.49561471113123e-14
50,50,2,"cv","Abundance",-7,-0.144603883513659,0.072233914502279,2.44193724993163e-07,1
50,50,2,"cv","Abundance",-6,-0.108621169045311,0.0558689328123903,0.505644437997331,1
50,50,2,"cv","Abundance",-5,0.030097405835245,0.123514413995398,2.41022656499723e-06,0.00830272058164787
50,50,2,"cv","Abundance",-4,-0.13148333467554,0.093760534262004,0.000773831095311337,1
50,50,2,"cv","Abundance",-3,-0.186619798749345,0.0844666926353562,8.26619198136642e-05,1
50,50,2,"cv","Abundance",-2,-0.168711018664473,0.109305364626187,5.50848431862817e-07,1
50,50,2,"cv","Abundance",-1,0.0873904585333295,0.110362921138277,4.72451181354749e-06,1.79345474904399e-12
50,50,2,"cv","Abundance",0,0.0280516159748322,0.10259114768871,2.8762465771548e-05,0.00370351076567959
50,50,6,"cv","AMO",-8,0.0995528820150055,0.14492707805275,0.0151553436376983,2.88481997561261e-10
50,50,6,"cv","AMO",-7,0.102623046823047,0.147292739273926,0.450284886272046,1.8091751328357e-10
50,50,6,"cv","AMO",-6,0.188820883720863,0.107670087838016,0.000336296764708033,1.96897691016867e-32
50,50,6,"cv","AMO",-5,0.208044323260694,0.0894974848438258,1.62687221838542e-05,3.4434654399469e-42
50,50,6,"cv","AMO",-4,0.198704659063821,0.0869587760106227,4.72451181354749e-06,1.44494598636757e-41
50,50,6,"cv","AMO",-3,0.100005450018842,0.118561196325717,0.964694931933257,1.39173842057529e-13
50,50,6,"cv","AMO",-2,-0.0303914231232418,0.114548635965146,0.0516768954242628,0.995354803261587
50,50,6,"cv","AMO",-1,0.0888337888710088,0.121707463158654,0.00859466758633064,3.68333786148159e-11
50,50,6,"cv","AMO",0,0.129610070698405,0.093783702281446,0.0326257135943189,3.8553675862127e-25
50,50,9,"cv","SST",-8,0.986349193280758,0.00102312348057448,5.50848431757345e-07,9.11493747918441e-298
50,50,9,"cv","SST",-7,0.985329827037817,0.00117504355485701,8.91848950357321e-06,9.05042824037052e-292
50,50,9,"cv","SST",-6,0.98571218173987,0.00092391553503789,2.8762465771548e-05,4.00176737781176e-302
50,50,9,"cv","SST",-5,0.98557894180092,0.000932600853236706,2.8762465771548e-05,1.02412728652185e-301
50,50,9,"cv","SST",-4,0.986175429138188,0.0010513892922137,2.8762465771548e-05,1.37734198323965e-296
50,50,9,"cv","SST",-3,0.987054178108052,0.000935445987015209,4.72451181354749e-06,1.19402596744074e-301
50,50,9,"cv","SST",-2,0.988764397264775,0.000778261416367778,1.38948963446239e-09,1.23925353373163e-309
50,50,9,"cv","SST",-1,0.990090823184342,0.000644229123171544,4.72556482833397e-09,8.11139190978908e-318
50,50,9,"cv","SST",0,0.990176153499374,0.000739590253009267,1.2904566304428e-11,6.92658307618437e-312
50,50,4,"cv","CVofSST",-8,0.740763211566682,0.0337113744738774,0.26504598877832,3.11852803853169e-135
50,50,4,"cv","CVofSST",-7,0.744283156602549,0.0432407337428431,5.50848431757345e-07,9.25261517016119e-125
50,50,4,"cv","CVofSST",-6,0.74099728431359,0.0463658730646725,8.26619198137646e-05,1.39764098002841e-121
50,50,4,"cv","CVofSST",-5,0.723244587538984,0.0391590727485509,2.44193725018604e-07,8.81917626410337e-128
50,50,4,"cv","CVofSST",-4,0.694984581249721,0.0458718640260089,0.26504598877832,2.70324419083507e-119
50,50,4,"cv","CVofSST",-3,0.688985802993477,0.0381010829440641,0.0326257135943189,7.10513919904632e-127
50,50,4,"cv","CVofSST",-2,0.694581981824423,0.0419119728374405,0.0114805970670177,3.89220866668895e-123
50,50,4,"cv","CVofSST",-1,0.707981318049233,0.0423887446193464,0.00635528422852745,1.80377079468604e-123
50,50,4,"cv","CVofSST",0,0.685183487734826,0.0427414791571318,0.0516768954242628,1.03115382405895e-121
50,50,5,"cv","AgeDiversity",-8,0.419001974076034,0.0673960116356777,0.0960497087334704,1.91874240565943e-81
50,50,5,"cv","AgeDiversity",-7,0.452443847832501,0.0565106546716383,0.0326257135943189,4.16603687971238e-92
50,50,5,"cv","AgeDiversity",-6,0.433509456736624,0.0615332953977516,0.26504598877832,1.05831802333332e-86
50,50,5,"cv","AgeDiversity",-5,0.493682297150528,0.0526697713743362,0.894351259969982,8.52526166034686e-99
50,50,5,"cv","AgeDiversity",-4,0.621859887589672,0.049507873656817,1.02027024606599e-07,2.8183137224886e-111
50,50,5,"cv","AgeDiversity",-3,0.638654296195034,0.0512025067958226,1.43717926448517e-08,5.61613990956933e-111
50,50,5,"cv","AgeDiversity",-2,0.594186995809393,0.0670617774299372,4.94106357484814e-05,2.0981692432395e-96
50,50,5,"cv","AgeDiversity",-1,0.54470625138269,0.0771920967322681,0.0326257135943189,9.04788602087269e-87
50,50,5,"cv","AgeDiversity",0,0.623888904090768,0.0537028977267527,1.38948963446239e-09,6.08882923301879e-108
50,50,2,"cv","Abundance",-8,0.177202167475152,0.136801335998888,2.44193725018604e-07,2.44916133224262e-23
50,50,2,"cv","Abundance",-7,-0.156389120703071,0.0802140310870275,3.983092142401e-08,1
50,50,2,"cv","Abundance",-6,-0.130307761358813,0.0663755859233805,0.0788206784827414,1
50,50,2,"cv","Abundance",-5,0.0269408588732959,0.116596069469846,4.72556482833397e-09,0.0114645177856099
50,50,2,"cv","Abundance",-4,-0.124839247391373,0.101867047854447,0.0960497087334704,1
50,50,2,"cv","Abundance",-3,-0.185005228701921,0.0901986563833364,8.26619198136642e-05,1
50,50,2,"cv","Abundance",-2,-0.178978293674382,0.113905119182452,8.91848950349694e-06,1
50,50,2,"cv","Abundance",-1,0.10335007829058,0.0992407101185146,2.44193725018604e-07,6.84542476098749e-18
50,50,2,"cv","Abundance",0,0.0388259840100412,0.109767826081902,4.72451181354749e-06,0.000308720508944589
50,50,6,"cv","AMO",-8,0.0930578444170131,0.137510692149553,0.0326257135943189,4.67209766713758e-10
50,50,6,"cv","AMO",-7,0.151799189004349,0.119991131665526,0.116047433028545,1.06134494631993e-22
50,50,6,"cv","AMO",-6,0.187313123176099,0.0990364577109889,0.00237216390671047,6.09559877726017e-35
50,50,6,"cv","AMO",-5,0.156887071715701,0.121123885040736,0.00334096185825072,2.45670426061949e-23
50,50,6,"cv","AMO",-4,0.17597758749732,0.085645782346677,2.8762465771548e-05,8.70125780974785e-38
50,50,6,"cv","AMO",-3,0.0775321899986189,0.135276338939187,0.894351259969982,5.39270969483399e-08
50,50,6,"cv","AMO",-2,-0.00438570860157496,0.114683145085291,0.0255375408438456,0.648515058836717
50,50,6,"cv","AMO",-1,0.0858807693335807,0.119523759220487,0.00334096185825063,6.37169921602326e-11
50,50,6,"cv","AMO",0,0.111424573511677,0.121205551658188,0.0960497087334704,3.14812058130104e-15
50,50,9,"cv","SST",-8,0.986516621924929,0.00101916816990996,4.72451181354749e-06,6.10827281635694e-298
50,50,9,"cv","SST",-7,0.985430064773307,0.00121280451579645,2.8762465771548e-05,2.05229941544891e-290
50,50,9,"cv","SST",-6,0.985612651836142,0.00107401997559753,1.62687221838542e-05,1.2000952624157e-295
50,50,9,"cv","SST",-5,0.985415504560299,0.00101845775165963,1.62687221838542e-05,6.36728754806456e-298
50,50,9,"cv","SST",-4,0.986270378749008,0.00106027681006319,5.50848431757345e-07,3.13918985133137e-296
50,50,9,"cv","SST",-3,0.986885926308099,0.000991159623514871,2.41022656499723e-06,3.72996410609378e-299
50,50,9,"cv","SST",-2,0.988713545014512,0.000895011831916051,1.43717926448517e-08,1.27347855280049e-303
50,50,9,"cv","SST",-1,0.990035440214116,0.000759415587709044,1.02027024606599e-07,9.63769867211623e-311
50,50,9,"cv","SST",0,0.990256451621833,0.000667913705419078,7.63760166222482e-11,2.84592276314937e-316
50,50,4,"cv","CVofSST",-8,0.739991829651841,0.0378010531502821,0.350195287197447,2.82125715617822e-130
50,50,4,"cv","CVofSST",-7,0.739232237574414,0.0472009883615537,2.41022656499723e-06,1.02813480052138e-120
50,50,4,"cv","CVofSST",-6,0.744367198322391,0.0404788407449585,8.26619198137646e-05,1.35630739254312e-127
50,50,4,"cv","CVofSST",-5,0.723639836683117,0.0396683562955648,4.72451181354749e-06,2.99201069704743e-127
50,50,4,"cv","CVofSST",-4,0.69458761000636,0.0547690630517672,0.139049963024319,1.09482423157939e-111
50,50,4,"cv","CVofSST",-3,0.688504914954999,0.0399212922201021,0.0641134326023778,7.61498964354058e-125
50,50,4,"cv","CVofSST",-2,0.697141476897285,0.0385193028373608,0.0151553436376983,6.53275426228694e-127
50,50,4,"cv","CVofSST",-1,0.709593182129546,0.0309803022016635,0.0516768954242628,5.16839121205222e-137
50,50,4,"cv","CVofSST",0,0.689383556383855,0.0453216127992435,0.00859466758633064,1.82666032159165e-119
50,50,5,"cv","AgeDiversity",-8,0.421297975658544,0.0585100370291954,0.0641134326023778,1.27291177524404e-87
50,50,5,"cv","AgeDiversity",-7,0.452842801786859,0.0552358429285154,0.0788206784827414,4.12850569150798e-93
50,50,5,"cv","AgeDiversity",-6,0.444153324385516,0.056077308384379,0.450284886272046,1.19351805829035e-91
50,50,5,"cv","AgeDiversity",-5,0.492295985940725,0.0531661254157042,0.964694931933257,2.81218078081965e-98
50,50,5,"cv","AgeDiversity",-4,0.620396929909911,0.0509587621021906,1.02027024606599e-07,6.08998549719964e-110
50,50,5,"cv","AgeDiversity",-3,0.628680791194378,0.0496853084785972,1.17934845844658e-06,1.36997356457439e-111
50,50,5,"cv","AgeDiversity",-2,0.600021293989596,0.0625235960586147,2.44193725018604e-07,8.47635143770764e-100
50,50,5,"cv","AgeDiversity",-1,0.559818159026473,0.0767309501100618,0.0516768954242628,3.54112468300379e-88
50,50,5,"cv","AgeDiversity",0,0.623269243381067,0.0558055933954147,3.5587999214215e-10,2.92331616868518e-106
50,50,2,"cv","Abundance",-8,0.187212819555315,0.132707481005397,1.17934845844658e-06,9.92874239160245e-26
50,50,2,"cv","Abundance",-7,-0.164582955048096,0.0678460102038272,4.72451181363218e-06,1
50,50,2,"cv","Abundance",-6,-0.125369042008695,0.0533898783137583,0.0114805970670177,1
50,50,2,"cv","Abundance",-5,0.0333206684361417,0.121948192489375,4.72451181354749e-06,0.00372391745774646
50,50,2,"cv","Abundance",-4,-0.133799197681157,0.103525596620133,0.0197806317594083,1
50,50,2,"cv","Abundance",-3,-0.190707904207588,0.0855172642340141,8.26619198136642e-05,1
50,50,2,"cv","Abundance",-2,-0.185370012153267,0.113929333966136,1.17934845840765e-06,1
50,50,2,"cv","Abundance",-1,0.0883258635999327,0.104810716266026,8.91848950357321e-06,1.44638417223004e-13
50,50,2,"cv","Abundance",0,0.0299591940595843,0.0990159071376952,8.26619198137646e-05,0.00158046463734091
50,50,6,"cv","AMO",-8,0.109980086521473,0.145632821202152,0.228133658769073,1.07994230204533e-11
50,50,6,"cv","AMO",-7,0.10283838911842,0.155934345135089,0.139049963024319,1.05057921858484e-09
50,50,6,"cv","AMO",-6,0.187898771223756,0.0879162421480706,0.00114261804195204,3.58764786393019e-39
50,50,6,"cv","AMO",-5,0.196430494581838,0.112880099822322,2.41022656499723e-06,3.51933980812992e-32
50,50,6,"cv","AMO",-4,0.190988830357038,0.086825391241882,2.44193725018604e-07,3.38799119010284e-40
50,50,6,"cv","AMO",-3,0.09152186437123,0.1317015325778,0.0788206784827414,1.97207940414689e-10
50,50,6,"cv","AMO",-2,0.000523459727038992,0.10501383474582,0.305726548153443,0.480172475070641
50,50,6,"cv","AMO",-1,0.101601423771883,0.107738272943537,0.0412617759894029,9.56473468590818e-16
50,50,6,"cv","AMO",0,0.0996050769884326,0.120465589837752,0.0788206784827414,3.18322618927568e-13
50,50,9,"cv","SST",-8,0.986484483055394,0.000971023124976802,5.50848431757345e-07,5.08990439202213e-300
50,50,9,"cv","SST",-7,0.985357125796727,0.00104776626223736,0.000134937164551818,1.06247372540654e-296
50,50,9,"cv","SST",-6,0.985779804803317,0.00109433629545693,1.62687221838542e-05,7.5444875026427e-295
50,50,9,"cv","SST",-5,0.985396689971856,0.00114716437707642,2.8762465771548e-05,8.34353575685272e-293
50,50,9,"cv","SST",-4,0.986290910481278,0.000987815697796666,8.91848950357321e-06,2.83357789567192e-299
50,50,9,"cv","SST",-3,0.986940131253652,0.00100996088182778,1.17934845844658e-06,2.38383678623814e-298
50,50,9,"cv","SST",-2,0.988810435921235,0.000847652022689953,4.72556482833397e-09,5.79794386322169e-306
50,50,9,"cv","SST",-1,0.989990130604875,0.000752358245550878,1.02027024606599e-07,3.84161575592852e-311
50,50,9,"cv","SST",0,0.990035769458106,0.00065005220437412,7.63760166222482e-11,1.98777134851921e-317
50,50,4,"cv","CVofSST",-8,0.74414351278391,0.0338944425946578,0.0255375408438456,3.39604864809152e-135
50,50,4,"cv","CVofSST",-7,0.751495609152086,0.0385681531669411,1.02027024606599e-07,4.4714192016526e-130
50,50,4,"cv","CVofSST",-6,0.740004819939789,0.0426157501614083,1.62687221838542e-05,3.88501073036198e-125
50,50,4,"cv","CVofSST",-5,0.727636120268537,0.0329789662419885,8.91848950357321e-06,2.08282023610213e-135
50,50,4,"cv","CVofSST",-4,0.69782855420385,0.0528844231333412,0.350195287197447,2.20589025689939e-113
50,50,4,"cv","CVofSST",-3,0.692157723943839,0.0380876909123533,0.00463914443779172,4.36119068043693e-127
50,50,4,"cv","CVofSST",-2,0.6960127007497,0.0442610807895979,0.00635528422852745,6.88610662669716e-121
50,50,4,"cv","CVofSST",-1,0.717892187148412,0.0283578674791858,0.26504598877832,2.61759889248223e-141
50,50,4,"cv","CVofSST",0,0.682382876925149,0.0363507902823601,0.00463914443779172,1.77138632330082e-128
50,50,5,"cv","AgeDiversity",-8,0.419316220049507,0.0687865523794829,0.0960497087334704,1.2809355923065e-80
50,50,5,"cv","AgeDiversity",-7,0.446466893038906,0.0619162287499424,0.0255375408438456,1.1066117341251e-87
50,50,5,"cv","AgeDiversity",-6,0.438297306133931,0.0605933703608568,0.194916733337412,8.16474426729257e-88
50,50,5,"cv","AgeDiversity",-5,0.497206956416665,0.0555604842131008,0.398414416048071,7.92647598741372e-97
50,50,5,"cv","AgeDiversity",-4,0.631771624267849,0.0491809949683101,2.41022656499723e-06,3.09817197882552e-112
50,50,5,"cv","AgeDiversity",-3,0.620498530843602,0.0501152202562724,2.41022656499723e-06,1.16033740033576e-110
50,50,5,"cv","AgeDiversity",-2,0.60438086814239,0.0691072265091449,2.44193725018604e-07,7.50349468853775e-96
50,50,5,"cv","AgeDiversity",-1,0.567503912064846,0.0648519800706432,0.0151553436376983,7.07958699706641e-96
50,50,5,"cv","AgeDiversity",0,0.618754885246646,0.0575655121133061,4.72556482833397e-09,1.25909496789534e-104
50,50,2,"cv","Abundance",-8,0.147537711419503,0.132318327173923,2.41022656499723e-06,1.72646187254888e-19
