"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,3,"cv","Shannon.age",-8,0.0230535486413618,0.0839396194554025,4.94106357484814e-05,0.00357874526727022
50,50,3,"cv","Shannon.age",-7,-0.028273133383203,0.0934225147656484,0.26504598877832,0.998422769577064
50,50,3,"cv","Shannon.age",-6,-0.0399707601455179,0.0992998500334103,0.350195287197447,0.999944246141772
50,50,3,"cv","Shannon.age",-5,0.0396959515893375,0.13486601969139,0.625866196387911,0.00202246919183328
50,50,3,"cv","Shannon.age",-4,0.15396600521786,0.0886076192085684,4.72556482833397e-09,3.92806641299428e-32
50,50,3,"cv","Shannon.age",-3,0.172055011291217,0.134586868128025,0.00165935080951662,5.56059704523007e-23
50,50,3,"cv","Shannon.age",-2,-0.0418685072360702,0.126274778841397,0.69009504051413,0.999360612889093
50,50,3,"cv","Shannon.age",-1,-0.0893902318673984,0.132789336256137,0.450284886272046,0.999999999447381
50,50,3,"cv","Shannon.age",0,-0.113397974738162,0.119085164309002,0.26504598877832,0.999999999999999
50,50,5,"cv","Total.CPUE",-8,0.042193605937622,0.0986058223414251,0.16527546850601,2.1696664894884e-05
50,50,5,"cv","Total.CPUE",-7,0.184215499398507,0.0986886550123336,8.91848950357321e-06,1.6906221199668e-34
50,50,5,"cv","Total.CPUE",-6,0.279125177674613,0.0729968090867843,1.2904566304428e-11,2.11077076584806e-61
50,50,5,"cv","Total.CPUE",-5,0.0913741585442534,0.0963642441103883,0.000773831095311373,7.3749893097481e-16
50,50,5,"cv","Total.CPUE",-4,0.280469586696703,0.110438860569317,4.72451181354749e-06,1.88279033830175e-45
50,50,5,"cv","Total.CPUE",-3,0.171182568498805,0.0951294336973918,8.26619198137646e-05,2.80807420192617e-33
50,50,5,"cv","Total.CPUE",-2,0.191561977936959,0.105701876726197,8.91848950357321e-06,1.63548880436763e-33
50,50,5,"cv","Total.CPUE",-1,0.205254997767171,0.0840683163321887,3.98309214499903e-08,5.45876394310483e-44
50,50,5,"cv","Total.CPUE",0,0.300128101943184,0.0793649252348105,1.43717926448517e-08,5.9030500817994e-61
50,50,6,"cv","AMO",-8,-0.0409391904496707,0.124996459896401,0.000215302430799813,0.999272174669271
50,50,6,"cv","AMO",-7,-0.179902761553712,0.108859606275858,0.69009504051413,1
50,50,6,"cv","AMO",-6,-0.17246953770583,0.121155725872793,0.16527546850601,1
50,50,6,"cv","AMO",-5,-0.0537690534355784,0.101240747488673,1.17934845844658e-06,0.999999664441326
50,50,6,"cv","AMO",-4,-0.109449281548491,0.0916035236586138,0.00114261804195204,1
50,50,6,"cv","AMO",-3,-0.00460167022285962,0.0989980709426534,2.8762465771548e-05,0.678460971698302
50,50,6,"cv","AMO",-2,0.0891725061834696,0.104649778764234,4.94106357484814e-05,9.06583628843479e-14
50,50,6,"cv","AMO",-1,0.19742190057425,0.104852211034567,1.38948963446239e-09,8.64775722739557e-35
50,50,6,"cv","AMO",0,0.114013592977003,0.103742727254582,2.41022656499723e-06,3.83692124824683e-19
50,50,9,"cv","MeanBT",-8,0.565332178341134,0.0564462504443169,0.00635528422852749,1.29034084487068e-101
50,50,9,"cv","MeanBT",-7,0.554136064435898,0.0679543309653867,0.00165935080951662,6.9639837035527e-93
50,50,9,"cv","MeanBT",-6,0.571874829652428,0.058281652736602,0.00859466758633065,9.61729020273471e-101
50,50,9,"cv","MeanBT",-5,0.583024063891596,0.0568769207073127,0.0114805970670178,1.32448129862431e-102
50,50,9,"cv","MeanBT",-4,0.585561069252547,0.0663391618204194,0.00334096185825072,3.03923830660345e-96
50,50,9,"cv","MeanBT",-3,0.594779051283132,0.0678288462060688,0.00165935080951662,5.78708980302109e-96
50,50,9,"cv","MeanBT",-2,0.585747586001459,0.0590519918933578,0.00114261804195204,3.32446620807285e-101
50,50,9,"cv","MeanBT",-1,0.593837212632762,0.0584610549717079,0.00635528422852749,3.23157509581534e-102
50,50,9,"cv","MeanBT",0,0.592525503585715,0.0629738143386387,0.00114261804195204,5.86250386636657e-99
50,50,9,"cv","CVofBT",-8,0.337749302660219,0.0924766777343118,0.00334096185825072,1.47374929493236e-59
50,50,9,"cv","CVofBT",-7,0.342423697194193,0.0777380439461812,0.000514926454439069,3.78101969558613e-67
50,50,9,"cv","CVofBT",-6,0.332456836655988,0.0777927551103509,0.194916733337412,6.50956678283591e-66
50,50,9,"cv","CVofBT",-5,0.471305149977741,0.0665883505654095,5.50848431757345e-07,6.74411671728171e-87
50,50,9,"cv","CVofBT",-4,0.433557389697299,0.0734826255056822,0.0412617759894029,2.97673772349268e-79
50,50,9,"cv","CVofBT",-3,0.465665852916829,0.0805617205422932,5.50848431757345e-07,2.14681608836837e-78
50,50,9,"cv","CVofBT",-2,0.404015917973161,0.0695265298280841,0.00635528422852749,1.28923412104745e-78
50,50,9,"cv","CVofBT",-1,0.408375359031488,0.0831699034811266,0.0114805970670178,1.29167200185426e-71
50,50,9,"cv","CVofBT",0,0.40686796642318,0.0781759008347645,0.26504598877832,5.01420069731602e-74
50,50,3,"cv","Shannon.age",-8,0.0234185569122645,0.0667364403854401,0.000215302430799813,0.000339062991340469
50,50,3,"cv","Shannon.age",-7,-0.0354826313360289,0.0924615798321633,0.139049963024319,0.999890516727211
50,50,3,"cv","Shannon.age",-6,-0.0507914469954299,0.0974728566066636,0.450284886272046,0.999999486424056
50,50,3,"cv","Shannon.age",-5,0.0654271028139954,0.116470666380737,0.75655502544518,8.90750400337965e-08
50,50,3,"cv","Shannon.age",-4,0.153482208381643,0.0726137654083439,3.98309214499903e-08,8.84528793623684e-39
50,50,3,"cv","Shannon.age",-3,0.177840784328504,0.145738790440342,2.8762465771548e-05,9.47537498932751e-22
50,50,3,"cv","Shannon.age",-2,-0.0532801750671127,0.134957340109602,0.450284886272046,0.999926195182173
50,50,3,"cv","Shannon.age",-1,-0.10989685070846,0.136709870056107,0.0516768954242628,0.999999999999008
50,50,3,"cv","Shannon.age",0,-0.128938275615313,0.104763694811917,0.0412617759894029,1
50,50,5,"cv","Total.CPUE",-8,0.053191630037516,0.10331781667644,0.0516768954242628,6.68309591379565e-07
50,50,5,"cv","Total.CPUE",-7,0.211227395241845,0.0923706600029949,3.98309214499903e-08,1.35843067554276e-41
50,50,5,"cv","Total.CPUE",-6,0.276881000504939,0.0768543326776449,1.43717926448517e-08,5.1940277751614e-59
50,50,5,"cv","Total.CPUE",-5,0.100707561736009,0.0823681997625944,0.00463914443779179,8.43150649941492e-22
50,50,5,"cv","Total.CPUE",-4,0.298701295439532,0.0952137728244187,4.72556482833397e-09,1.5439470024256e-53
50,50,5,"cv","Total.CPUE",-3,0.187933795526785,0.110156878432474,0.000134937164551818,1.53782936667224e-31
50,50,5,"cv","Total.CPUE",-2,0.193464827981347,0.0945983128855708,0.000773831095311373,1.26715816001311e-37
50,50,5,"cv","Total.CPUE",-1,0.192263619800855,0.0855394212467758,4.72451181354749e-06,5.69618249177945e-41
50,50,5,"cv","Total.CPUE",0,0.289135964565518,0.0812887970303101,4.72556482833397e-09,1.68364008911432e-58
50,50,6,"cv","AMO",-8,-0.0447000666505566,0.116750487562556,1.17934845844658e-06,0.999887026191656
50,50,6,"cv","AMO",-7,-0.169986203913539,0.0979857655213338,0.0641134326023778,1
