"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,3,"cv","AgeDiversity",-8,0.0220502556534637,0.0810062065106455,0.000336296764708033,0.0038336646223011
50,50,3,"cv","AgeDiversity",-7,-0.0278702720316112,0.0897860613849808,0.116047433028545,0.998755596573044
50,50,3,"cv","AgeDiversity",-6,-0.0466186062795008,0.10257141785241,0.824801238706967,0.999992222904733
50,50,3,"cv","AgeDiversity",-5,0.0428510809958407,0.131309152158317,0.350195287197447,0.000755844510324344
50,50,3,"cv","AgeDiversity",-4,0.149942280811287,0.0816166413653878,7.63760166222482e-11,5.76325001156486e-34
50,50,3,"cv","AgeDiversity",-3,0.173960382804772,0.130371233975552,0.00165935080951662,3.74207096706688e-24
50,50,3,"cv","AgeDiversity",-2,-0.0460461952057781,0.142580122287125,0.56426737864644,0.999158423200345
50,50,3,"cv","AgeDiversity",-1,-0.0886257613419453,0.126154300251323,0.139049963024319,0.99999999986276
50,50,3,"cv","AgeDiversity",0,-0.0847614749612354,0.0981797736928238,0.0516768954242628,0.999999999999948
50,50,5,"cv","Abundance",-8,0.040106893444373,0.0989674980836592,0.625866196387911,5.04619839982842e-05
50,50,5,"cv","Abundance",-7,0.199025770275656,0.0888172086332083,5.50848431757345e-07,7.32645517282479e-41
50,50,5,"cv","Abundance",-6,0.280296328274314,0.0735224128517475,1.38948963446239e-09,2.78486229913738e-61
50,50,5,"cv","Abundance",-5,0.109002397032898,0.0958694504192202,0.00114261804195204,5.78855251209371e-20
50,50,5,"cv","Abundance",-4,0.299555939334808,0.0983793230232956,5.50848431757345e-07,2.25244179726416e-52
50,50,5,"cv","Abundance",-3,0.177307966892872,0.0999225480222153,0.000134937164551818,8.1145497646568e-33
50,50,5,"cv","Abundance",-2,0.192226670311887,0.0931175802251371,4.94106357484814e-05,5.97338606755349e-38
50,50,5,"cv","Abundance",-1,0.210647086300885,0.0805071532565747,1.17934845844658e-06,1.43467319648203e-46
50,50,5,"cv","Abundance",0,0.293353973478738,0.0803888738817078,4.72556482833397e-09,1.59292935482327e-59
50,50,6,"cv","AMO",-8,-0.0360667081230391,0.120055983850984,0.00165935080951662,0.998313464243971
50,50,6,"cv","AMO",-7,-0.175987426038964,0.0975323239405035,0.964694931933257,1
50,50,6,"cv","AMO",-6,-0.187841974789902,0.10941932577633,0.0412617759894029,1
50,50,6,"cv","AMO",-5,-0.053813560935105,0.101312099653587,4.94106357484814e-05,0.99999966537491
50,50,6,"cv","AMO",-4,-0.117903832125136,0.117842785452675,0.0326257135943189,1
50,50,6,"cv","AMO",-3,0.00398527253502184,0.0930069798601771,2.8762465771548e-05,0.334611987470238
50,50,6,"cv","AMO",-2,0.0896802932948791,0.103461465484566,4.72451181354749e-06,4.35735402197868e-14
50,50,6,"cv","AMO",-1,0.193445134168326,0.0887262296516391,4.72556482833397e-09,7.0301526140828e-40
50,50,6,"cv","AMO",0,0.117729732471471,0.0904210801029562,4.72556482833397e-09,1.77263240474494e-23
50,50,9,"cv","SST",-8,0.548149661084973,0.0589418050360182,0.00635528422852749,1.8390078697891e-98
50,50,9,"cv","SST",-7,0.570646704523127,0.0653053687166853,8.26619198137646e-05,8.15293709835008e-96
50,50,9,"cv","SST",-6,0.565692723866748,0.0606271613207154,0.00635528422852749,1.32998518012786e-98
50,50,9,"cv","SST",-5,0.594592880508163,0.0575888403283524,0.00334096185825072,6.53016663969863e-103
50,50,9,"cv","SST",-4,0.589513386667908,0.0632068455725065,0.00114261804195204,1.38624734366851e-98
50,50,9,"cv","SST",-3,0.607848577752083,0.0549577909721282,0.00463914443779179,7.612526483789e-106
50,50,9,"cv","SST",-2,0.58063080249424,0.0672056704675032,0.00237216390671047,2.46927470411875e-95
50,50,9,"cv","SST",-1,0.590061631836127,0.0644616468448714,0.00859466758633065,8.66812484551037e-98
50,50,9,"cv","SST",0,0.590100713962951,0.066233858070469,0.00859466758633065,1.22278317949291e-96
50,50,4,"cv","CVofSST",-8,0.142165293591001,0.0923169543028078,0.16527546850601,2.49165308600473e-28
50,50,4,"cv","CVofSST",-7,0.0400982692265466,0.110941922767366,0.0412617759894029,0.000237737744749118
50,50,4,"cv","CVofSST",-6,0.0712982905675695,0.105283383463711,0.00635528422852745,4.56911494135923e-10
50,50,4,"cv","CVofSST",-5,0.153636300688458,0.103240878988274,0.00463914443779172,2.68440927567144e-27
50,50,4,"cv","CVofSST",-4,0.16648264913504,0.103656203642239,0.194916733337412,1.2599356115167e-29
50,50,4,"cv","CVofSST",-3,0.165222358573049,0.11179904797909,0.0960497087334704,4.31860453964777e-27
50,50,4,"cv","CVofSST",-2,0.204971270096965,0.0984391254789626,0.398414416048071,2.98075539664371e-38
50,50,4,"cv","CVofSST",-1,0.095127959202192,0.127408003055425,0.0151553436376983,1.63673578850858e-11
50,50,4,"cv","CVofSST",0,0.301610765559339,0.0837760377525884,0.0788206784827414,5.53240898629532e-59
50,50,3,"cv","AgeDiversity",-8,0.0345984795551577,0.0687790985607252,0.00114261804195204,1.09391485660924e-06
