"length","lib.size","E","library","target","tar.lag","rho","sd.rho","kendall.tau","significance"
50,50,4,"cv","AgeDiversity",-8,-0.11340889708177,0.0896942681700244,0.0412617759894029,1
50,50,4,"cv","AgeDiversity",-7,-0.129886842435918,0.0943896885133274,0.305726548153443,1
50,50,4,"cv","AgeDiversity",-6,0.0580624473741982,0.0935866709383512,1.38948963446239e-09,6.41692067744139e-09
50,50,4,"cv","AgeDiversity",-5,0.162734786148806,0.0721037843205097,7.63760166222482e-11,4.04480772499898e-41
50,50,4,"cv","AgeDiversity",-4,0.396295794214478,0.0709266585106735,4.72556482833397e-09,5.59322475278467e-77
50,50,4,"cv","AgeDiversity",-3,0.326190145872564,0.100552919236625,1.38948963446239e-09,7.51019127591979e-55
50,50,4,"cv","AgeDiversity",-2,0.171776318518932,0.0845545473341932,0.0960497087334704,2.1607890046657e-37
50,50,4,"cv","AgeDiversity",-1,0.0259536289686409,0.105008348718968,0.75655502544518,0.0075793484270695
50,50,4,"cv","AgeDiversity",0,0.0240839765136281,0.0975215161541368,0.00114261804195204,0.00761873810877329
50,50,5,"cv","Abundance",-8,-0.0621205783625458,0.127881394584032,4.94106357484814e-05,0.999997774087912
50,50,5,"cv","Abundance",-7,-0.125869786708052,0.0878849226348824,0.824801238706967,1
50,50,5,"cv","Abundance",-6,-0.0227833467202848,0.0730894205214651,0.000134937164551818,0.998804867653471
50,50,5,"cv","Abundance",-5,0.287898846682054,0.0770155075074317,2.8762465771548e-05,1.71992313901698e-60
50,50,5,"cv","Abundance",-4,0.321322192496554,0.0785950936561768,4.72556482833397e-09,4.15115566541913e-64
50,50,5,"cv","Abundance",-3,0.291658473531038,0.0623766940782194,0.0960497087334704,1.34251835492714e-69
50,50,5,"cv","Abundance",-2,0.185653000805033,0.0904046145635747,0.305726548153443,9.09644327566769e-38
50,50,5,"cv","Abundance",-1,0.125093640556456,0.0999342785907484,0.00463914443779179,2.03123739020012e-22
50,50,5,"cv","Abundance",0,-0.105353603246204,0.1080921748514,0.398414416048071,1
50,50,6,"cv","AMO",-8,-0.172511168075476,0.102630510381311,0.0516768954242628,1
50,50,6,"cv","AMO",-7,-0.0519002174244395,0.0810374074095882,0.000215302430799813,0.999999997448967
50,50,6,"cv","AMO",-6,-0.127533743710719,0.0981292803942048,0.00859466758633065,1
50,50,6,"cv","AMO",-5,-0.112776272601664,0.102651811179001,0.0255375408438456,1
50,50,6,"cv","AMO",-4,-0.246988575706591,0.114477673967598,0.0788206784827414,1
50,50,6,"cv","AMO",-3,-0.10435439180298,0.0878669295780184,8.91848950357321e-06,1
50,50,6,"cv","AMO",-2,-0.177339288551814,0.0805574948949336,0.0255375408438456,1
50,50,6,"cv","AMO",-1,-0.0326866804293809,0.105034838638408,1.17934845844658e-06,0.998785536527851
50,50,6,"cv","AMO",0,-0.110924587674904,0.118054569955237,0.0197806317594083,0.999999999999999
50,50,9,"cv","SST",-8,0.0671353377147501,0.0976969966512958,3.98309214499903e-08,2.84916527434544e-10
50,50,9,"cv","SST",-7,0.0949830289272476,0.0851233403710721,4.72556482833397e-09,1.65841717804544e-19
50,50,9,"cv","SST",-6,0.111044528866236,0.0945251370482445,4.72556482833397e-09,8.90631685143637e-21
50,50,9,"cv","SST",-5,0.131252233921179,0.0890014203246233,7.63760166222482e-11,4.99249453971805e-27
50,50,9,"cv","SST",-4,0.140452902035139,0.0803971609443725,3.5587999214215e-10,2.62549977431627e-32
50,50,9,"cv","SST",-3,0.17408621950471,0.0896618950650674,3.5587999214215e-10,7.85272428435286e-36
50,50,9,"cv","SST",-2,0.172404778616996,0.0772621728412332,1.2904566304428e-11,1.0384893952592e-40
50,50,9,"cv","SST",-1,0.149958162638576,0.082037268035943,3.5587999214215e-10,8.4787006065194e-34
50,50,9,"cv","SST",0,0.184019869962866,0.0791207429080233,4.72556482833397e-09,3.2943657276154e-42
50,50,4,"cv","CVofSST",-8,-0.0515054563598538,0.0833947677347005,0.00114261804195204,0.999999992705577
50,50,4,"cv","CVofSST",-7,-0.067153525046539,0.098758483225446,0.00114261804195204,0.999999999599227
50,50,4,"cv","CVofSST",-6,-0.0191294589773781,0.0859609465532134,4.72451181354749e-06,0.985837109083866
50,50,4,"cv","CVofSST",-5,-0.104593373538982,0.0894864967941941,0.398414416048071,1
50,50,4,"cv","CVofSST",-4,-0.0574025673290047,0.0946387504406214,0.824801238706967,0.999999987929558
